name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
ATLANTA_HAWKS,home,10_27,22,82,15,27,4,33,37,12,8,7,25,94,9,15,0,DETROIT_PISTONS,23,96,26,29,3,36,37,20,12,23,15,106,5,15,40,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,away,10_29,26,83,26,24,4,32,42,18,10,7,18,112,11,15,1,NEW_YORK_KNICKS,21,93,21,29,4,32,38,19,6,16,24,101,10,21,39,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,home,10_30,23,83,22,23,4,37,36,17,8,8,17,97,9,15,1,CHARLOTTE_HORNETS,23,88,13,30,6,41,36,10,12,13,20,94,7,18,45,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,away,11_1,22,88,14,29,6,39,37,13,7,9,16,94,9,11,1,CHARLOTTE_HORNETS,27,86,15,37,13,36,32,14,14,9,14,92,7,11,48,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,away,11_3,25,90,22,21,1,35,37,17,7,16,14,98,10,15,1,MIAMI_HEAT,13,86,16,28,9,36,38,11,5,13,21,92,10,18,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,home,11_4,27,76,24,22,10,28,37,19,8,6,17,101,15,13,1,BROOKLYN_NETS,24,83,13,21,4,29,36,10,5,14,19,87,9,19,34,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,away,11_6,30,77,35,21,6,35,41,30,9,6,21,121,10,15,1,NEW_ORLEANS_PELICANS,30,84,24,30,7,26,42,21,10,6,24,115,9,12,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,home,11_7,37,92,15,33,4,29,43,15,13,10,15,114,12,14,1,WASHINGTON_WIZARDS,27,78,17,24,3,33,38,15,8,8,18,99,11,24,39,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,home,11_9,30,86,7,31,6,23,44,6,13,4,19,107,13,17,0,MINNESOTA_TIMBERWOLVES,27,80,22,15,5,32,46,18,7,8,18,117,10,19,27,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTA_HAWKS,home,11_11,26,86,16,26,7,36,42,12,10,8,16,106,10,12,1,NEW_ORLEANS_PELICANS,21,83,15,29,0,32,37,10,14,8,21,98,6,19,44,40,26.8,84.3,19.6,25.7,5.2,32.7,39.6,15.9,9.3,8.1,17.8,104.4,10.8,14.2,0.8,23.6,85.7,18.2,27.2,5.4,33.3,38.0,14.8,9.3,11.8,19.4,100.1,8.4,17.6,40.8,45.1
ATLANTA_HAWKS,away,11_13,26,76,20,20,2,30,36,15,6,5,14,93,3,16,0,BOSTON_CELTICS,27,103,12,33,7,33,42,11,11,17,18,106,10,10,35,50,27.2,83.7,20.1,25.0,5.0,32.4,39.5,16.2,9.1,7.9,16.7,104.3,10.2,14.3,0.8,24.0,86.4,16.8,27.6,5.8,33.0,38.5,13.9,9.2,11.2,19.7,100.1,8.9,17.1,40.3,44.2
ATLANTA_HAWKS,home,11_15,26,76,17,22,5,25,37,14,8,8,16,96,9,15,0,UTAH_JAZZ,21,76,17,21,7,30,39,12,7,10,15,97,7,17,33,40,27.2,83.0,19.2,24.8,5.1,31.7,39.0,15.8,8.9,8.0,16.5,102.7,10.0,14.3,0.7,24.0,84.7,16.4,26.8,6.1,32.8,38.6,13.2,9.3,10.6,18.8,99.7,8.6,16.7,39.7,43.4
ATLANTA_HAWKS,away,11_17,22,76,14,29,7,36,33,10,12,8,17,88,7,20,0,BROOKLYN_NETS,22,84,13,20,3,35,37,7,9,9,14,90,14,11,44,44,27.1,82.3,18.4,25.4,5.4,31.6,38.7,15.1,9.3,8.0,16.5,101.8,9.8,14.8,0.6,23.9,84.3,16.4,25.8,5.8,32.2,38.7,12.9,9.0,10.2,18.2,99.3,9.3,16.0,39.6,42.4
ATLANTA_HAWKS,home,11_18,23,89,24,30,6,33,38,18,9,12,15,103,9,11,1,SACRAMENTO_KINGS,26,86,18,16,1,39,38,16,5,13,22,97,7,20,45,52,27.2,82.4,19.4,25.5,5.4,31.0,38.8,15.6,9.5,8.3,16.4,102.7,9.8,14.8,0.6,23.8,84.3,16.7,23.7,4.6,32.5,39.3,13.1,8.1,10.6,19.0,99.8,9.3,16.9,39.3,43.1
ATLANTA_HAWKS,away,11_21,22,86,25,28,4,26,32,22,11,12,20,97,10,12,0,CLEVELAND_CAVALIERS,27,85,19,29,8,40,41,16,11,11,22,109,4,14,38,51,26.9,82.0,19.7,26.2,5.7,30.1,38.3,16.1,9.9,7.9,17.0,102.6,9.8,14.5,0.5,25.2,84.2,17.0,23.8,4.5,32.9,39.6,13.6,8.7,10.4,19.1,101.5,8.7,16.5,38.0,43.3
ATLANTA_HAWKS,home,11_24,33,80,22,24,7,37,45,19,12,6,25,121,8,20,1,BOSTON_CELTICS,23,82,26,21,2,23,34,20,9,10,19,97,14,16,43,33,27.5,82.4,19.5,26.4,5.4,31.0,39.1,16.1,10.3,7.9,17.8,104.6,9.1,15.2,0.5,25.1,84.1,18.3,23.8,4.3,32.3,39.4,14.6,9.1,10.0,19.1,102.5,9.2,16.2,38.9,42.3
