name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
CHICAGO_BULLS,home,10_27,13,87,23,19,10,40,37,16,7,7,22,97,6,13,1,CLEVELAND_CAVALIERS,26,94,17,29,7,39,38,10,9,11,21,95,5,10,47,50
CHICAGO_BULLS,away,10_28,20,78,20,28,3,34,42,17,14,5,24,115,9,19,1,BROOKLYN_NETS,19,93,28,9,5,29,39,22,0,16,18,100,11,13,39,45
CHICAGO_BULLS,away,10_30,18,84,26,22,8,42,34,19,7,8,24,94,8,19,0,DETROIT_PISTONS,18,104,28,28,2,41,39,14,6,20,19,98,9,14,50,61
CHICAGO_BULLS,home,11_1,23,87,22,28,8,36,33,19,7,11,16,92,7,13,1,ORLANDO_MAGIC,21,90,17,23,11,31,35,10,7,12,19,87,7,16,47,43
CHICAGO_BULLS,away,11_3,26,90,8,30,0,29,44,3,14,4,19,105,5,12,0,CHARLOTTE_HORNETS,26,91,23,23,4,40,47,22,14,12,11,130,6,9,33,52
CHICAGO_BULLS,home,11_5,20,90,21,18,7,36,40,17,7,11,17,104,3,6,1,OKLAHOMA_CITY_THUNDER,21,84,20,13,8,35,38,17,5,9,18,98,2,9,47,44
CHICAGO_BULLS,home,11_7,20,93,23,32,6,40,33,16,11,10,26,93,7,18,0,MINNESOTA_TIMBERWOLVES,26,96,27,16,7,44,39,17,7,14,23,102,8,15,50,58
CHICAGO_BULLS,away,11_9,28,96,23,25,10,45,41,19,10,13,19,111,6,14,1,PHILADELPHIA_76ERS,19,100,23,25,9,37,35,13,5,15,13,88,6,13,58,52
CHICAGO_BULLS,home,11_13,27,84,31,16,6,47,37,24,4,10,16,102,4,11,1,CHARLOTTE_HORNETS,21,95,12,33,4,36,36,10,15,9,21,97,9,6,57,45
CHICAGO_BULLS,home,11_16,26,86,32,15,9,38,35,20,6,10,20,96,9,8,1,INDIANA_PACERS,19,87,24,21,5,39,35,16,9,11,21,95,4,12,48,50
CHICAGO_BULLS,away,11_18,24,83,14,19,2,36,41,12,9,11,17,103,7,19,1,PHOENIX_SUNS,16,91,21,27,4,29,37,15,8,14,14,97,12,12,47,43
CHICAGO_BULLS,away,11_20,22,88,23,22,2,28,35,17,7,15,19,94,11,12,0,GOLDEN_STATE_WARRIORS,20,79,24,29,6,38,39,18,10,11,15,106,7,15,43,49
CHICAGO_BULLS,away,11_24,19,86,23,18,3,38,33,20,7,6,18,93,6,10,1,PORTLAND_TRAIL_BLAZERS,18,88,27,22,9,39,31,20,6,16,21,88,5,14,44,55
CHICAGO_BULLS,away,11_27,21,92,20,26,7,38,32,17,11,9,23,92,7,15,0,INDIANA_PACERS,18,87,29,28,4,43,37,22,8,8,18,104,8,13,47,51
CHICAGO_BULLS,home,11_30,25,86,20,16,6,39,37,12,6,12,21,92,4,10,1,SAN_ANTONIO_SPURS,20,90,18,14,4,35,37,13,2,12,17,89,5,9,51,47
CHICAGO_BULLS,home,12_2,22,89,27,17,10,47,36,21,6,15,17,99,3,14,1,DENVER_NUGGETS,26,93,22,15,8,36,36,13,5,13,22,90,8,7,62,49
CHICAGO_BULLS,home,12_5,29,89,19,25,5,40,37,13,9,12,19,96,5,14,0,CHARLOTTE_HORNETS,23,89,25,34,3,37,37,18,10,13,18,102,10,9,52,50
CHICAGO_BULLS,home,12_7,28,90,18,21,8,32,41,13,6,16,19,101,11,20,0,PHOENIX_SUNS,18,92,17,17,4,30,41,14,7,10,17,103,12,18,48,40
CHICAGO_BULLS,away,12_9,22,91,23,21,5,35,39,16,6,15,18,100,7,16,0,BOSTON_CELTICS,22,92,28,23,4,32,38,24,5,13,22,105,10,12,50,45
CHICAGO_BULLS,home,12_10,20,87,16,23,6,41,31,14,7,13,12,83,8,11,1,LOS_ANGELES_CLIPPERS,22,88,12,22,4,37,30,10,10,15,15,80,4,13,54,52
CHICAGO_BULLS,home,12_12,17,78,29,20,6,41,33,24,8,7,10,98,6,13,1,NEW_ORLEANS_PELICANS,26,89,11,16,6,36,40,8,6,5,22,94,9,10,48,41
CHICAGO_BULLS,home,12_14,28,85,26,22,8,43,43,21,8,10,15,115,7,13,1,PHILADELPHIA_76ERS,19,92,13,31,8,27,38,9,11,9,17,96,6,11,53,36
CHICAGO_BULLS,home,12_16,22,86,19,24,6,36,38,13,9,9,17,98,5,14,1,MEMPHIS_GRIZZLIES,27,76,28,19,5,36,32,16,5,5,20,85,6,13,45,41
CHICAGO_BULLS,home,12_18,21,120,44,22,9,42,50,39,5,20,35,144,5,16,0,DETROIT_PISTONS,28,124,46,29,4,45,56,27,8,19,35,147,7,11,62,64
CHICAGO_BULLS,away,12_19,17,94,17,21,1,29,37,12,5,18,20,91,7,13,0,NEW_YORK_KNICKS,19,82,24,20,2,33,41,20,5,10,15,107,6,11,47,43
CHICAGO_BULLS,home,12_21,32,95,13,26,8,30,43,7,9,15,15,102,8,13,0,BROOKLYN_NETS,26,94,14,20,4,36,43,12,7,15,13,105,9,14,45,51
CHICAGO_BULLS,away,12_25,22,92,20,18,6,37,40,18,7,16,19,105,8,16,1,OKLAHOMA_CITY_THUNDER,20,96,23,24,3,30,37,16,6,18,15,96,12,13,53,48
CHICAGO_BULLS,away,12_26,20,78,26,21,7,28,42,19,8,13,23,111,7,17,0,DALLAS_MAVERICKS,24,87,28,33,1,26,40,22,16,16,25,118,10,11,41,42
CHICAGO_BULLS,home,12_28,23,87,24,21,10,38,40,16,8,11,15,104,4,10,1,TORONTO_RAPTORS,23,88,24,20,5,35,38,15,6,11,19,97,5,7,49,46
CHICAGO_BULLS,home,12_30,15,86,27,18,10,39,37,22,6,14,19,102,6,21,1,INDIANA_PACERS,18,97,24,22,7,30,37,19,7,16,21,100,14,12,53,46
CHICAGO_BULLS,home,1_1,27,85,25,16,9,40,39,20,10,14,19,108,4,7,1,NEW_YORK_KNICKS,16,84,17,19,7,31,31,13,6,11,25,81,3,11,54,42
CHICAGO_BULLS,away,1_3,23,82,25,21,8,34,42,22,9,8,18,115,4,11,1,TORONTO_RAPTORS,21,92,19,31,8,24,42,16,13,13,19,113,6,8,42,37
CHICAGO_BULLS,home,1_5,27,83,20,19,10,38,46,20,5,7,11,117,5,15,1,MILWAUKEE_BUCKS,28,102,14,16,3,26,46,8,6,17,19,106,9,10,45,43
CHICAGO_BULLS,home,1_7,23,94,17,22,5,42,39,14,9,12,18,101,4,16,1,BOSTON_CELTICS,17,98,22,25,3,36,35,17,5,15,19,92,11,11,54,51
CHICAGO_BULLS,away,1_9,16,83,31,18,6,34,36,26,7,12,13,105,7,21,0,ATLANTA_HAWKS,33,94,15,24,13,32,49,12,10,8,22,120,15,15,46,40
CHICAGO_BULLS,home,1_11,18,81,27,22,6,34,34,23,9,10,16,100,5,16,0,WASHINGTON_WIZARDS,31,99,10,24,7,30,48,9,9,13,23,114,10,9,44,43
CHICAGO_BULLS,away,1_12,22,85,24,29,8,37,35,19,12,20,25,101,3,17,0,MILWAUKEE_BUCKS,28,93,28,13,9,26,43,17,3,14,19,106,11,5,57,40
