name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
CHICAGO_BULLS,home,10_27,13,87,23,19,10,40,37,16,7,7,22,97,6,13,1,CLEVELAND_CAVALIERS,26,94,17,29,7,39,38,10,9,11,21,95,5,10,47,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,away,10_28,20,78,20,28,3,34,42,17,14,5,24,115,9,19,1,BROOKLYN_NETS,19,93,28,9,5,29,39,22,0,16,18,100,11,13,39,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,away,10_30,18,84,26,22,8,42,34,19,7,8,24,94,8,19,0,DETROIT_PISTONS,18,104,28,28,2,41,39,14,6,20,19,98,9,14,50,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,11_1,23,87,22,28,8,36,33,19,7,11,16,92,7,13,1,ORLANDO_MAGIC,21,90,17,23,11,31,35,10,7,12,19,87,7,16,47,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,away,11_3,26,90,8,30,0,29,44,3,14,4,19,105,5,12,0,CHARLOTTE_HORNETS,26,91,23,23,4,40,47,22,14,12,11,130,6,9,33,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,11_5,20,90,21,18,7,36,40,17,7,11,17,104,3,6,1,OKLAHOMA_CITY_THUNDER,21,84,20,13,8,35,38,17,5,9,18,98,2,9,47,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,11_7,20,93,23,32,6,40,33,16,11,10,26,93,7,18,0,MINNESOTA_TIMBERWOLVES,26,96,27,16,7,44,39,17,7,14,23,102,8,15,50,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,away,11_9,28,96,23,25,10,45,41,19,10,13,19,111,6,14,1,PHILADELPHIA_76ERS,19,100,23,25,9,37,35,13,5,15,13,88,6,13,58,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,11_13,27,84,31,16,6,47,37,24,4,10,16,102,4,11,1,CHARLOTTE_HORNETS,21,95,12,33,4,36,36,10,15,9,21,97,9,6,57,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,11_16,26,86,32,15,9,38,35,20,6,10,20,96,9,8,1,INDIANA_PACERS,19,87,24,21,5,39,35,16,9,11,21,95,4,12,48,50,22.1,87.5,22.9,23.3,6.7,38.7,37.6,17.0,8.7,8.9,20.3,100.9,6.4,13.3,0.7,21.6,93.4,21.9,22.0,6.2,37.1,38.1,15.1,7.7,12.9,18.4,99.0,6.7,11.7,47.6,50.0
CHICAGO_BULLS,away,11_18,24,83,14,19,2,36,41,12,9,11,17,103,7,19,1,PHOENIX_SUNS,16,91,21,27,4,29,37,15,8,14,14,97,12,12,47,43,23.2,87.1,22.0,23.3,5.9,38.3,38.0,16.6,8.9,9.3,19.8,101.5,6.5,13.9,0.7,20.6,93.1,22.3,21.8,5.9,36.1,38.0,15.6,7.6,13.2,17.7,99.2,7.4,11.9,47.6,49.3
CHICAGO_BULLS,away,11_20,22,88,23,22,2,28,35,17,7,15,19,94,11,12,0,GOLDEN_STATE_WARRIORS,20,79,24,29,6,38,39,18,10,11,15,106,7,15,43,49,23.4,88.1,22.3,22.7,5.8,37.7,37.3,16.6,8.2,10.3,19.3,99.4,6.7,13.2,0.6,20.7,91.7,21.9,23.8,6.0,37.0,38.0,15.2,8.6,12.7,17.4,99.8,7.0,12.1,48.0,49.7
CHICAGO_BULLS,away,11_24,19,86,23,18,3,38,33,20,7,6,18,93,6,10,1,PORTLAND_TRAIL_BLAZERS,18,88,27,22,9,39,31,20,6,16,21,88,5,14,44,55,23.5,88.3,22.0,22.3,5.3,37.3,37.2,16.7,8.2,10.1,18.7,99.3,6.5,12.3,0.7,20.7,90.1,21.8,23.2,6.7,36.8,37.2,15.8,8.6,12.3,17.6,98.8,6.6,12.1,47.4,49.1
CHICAGO_BULLS,away,11_27,21,92,20,26,7,38,32,17,11,9,23,92,7,15,0,INDIANA_PACERS,18,87,29,28,4,43,37,22,8,8,18,104,8,13,47,51,23.3,88.8,21.8,22.1,5.2,37.5,37.1,16.5,8.6,9.9,19.4,99.3,6.5,12.5,0.6,20.4,89.8,23.0,23.7,6.0,38.0,37.4,17.0,8.7,11.9,17.5,100.5,6.7,11.8,47.4,49.9
CHICAGO_BULLS,home,11_30,25,86,20,16,6,39,37,12,6,12,21,92,4,10,1,SAN_ANTONIO_SPURS,20,90,18,14,4,35,37,13,2,12,17,89,5,9,51,47,23.2,88.4,23.0,20.7,5.8,38.5,36.4,17.4,7.8,10.7,19.6,98.0,6.4,12.3,0.7,19.8,89.7,22.5,22.8,6.0,37.5,36.4,16.1,7.5,11.9,18.1,96.4,6.6,11.8,49.2,49.4
CHICAGO_BULLS,home,12_2,22,89,27,17,10,47,36,21,6,15,17,99,3,14,1,DENVER_NUGGETS,26,93,22,15,8,36,36,13,5,13,22,90,8,7,62,49,23.4,88.3,23.6,20.6,6.1,39.6,36.0,17.8,7.7,11.1,19.6,97.5,6.4,13.1,0.7,20.3,90.6,22.7,23.0,6.0,37.6,36.2,15.7,7.5,12.3,18.5,95.6,7.2,11.6,50.7,49.9
CHICAGO_BULLS,home,12_5,29,89,19,25,5,40,37,13,9,12,19,96,5,14,0,CHARLOTTE_HORNETS,23,89,25,34,3,37,37,18,10,13,18,102,10,9,52,50,24.3,87.9,23.2,19.9,6.0,39.6,36.4,17.5,7.5,11.3,18.9,97.8,6.2,12.7,0.7,20.0,89.9,22.5,24.8,5.6,36.9,36.0,15.8,7.8,12.2,18.0,95.6,7.4,11.0,50.9,49.1
CHICAGO_BULLS,home,12_7,28,90,18,21,8,32,41,13,6,16,19,101,11,20,0,PHOENIX_SUNS,18,92,17,17,4,30,41,14,7,10,17,103,12,18,48,40,24.3,87.3,22.7,19.5,5.8,38.3,36.4,16.9,7.1,11.6,18.9,96.8,6.7,13.3,0.6,19.9,89.1,21.9,24.0,5.1,36.2,36.6,15.9,8.0,11.7,18.4,97.1,8.0,11.5,49.9,47.9
