name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
DALLAS_MAVERICKS,away,10_28,24,85,31,21,3,42,40,21,10,6,25,111,7,8,1,PHOENIX_SUNS,15,87,33,24,3,40,34,21,6,13,30,95,3,18,48,53
DALLAS_MAVERICKS,away,10_29,22,97,15,30,2,41,35,12,6,14,26,88,4,12,0,LOS_ANGELES_CLIPPERS,21,87,33,31,8,45,38,20,8,8,17,104,6,8,55,53
DALLAS_MAVERICKS,away,11_1,28,87,16,30,4,41,40,12,11,8,22,103,5,11,1,LOS_ANGELES_LAKERS,18,85,28,34,9,34,31,21,10,8,20,93,8,12,49,42
DALLAS_MAVERICKS,home,11_3,20,86,25,23,3,30,33,18,7,14,25,91,5,15,0,TORONTO_RAPTORS,18,82,26,17,6,37,37,23,5,10,26,102,8,16,44,47
DALLAS_MAVERICKS,home,11_5,17,82,27,29,2,36,32,24,6,8,13,94,8,13,0,CHARLOTTE_HORNETS,19,89,17,27,6,40,44,14,6,8,25,108,8,11,44,48
DALLAS_MAVERICKS,home,11_7,20,84,22,24,2,36,40,18,9,6,17,107,5,9,1,NEW_ORLEANS_PELICANS,21,86,13,28,6,35,39,11,9,7,24,98,7,12,42,42
DALLAS_MAVERICKS,away,11_10,20,88,26,20,4,36,39,22,5,8,17,105,4,13,0,NEW_ORLEANS_PELICANS,25,92,18,33,5,39,46,14,14,9,27,120,9,11,44,48
DALLAS_MAVERICKS,home,11_11,23,76,30,24,3,36,42,23,11,8,29,118,8,13,1,LOS_ANGELES_CLIPPERS,21,86,33,27,2,28,37,22,12,13,24,108,4,10,44,41
DALLAS_MAVERICKS,home,11_13,19,82,29,27,4,41,30,23,7,7,15,90,9,15,1,LOS_ANGELES_LAKERS,18,88,18,27,7,42,29,15,9,15,27,82,10,20,48,57
DALLAS_MAVERICKS,away,11_14,24,89,21,28,7,37,43,16,8,8,21,110,6,11,1,HOUSTON_ROCKETS,22,84,32,34,5,31,32,25,9,12,23,98,9,12,45,43
DALLAS_MAVERICKS,away,11_16,16,76,30,24,2,33,30,25,7,6,23,92,12,19,1,PHILADELPHIA_76ERS,16,76,20,22,4,38,34,13,5,8,29,86,9,27,39,46
DALLAS_MAVERICKS,away,11_18,22,72,35,20,7,32,37,25,7,7,22,106,7,17,1,BOSTON_CELTICS,22,92,24,26,1,29,38,18,8,14,28,102,12,14,39,43
DALLAS_MAVERICKS,home,11_20,24,83,17,28,5,26,39,16,8,8,19,102,10,8,1,UTAH_JAZZ,14,80,21,20,2,30,35,17,6,18,24,93,4,17,34,48
DALLAS_MAVERICKS,away,11_22,26,83,28,19,4,27,44,16,10,9,17,114,8,17,0,OKLAHOMA_CITY_THUNDER,25,90,18,22,6,27,47,14,9,14,23,117,8,16,36,41
DALLAS_MAVERICKS,away,11_24,22,77,28,34,6,44,30,25,11,4,25,96,4,19,0,MEMPHIS_GRIZZLIES,20,86,37,21,4,37,37,29,7,5,24,110,12,9,48,42
DALLAS_MAVERICKS,away,11_25,21,83,12,22,1,37,34,9,6,9,21,83,7,13,0,SAN_ANTONIO_SPURS,23,81,19,28,4,40,33,14,8,12,12,88,6,13,46,52
DALLAS_MAVERICKS,home,11_28,18,77,27,26,3,32,33,19,7,10,14,92,13,13,1,DENVER_NUGGETS,17,75,17,25,5,35,30,13,8,10,22,81,9,20,42,45
DALLAS_MAVERICKS,away,11_30,22,84,22,37,3,31,36,17,9,9,30,98,8,16,0,SACRAMENTO_KINGS,22,79,44,31,1,33,36,31,9,9,18,112,1,11,40,42
DALLAS_MAVERICKS,away,12_1,23,94,24,29,5,37,43,20,9,12,17,115,7,12,1,PORTLAND_TRAIL_BLAZERS,24,100,17,40,1,37,41,15,15,13,23,112,6,15,49,50
DALLAS_MAVERICKS,home,12_4,23,81,20,29,5,31,37,14,8,11,17,96,8,17,0,HOUSTON_ROCKETS,20,84,18,26,5,30,39,10,12,15,22,100,12,18,42,45
DALLAS_MAVERICKS,away,12_6,25,76,27,31,4,44,38,24,16,6,17,116,5,16,1,WASHINGTON_WIZARDS,22,89,21,27,0,25,42,12,8,6,22,104,9,6,50,31
DALLAS_MAVERICKS,away,12_7,21,82,20,31,3,36,37,17,13,7,14,104,7,9,1,NEW_YORK_KNICKS,25,84,9,25,4,34,40,8,9,3,21,97,4,13,43,37
DALLAS_MAVERICKS,home,12_9,18,100,19,31,3,31,36,16,7,20,15,95,7,9,0,ATLANTA_HAWKS,26,81,18,20,7,41,39,14,6,6,19,98,7,14,51,47
DALLAS_MAVERICKS,home,12_12,23,89,24,33,3,35,38,21,14,11,12,111,5,12,0,WASHINGTON_WIZARDS,33,85,15,29,6,35,44,12,14,4,22,114,6,13,46,39
DALLAS_MAVERICKS,home,12_14,17,77,21,32,1,36,38,16,12,5,22,104,12,16,1,PHOENIX_SUNS,19,80,27,25,5,35,33,19,9,12,23,94,9,16,41,47
DALLAS_MAVERICKS,away,12_16,16,90,10,33,3,36,33,7,8,11,16,81,2,11,0,INDIANA_PACERS,28,89,17,29,4,42,43,10,11,5,17,107,9,8,47,47
DALLAS_MAVERICKS,home,12_18,27,78,21,29,4,39,34,19,10,11,17,97,7,19,1,MEMPHIS_GRIZZLIES,13,80,24,17,3,29,30,22,6,10,19,88,11,12,50,39
DALLAS_MAVERICKS,away,12_22,23,92,11,29,7,30,40,8,11,4,25,99,8,6,0,TORONTO_RAPTORS,20,74,27,26,4,43,35,21,12,10,19,103,4,17,34,53
DALLAS_MAVERICKS,away,12_23,27,82,15,34,4,29,45,13,16,5,18,119,3,17,1,BROOKLYN_NETS,32,101,14,19,4,28,51,6,10,15,17,118,9,11,34,43
DALLAS_MAVERICKS,home,12_26,24,87,28,33,1,26,40,22,16,16,25,118,10,11,1,CHICAGO_BULLS,20,78,26,21,7,28,42,19,8,13,23,111,7,17,42,41
DALLAS_MAVERICKS,home,12_28,25,84,26,22,2,28,38,17,10,6,15,103,9,4,1,MILWAUKEE_BUCKS,14,79,15,14,5,43,38,13,4,9,22,93,4,17,34,52
DALLAS_MAVERICKS,home,12_30,20,82,20,27,4,40,42,16,14,12,19,114,6,15,1,GOLDEN_STATE_WARRIORS,20,81,24,19,0,29,33,18,7,8,18,91,9,12,52,37
DALLAS_MAVERICKS,away,1_1,22,88,14,31,3,27,32,11,7,13,11,82,6,9,0,MIAMI_HEAT,24,82,9,18,1,42,46,6,8,8,16,106,4,12,40,50
DALLAS_MAVERICKS,home,1_2,20,83,19,26,2,30,36,16,10,3,17,98,10,13,0,NEW_ORLEANS_PELICANS,19,83,24,20,2,44,40,19,6,9,19,105,8,19,33,53
DALLAS_MAVERICKS,home,1_5,22,98,23,29,2,42,45,15,12,13,18,117,13,17,1,SACRAMENTO_KINGS,27,99,14,32,1,40,47,10,12,9,21,116,16,19,55,49
DALLAS_MAVERICKS,away,1_6,22,87,22,28,6,41,37,19,7,11,18,100,7,10,1,NEW_ORLEANS_PELICANS,22,92,20,30,5,36,34,16,7,15,18,91,7,10,52,51
DALLAS_MAVERICKS,away,1_8,27,84,16,44,5,26,35,11,14,16,21,95,6,16,0,MILWAUKEE_BUCKS,24,80,29,9,4,28,37,18,4,15,20,96,11,15,42,43
DALLAS_MAVERICKS,away,1_10,20,77,21,20,3,28,36,15,6,11,19,93,7,13,1,MINNESOTA_TIMBERWOLVES,23,79,22,16,2,27,33,17,4,11,25,87,8,16,39,38
DALLAS_MAVERICKS,home,1_12,25,79,22,28,7,37,39,18,11,7,16,107,4,16,0,CLEVELAND_CAVALIERS,28,97,16,44,4,29,40,13,17,17,21,110,12,9,44,46
DALLAS_MAVERICKS,away,1_13,18,82,25,31,3,33,32,19,6,8,20,89,7,16,0,OKLAHOMA_CITY_THUNDER,24,82,29,33,5,41,38,17,15,13,26,108,11,18,41,54
DALLAS_MAVERICKS,away,1_15,20,77,17,22,6,36,30,15,8,7,16,83,1,9,1,CHICAGO_BULLS,16,86,15,19,2,35,31,13,2,12,19,77,6,8,43,47
DALLAS_MAVERICKS,away,1_17,20,81,25,23,6,40,29,19,6,5,23,83,4,13,0,SAN_ANTONIO_SPURS,22,90,28,20,5,45,42,23,5,6,21,112,7,7,45,51
DALLAS_MAVERICKS,home,1_18,23,93,24,34,2,40,40,22,16,11,21,118,4,14,1,BOSTON_CELTICS,24,94,26,30,3,36,40,21,12,13,30,113,9,12,51,49
DALLAS_MAVERICKS,home,1_20,18,97,22,25,2,37,42,17,5,9,15,106,11,11,1,MINNESOTA_TIMBERWOLVES,26,91,11,23,9,42,40,9,5,10,21,94,4,17,46,52
DALLAS_MAVERICKS,home,1_22,24,87,18,33,6,26,40,16,10,7,15,106,9,8,0,OKLAHOMA_CITY_THUNDER,18,91,15,30,6,30,45,11,8,17,19,109,3,14,33,47
DALLAS_MAVERICKS,away,1_24,17,79,22,30,4,28,36,17,15,8,20,104,4,14,0,HOUSTON_ROCKETS,27,89,21,44,7,31,43,14,15,9,21,115,9,7,36,40
DALLAS_MAVERICKS,away,1_26,21,76,26,25,1,30,33,20,6,5,20,92,5,6,1,LOS_ANGELES_LAKERS,15,74,28,25,7,39,30,23,7,8,25,90,4,12,35,47
DALLAS_MAVERICKS,away,1_27,20,87,12,31,0,26,44,8,11,8,21,107,4,10,0,GOLDEN_STATE_WARRIORS,33,81,21,29,4,33,47,19,14,7,18,127,5,9,34,40
DALLAS_MAVERICKS,home,1_29,22,80,15,21,5,39,37,9,8,10,17,91,6,12,1,BROOKLYN_NETS,13,78,23,20,2,34,28,19,4,10,14,79,10,10,49,44
DALLAS_MAVERICKS,home,1_31,15,78,23,29,1,29,31,21,8,13,19,91,9,14,1,PHOENIX_SUNS,13,74,24,23,6,33,27,19,5,11,20,78,7,19,42,44
DALLAS_MAVERICKS,away,2_1,14,85,38,26,2,27,31,28,7,10,18,97,5,6,0,ATLANTA_HAWKS,29,80,19,35,6,45,42,14,14,5,25,112,2,15,37,50
DALLAS_MAVERICKS,home,2_3,18,87,19,20,5,38,34,14,8,8,16,90,4,4,0,MIAMI_HEAT,18,88,23,15,11,43,37,17,2,11,20,93,3,7,46,54
DALLAS_MAVERICKS,home,2_5,17,73,27,15,2,31,33,21,3,5,23,90,7,15,0,SAN_ANTONIO_SPURS,19,80,25,22,4,34,41,22,12,8,23,116,6,13,36,42
DALLAS_MAVERICKS,away,2_6,26,88,33,38,1,33,38,23,15,9,21,114,6,5,1,MEMPHIS_GRIZZLIES,27,88,23,23,4,44,44,13,9,7,24,110,3,11,42,51
