name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
MEMPHIS_GRIZZLIES,home,10_28,15,82,22,16,3,29,29,16,2,11,18,76,8,16,0,CLEVELAND_CAVALIERS,29,84,17,29,2,42,41,11,13,12,25,106,7,19,40,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,away,10_29,26,82,29,16,5,30,41,23,7,12,25,112,12,14,1,INDIANA_PACERS,23,78,24,30,4,28,37,17,12,10,22,103,7,20,42,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,home,10_31,26,80,28,23,2,31,34,24,9,11,19,101,6,9,1,BROOKLYN_NETS,21,79,18,13,3,35,38,12,3,8,22,91,3,12,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,away,11_2,21,96,20,23,7,33,26,14,3,11,24,69,8,11,0,GOLDEN_STATE_WARRIORS,32,84,30,25,13,55,43,22,11,10,15,119,8,14,44,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,away,11_3,23,83,25,20,7,38,40,20,3,12,31,103,5,16,1,SACRAMENTO_KINGS,17,74,40,20,1,27,29,24,7,8,21,89,8,13,50,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,away,11_5,20,77,21,20,5,29,37,15,7,7,14,96,4,8,0,PORTLAND_TRAIL_BLAZERS,29,87,20,30,3,33,44,12,15,14,19,115,3,8,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,away,11_7,16,91,14,19,1,31,30,13,6,13,21,79,8,14,0,UTAH_JAZZ,18,74,18,27,10,40,31,15,12,9,20,89,7,21,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,away,11_9,21,80,29,11,3,30,35,20,2,10,28,92,11,14,0,LOS_ANGELES_CLIPPERS,14,68,37,19,8,32,28,33,5,8,20,94,5,18,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,home,11_11,15,70,36,15,5,31,24,33,3,10,26,84,14,21,0,GOLDEN_STATE_WARRIORS,22,75,23,27,8,29,36,17,11,7,30,100,12,23,41,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEMPHIS_GRIZZLIES,home,11_13,22,86,27,16,0,21,36,23,6,14,21,101,10,8,1,PORTLAND_TRAIL_BLAZERS,17,69,29,22,10,33,33,26,8,10,22,100,5,22,35,43,20.5,82.7,25.1,17.9,3.8,30.3,33.2,20.1,4.8,11.1,22.7,91.3,8.6,13.1,0.4,22.2,77.2,25.6,24.2,6.2,35.4,36.0,18.9,9.7,9.6,21.6,100.6,6.5,17.0,41.4,45.0
MEMPHIS_GRIZZLIES,away,11_15,21,71,27,17,6,30,40,25,9,4,16,114,7,15,1,MINNESOTA_TIMBERWOLVES,20,82,21,16,2,24,41,19,5,9,24,106,10,12,34,33,21.1,81.6,25.6,18.0,4.1,30.4,34.3,21.0,5.5,10.4,22.5,95.1,8.5,13.0,0.5,21.3,77.0,26.0,22.9,6.2,33.6,36.0,19.7,8.9,9.3,21.5,100.6,6.8,16.3,40.8,42.9
MEMPHIS_GRIZZLIES,home,11_16,23,84,39,17,4,22,37,36,12,12,22,122,11,10,1,OKLAHOMA_CITY_THUNDER,22,81,31,24,6,32,41,22,10,12,28,114,7,19,34,44,20.8,81.8,26.6,18.1,4.0,29.6,33.9,22.3,6.0,10.4,22.2,96.1,8.4,12.6,0.5,21.2,77.3,26.7,22.3,6.4,34.0,36.4,20.2,8.7,9.5,22.1,101.7,6.8,16.2,40.0,43.5
MEMPHIS_GRIZZLIES,home,11_20,26,85,19,24,4,39,36,16,8,8,30,96,16,11,1,HOUSTON_ROCKETS,15,74,37,29,9,40,28,22,6,9,23,84,11,23,47,49,20.8,82.3,25.7,18.2,4.2,30.4,34.1,21.5,5.9,10.1,23.3,95.6,9.4,12.8,0.5,20.6,76.8,28.6,23.9,7.0,34.5,35.4,21.2,9.0,9.6,22.2,101.0,7.6,17.3,40.5,44.1
