name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
MIAMI_HEAT,home,10_28,23,73,21,20,7,39,36,20,12,2,25,104,5,13,1,CHARLOTTE_HORNETS,16,84,29,24,1,32,33,22,6,11,16,94,4,8,41,43
MIAMI_HEAT,away,10_30,21,77,22,21,7,32,33,20,6,6,20,92,5,13,0,CLEVELAND_CAVALIERS,25,86,21,25,4,35,39,18,6,14,19,102,4,11,38,49
MIAMI_HEAT,home,11_1,24,86,21,22,5,37,42,16,9,11,16,109,11,12,1,HOUSTON_ROCKETS,20,79,18,36,3,31,32,15,10,3,23,89,9,17,48,34
MIAMI_HEAT,home,11_3,13,86,16,28,9,36,38,11,5,13,21,92,10,18,0,ATLANTA_HAWKS,25,90,22,21,1,35,37,17,7,16,14,98,10,15,49,51
MIAMI_HEAT,away,11_5,14,76,25,14,6,35,37,18,4,7,19,96,6,16,1,MINNESOTA_TIMBERWOLVES,16,85,22,12,6,34,30,20,4,10,27,84,7,16,42,44
MIAMI_HEAT,away,11_6,21,81,13,20,6,33,36,9,6,7,19,87,5,11,0,INDIANA_PACERS,21,80,24,15,5,34,36,13,5,9,15,90,4,12,40,43
MIAMI_HEAT,home,11_8,18,83,25,20,8,35,35,18,8,13,20,96,8,10,1,TORONTO_RAPTORS,17,71,22,19,5,31,28,17,3,7,21,76,8,16,48,38
MIAMI_HEAT,home,11_10,23,84,27,20,7,32,38,20,5,15,12,101,7,10,1,LOS_ANGELES_LAKERS,21,77,12,22,7,31,34,9,11,5,21,88,7,17,47,36
MIAMI_HEAT,home,11_12,14,77,25,13,11,39,36,16,4,8,20,92,6,15,1,UTAH_JAZZ,13,89,25,17,9,31,34,19,4,11,23,91,10,10,47,42
MIAMI_HEAT,home,11_17,20,79,30,24,12,41,36,14,5,10,26,91,3,22,0,MINNESOTA_TIMBERWOLVES,14,97,35,21,5,39,36,27,4,15,26,103,12,8,51,54
MIAMI_HEAT,home,11_19,25,89,33,24,7,29,42,25,7,12,15,116,11,7,1,SACRAMENTO_KINGS,25,84,20,23,3,33,43,11,12,9,27,109,3,18,41,42
MIAMI_HEAT,home,11_21,16,69,45,18,14,36,30,31,5,9,19,96,7,16,1,PHILADELPHIA_76ERS,16,82,24,31,8,33,31,19,10,10,30,91,7,16,45,43
MIAMI_HEAT,home,11_23,18,81,36,19,7,40,31,28,5,16,19,95,8,9,1,NEW_YORK_KNICKS,12,87,21,24,4,34,28,18,4,15,23,78,7,11,56,49
MIAMI_HEAT,away,11_25,21,79,16,20,7,33,32,11,6,10,14,81,2,13,0,DETROIT_PISTONS,24,98,7,31,7,36,41,6,16,18,16,104,6,7,43,54
MIAMI_HEAT,away,11_27,16,76,28,17,7,34,33,24,7,8,13,97,4,12,1,NEW_YORK_KNICKS,16,85,15,14,5,32,32,11,3,7,24,78,7,10,42,39
MIAMI_HEAT,home,11_30,21,75,24,17,6,27,36,18,5,11,19,95,9,18,0,BOSTON_CELTICS,23,80,25,20,3,28,38,21,8,12,21,105,15,15,38,40
MIAMI_HEAT,home,12_3,25,81,24,13,3,29,40,14,3,6,14,97,10,9,1,OKLAHOMA_CITY_THUNDER,15,79,24,16,1,35,35,21,4,9,18,95,5,15,35,44
