name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
NEW_YORK_KNICKS,away,10_28,24,93,35,23,7,30,42,29,9,19,28,122,11,11,1,MILWAUKEE_BUCKS,17,86,31,18,4,29,30,28,9,18,27,97,7,18,49,47
NEW_YORK_KNICKS,home,10_29,21,93,21,29,4,32,38,19,6,16,24,101,10,21,0,ATLANTA_HAWKS,26,83,26,24,4,32,42,18,10,7,18,112,11,15,48,39
NEW_YORK_KNICKS,away,10_31,21,86,32,19,5,31,41,26,9,9,30,117,8,18,1,WASHINGTON_WIZARDS,17,90,33,22,3,32,38,28,6,11,32,110,9,17,40,43
NEW_YORK_KNICKS,home,11_2,17,89,21,13,3,32,32,16,4,17,18,84,8,10,0,SAN_ANTONIO_SPURS,21,79,17,13,7,37,39,12,4,8,12,94,6,13,49,45
NEW_YORK_KNICKS,away,11_4,16,84,15,24,7,31,33,12,8,9,23,86,6,12,0,CLEVELAND_CAVALIERS,21,83,32,27,2,39,33,23,7,9,12,96,5,11,40,48
NEW_YORK_KNICKS,home,11_6,20,81,28,24,5,29,33,22,4,14,22,92,3,15,0,MILWAUKEE_BUCKS,21,81,29,14,5,28,35,26,3,13,24,99,6,12,43,41
NEW_YORK_KNICKS,home,11_8,22,84,29,27,5,42,33,24,9,10,15,99,5,9,1,LOS_ANGELES_LAKERS,19,94,23,27,3,34,36,14,9,12,20,95,7,9,52,46
NEW_YORK_KNICKS,away,11_10,22,95,18,23,7,31,42,16,11,13,27,111,8,9,1,TORONTO_RAPTORS,25,84,39,17,6,35,37,31,4,14,17,109,7,11,44,49
NEW_YORK_KNICKS,away,11_11,20,86,7,21,5,41,42,5,4,11,24,93,5,16,0,CHARLOTTE_HORNETS,21,84,28,23,5,26,35,17,8,7,9,95,11,5,52,33
NEW_YORK_KNICKS,home,11_13,16,79,21,27,4,36,29,17,9,10,26,84,7,14,0,CLEVELAND_CAVALIERS,12,78,31,28,1,37,33,18,6,12,19,90,6,12,46,49
NEW_YORK_KNICKS,home,11_15,18,88,19,18,4,31,38,15,4,10,20,95,8,9,1,NEW_ORLEANS_PELICANS,16,71,19,21,5,32,32,17,6,4,22,87,5,18,41,36
NEW_YORK_KNICKS,home,11_17,22,89,21,20,6,35,36,20,10,10,20,102,4,10,1,CHARLOTTE_HORNETS,13,82,25,20,7,34,36,17,5,8,16,94,7,7,45,42
NEW_YORK_KNICKS,away,11_20,23,72,23,20,5,30,33,15,12,6,20,93,10,20,1,OKLAHOMA_CITY_THUNDER,12,92,23,29,4,28,35,17,3,21,19,90,9,14,36,49
NEW_YORK_KNICKS,away,11_21,20,80,34,25,8,26,34,27,12,19,22,107,4,11,1,HOUSTON_ROCKETS,18,81,28,28,4,26,35,20,12,16,26,102,6,12,45,42
NEW_YORK_KNICKS,away,11_23,12,87,21,24,4,34,28,18,4,15,23,78,7,11,0,MIAMI_HEAT,18,81,36,19,7,40,31,28,5,16,19,95,8,9,49,56
NEW_YORK_KNICKS,away,11_25,16,83,25,27,10,35,31,20,9,12,23,91,2,11,0,ORLANDO_MAGIC,20,86,32,16,7,33,34,27,5,15,21,100,2,7,47,48
NEW_YORK_KNICKS,home,11_27,16,85,15,14,5,32,32,11,3,7,24,78,7,10,0,MIAMI_HEAT,16,76,28,17,7,34,33,24,7,8,13,97,4,12,39,42
NEW_YORK_KNICKS,home,11_29,22,78,17,18,7,38,45,15,6,5,24,111,5,21,0,HOUSTON_ROCKETS,16,95,36,25,2,22,43,23,7,17,19,116,16,8,43,39
NEW_YORK_KNICKS,home,12_2,19,88,22,19,9,42,38,19,4,8,17,99,5,17,1,PHILADELPHIA_76ERS,11,86,24,30,7,35,32,14,9,7,19,87,8,13,50,42
NEW_YORK_KNICKS,home,12_4,25,87,21,27,6,36,39,18,12,8,14,108,8,13,1,BROOKLYN_NETS,15,91,15,11,4,36,39,10,3,13,13,91,9,13,44,49
NEW_YORK_KNICKS,away,12_5,22,76,28,25,4,31,32,21,6,6,24,91,4,15,0,MILWAUKEE_BUCKS,25,89,24,4,6,36,44,16,2,13,22,106,5,13,37,49
NEW_YORK_KNICKS,home,12_7,25,84,9,25,4,34,40,8,9,3,21,97,4,13,0,DALLAS_MAVERICKS,21,82,20,31,3,36,37,17,13,7,14,104,7,9,37,43
NEW_YORK_KNICKS,away,12_9,20,78,27,21,3,29,31,15,8,7,24,85,10,10,0,UTAH_JAZZ,26,80,23,21,2,42,39,19,9,9,26,106,6,14,36,51
NEW_YORK_KNICKS,away,12_10,17,83,28,29,6,41,33,22,9,13,22,97,9,18,0,SACRAMENTO_KINGS,24,93,16,16,3,34,42,12,3,10,20,99,6,12,54,44
NEW_YORK_KNICKS,away,12_12,17,75,28,21,3,27,39,25,9,7,22,112,3,11,1,PORTLAND_TRAIL_BLAZERS,15,89,29,21,0,25,41,22,6,14,22,110,4,7,34,39
NEW_YORK_KNICKS,home,12_16,28,85,30,21,10,36,37,25,8,14,17,107,2,14,1,MINNESOTA_TIMBERWOLVES,21,101,14,21,2,34,42,14,4,16,23,102,12,7,50,50
NEW_YORK_KNICKS,away,12_18,24,85,28,19,6,35,40,21,6,14,19,107,8,15,1,PHILADELPHIA_76ERS,15,77,30,24,5,32,37,17,6,4,22,97,7,15,49,36
NEW_YORK_KNICKS,home,12_19,19,82,24,20,2,33,41,20,5,10,15,107,6,11,1,CHICAGO_BULLS,17,94,17,21,1,29,37,12,5,18,20,91,7,13,43,47
NEW_YORK_KNICKS,home,12_21,21,76,16,24,6,30,39,14,7,9,14,99,5,15,0,ORLANDO_MAGIC,19,86,11,22,3,25,44,9,10,8,17,107,8,9,39,33
NEW_YORK_KNICKS,away,12_23,19,82,16,16,7,35,32,15,5,9,17,84,5,11,0,CLEVELAND_CAVALIERS,23,83,25,22,4,34,32,22,5,14,15,91,6,7,44,48
NEW_YORK_KNICKS,away,12_26,25,81,17,24,8,30,39,13,7,12,15,98,6,22,0,ATLANTA_HAWKS,33,88,18,25,4,27,47,15,8,10,17,117,13,9,42,37
NEW_YORK_KNICKS,away,12_27,15,89,24,19,4,35,33,21,4,13,23,91,6,13,0,BOSTON_CELTICS,18,85,29,20,4,39,36,20,8,12,24,100,5,10,48,51
NEW_YORK_KNICKS,home,12_29,23,79,17,16,8,30,43,14,8,6,18,108,5,10,1,DETROIT_PISTONS,21,89,17,27,4,24,37,12,10,15,14,96,6,10,36,39
NEW_YORK_KNICKS,away,1_1,16,84,17,19,7,31,31,13,6,11,25,81,3,11,0,CHICAGO_BULLS,27,85,25,16,9,40,39,20,10,14,19,108,4,7,42,54
NEW_YORK_KNICKS,home,1_3,27,88,14,26,7,34,44,12,11,12,19,111,8,16,1,ATLANTA_HAWKS,26,84,20,26,5,24,37,15,8,8,14,97,11,15,46,32
NEW_YORK_KNICKS,away,1_5,20,84,24,18,6,35,40,22,5,11,20,107,7,9,1,ATLANTA_HAWKS,22,87,19,39,4,27,37,12,15,14,24,101,3,13,46,41
NEW_YORK_KNICKS,away,1_6,15,70,18,8,5,29,39,17,3,5,18,98,6,11,1,MIAMI_HEAT,14,82,15,17,4,23,37,14,2,12,16,90,2,13,34,35
NEW_YORK_KNICKS,away,1_8,19,91,17,21,4,34,38,14,9,10,14,99,1,8,0,SAN_ANTONIO_SPURS,23,93,17,13,9,37,41,14,4,12,16,100,5,8,44,49
NEW_YORK_KNICKS,home,1_10,25,84,18,24,7,31,39,15,7,12,21,100,5,11,1,MILWAUKEE_BUCKS,19,80,30,13,4,28,32,21,3,14,16,88,7,11,43,42
