name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
ORLANDO_MAGIC,home,10_28,20,100,12,26,6,39,37,8,5,17,22,87,9,14,0,WASHINGTON_WIZARDS,17,84,25,28,9,34,33,15,7,15,14,88,8,17,56,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,10_30,25,106,38,33,10,35,47,30,12,14,31,136,10,16,0,OKLAHOMA_CITY_THUNDER,19,110,38,27,9,40,50,31,8,22,28,139,8,20,49,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,11_1,21,90,17,23,11,31,35,10,7,12,19,87,7,16,0,CHICAGO_BULLS,23,87,22,28,8,36,33,19,7,11,16,92,7,13,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,11_3,24,90,12,18,3,45,42,12,7,10,18,103,5,18,1,NEW_ORLEANS_PELICANS,23,90,25,36,9,36,32,18,12,10,14,94,12,14,55,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,11_4,28,91,19,20,6,29,46,15,7,9,25,114,12,14,0,HOUSTON_ROCKETS,28,88,34,34,1,32,42,24,11,16,20,119,8,19,38,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,11_6,22,77,22,25,4,34,33,17,9,6,25,92,4,12,1,TORONTO_RAPTORS,13,86,29,23,5,29,30,22,5,15,18,87,5,9,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,11_7,24,83,24,13,7,31,39,21,6,10,23,105,10,13,1,PHILADELPHIA_76ERS,24,80,26,33,10,28,36,14,11,10,20,97,6,16,41,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,11_9,16,78,17,33,3,37,31,12,10,7,20,84,9,21,0,INDIANA_PACERS,25,77,22,25,4,36,34,18,11,6,16,97,12,18,44,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,11_11,22,100,12,28,4,31,40,8,13,23,19,101,7,8,1,LOS_ANGELES_LAKERS,25,79,18,22,7,36,39,14,7,7,11,99,5,13,54,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,11_13,20,76,31,27,11,35,32,28,10,10,20,102,11,20,1,UTAH_JAZZ,24,87,23,25,6,29,34,17,8,12,24,93,14,17,45,41,22.2,89.1,20.4,24.6,6.5,34.7,38.2,16.1,8.6,11.8,22.2,101.1,8.4,15.2,0.5,22.1,86.8,26.2,28.1,6.8,33.6,36.3,19.2,8.7,12.4,18.1,100.5,8.5,15.6,46.5,46.0
ORLANDO_MAGIC,away,11_14,19,87,24,18,2,39,38,19,4,6,22,99,7,12,0,WASHINGTON_WIZARDS,29,83,26,29,6,42,39,18,12,7,23,108,6,11,45,49,22.1,87.8,21.6,23.8,6.1,34.7,38.3,17.2,8.5,10.7,22.2,102.3,8.2,15.0,0.5,23.3,86.7,26.3,28.2,6.5,34.4,36.9,19.5,9.2,11.6,19.0,102.5,8.3,15.0,45.4,46.0
ORLANDO_MAGIC,home,11_18,20,110,21,21,4,34,41,13,9,20,21,104,10,9,1,MINNESOTA_TIMBERWOLVES,21,85,30,18,13,46,36,25,4,11,23,101,4,14,54,57,21.6,88.2,19.9,22.6,5.5,34.6,37.7,15.5,8.2,11.3,21.2,99.1,8.2,14.3,0.6,23.5,84.2,25.5,27.3,6.9,35.0,35.5,18.9,8.8,10.5,18.5,98.7,7.9,14.4,45.9,45.5
ORLANDO_MAGIC,home,11_21,27,92,8,31,7,35,38,6,9,15,26,91,8,17,0,SACRAMENTO_KINGS,23,81,31,20,5,37,31,28,7,10,16,97,11,14,50,47,22.2,88.4,19.0,23.4,5.1,35.0,38.0,15.1,8.4,11.6,21.9,99.5,8.3,14.4,0.6,23.5,83.6,26.4,26.5,6.6,35.1,35.3,19.8,8.8,10.4,18.5,99.2,8.3,14.5,46.6,45.5
ORLANDO_MAGIC,away,11_23,25,81,21,22,6,30,40,13,10,9,21,103,6,10,0,CLEVELAND_CAVALIERS,34,81,22,35,3,33,43,13,18,8,15,117,5,10,39,41,22.3,87.5,19.9,23.8,5.4,33.5,37.8,15.2,8.7,11.5,22.2,99.5,8.4,13.6,0.5,24.6,82.7,26.1,26.4,6.0,34.8,36.4,19.3,9.4,10.2,18.6,101.5,7.6,14.1,45.0,45.0
ORLANDO_MAGIC,home,11_25,20,86,32,16,7,33,34,27,5,15,21,100,2,7,1,NEW_YORK_KNICKS,16,83,25,27,10,35,31,20,9,12,23,91,2,11,48,47,21.5,87.0,21.2,23.4,5.5,33.9,36.6,16.4,8.5,12.1,21.8,98.1,7.4,12.9,0.6,23.4,82.2,25.2,25.7,6.9,35.1,35.3,18.9,9.2,9.8,18.9,98.7,7.0,13.3,46.0,44.9
ORLANDO_MAGIC,home,11_27,30,82,22,27,5,33,43,16,12,8,18,114,9,18,1,MILWAUKEE_BUCKS,20,74,22,26,2,32,31,20,8,6,20,90,8,21,41,38,22.3,87.5,21.2,23.6,5.6,33.8,37.6,16.3,8.8,12.3,21.1,100.3,7.9,13.5,0.6,24.1,81.0,24.5,26.0,6.6,35.4,35.4,18.7,9.5,8.9,19.1,99.0,7.3,14.5,46.1,44.3
ORLANDO_MAGIC,home,11_29,24,93,16,25,7,37,45,11,9,17,20,110,6,13,1,BOSTON_CELTICS,28,88,20,27,6,25,36,14,5,9,16,91,7,11,54,34,22.3,88.5,20.4,24.8,5.6,34.4,38.2,15.3,9.1,13.0,20.8,100.8,7.5,13.5,0.6,24.5,81.8,23.9,25.4,6.2,35.1,35.4,18.7,8.9,8.8,18.7,98.4,7.4,14.0,47.4,43.9
ORLANDO_MAGIC,away,12_1,19,86,20,17,5,33,38,15,5,11,30,96,7,13,1,MINNESOTA_TIMBERWOLVES,14,77,38,19,11,34,29,31,4,12,20,93,7,13,44,46,22.6,89.3,20.7,23.2,5.8,34.0,38.9,15.6,8.6,13.4,21.8,102.0,7.3,12.7,0.7,23.4,81.8,25.5,24.8,6.9,34.9,34.9,20.0,8.2,9.4,19.1,98.0,6.9,13.5,47.4,44.3
ORLANDO_MAGIC,away,12_3,19,89,15,23,4,31,40,15,8,9,20,103,13,10,1,UTAH_JAZZ,18,72,24,33,8,34,31,18,14,5,16,94,4,19,40,39,22.3,88.2,21.0,22.7,5.8,34.0,38.9,16.3,8.1,12.0,21.9,102.2,7.9,12.9,0.7,22.7,81.1,26.1,25.9,7.0,34.7,34.1,20.4,8.9,9.2,19.6,97.5,6.8,14.1,46.0,43.9
ORLANDO_MAGIC,away,12_5,22,90,18,20,6,36,40,15,6,15,21,101,8,13,0,LOS_ANGELES_CLIPPERS,25,82,25,31,2,35,37,17,12,10,15,103,5,14,51,45,22.5,89.6,19.7,22.0,5.3,34.1,39.7,15.0,7.7,12.5,22.0,102.1,7.6,12.2,0.6,22.8,80.6,26.3,26.5,6.6,35.3,34.4,20.4,9.3,9.0,18.7,98.5,5.9,13.8,46.6,44.3
ORLANDO_MAGIC,away,12_8,14,88,10,16,8,44,38,8,1,10,19,85,9,20,1,DENVER_NUGGETS,19,84,20,24,7,37,28,11,7,10,16,74,11,17,54,47,22.0,89.7,18.3,21.8,5.9,34.6,39.7,13.9,7.4,12.9,21.7,100.7,7.8,13.0,0.7,21.8,80.7,25.7,26.0,6.7,34.8,33.3,19.7,8.8,9.3,18.0,95.1,6.4,14.4,47.5,44.1
ORLANDO_MAGIC,away,12_9,28,85,16,25,1,27,40,12,12,5,26,104,11,16,0,PHOENIX_SUNS,23,80,27,24,6,33,41,19,6,11,16,107,9,18,32,44,22.8,87.2,17.8,22.2,5.6,33.9,39.6,13.8,7.7,11.4,22.2,100.7,7.9,13.7,0.6,22.0,80.2,25.4,26.6,6.0,33.5,33.8,19.1,9.0,9.3,17.3,95.7,6.9,14.8,45.3,42.8
ORLANDO_MAGIC,home,12_11,16,72,20,22,3,24,28,14,6,6,24,76,8,19,0,CLEVELAND_CAVALIERS,28,72,27,21,0,36,41,18,11,9,19,111,12,18,30,45,21.7,85.2,19.0,21.3,5.2,32.8,38.6,14.6,7.4,10.5,22.0,99.2,7.9,13.9,0.6,22.5,79.3,25.0,26.7,5.5,33.4,34.8,18.1,9.4,9.2,17.6,97.1,7.0,15.2,43.3,42.6
ORLANDO_MAGIC,away,12_14,24,76,20,21,3,36,41,14,9,7,18,105,12,16,1,BROOKLYN_NETS,23,80,16,19,0,30,31,13,7,9,19,82,5,17,43,39,21.6,84.7,18.9,21.2,4.9,33.4,38.7,14.7,7.3,10.3,21.7,99.4,8.5,14.5,0.7,21.4,79.2,24.4,25.1,5.2,33.1,33.6,18.1,8.3,9.3,18.0,93.6,7.0,15.9,43.7,42.4
ORLANDO_MAGIC,home,12_16,28,77,15,24,4,36,43,13,14,4,15,113,12,17,1,CHARLOTTE_HORNETS,23,79,15,34,3,26,36,12,14,7,19,98,12,16,40,33,22.4,83.8,17.2,22.0,4.6,33.7,39.6,13.3,8.2,9.2,21.1,100.7,9.5,15.5,0.7,22.1,78.8,23.4,25.8,4.5,32.2,34.1,17.3,8.8,8.8,17.6,94.3,8.0,16.4,42.9,41.0
ORLANDO_MAGIC,home,12_18,19,84,31,15,5,35,39,22,2,13,18,102,11,13,1,PORTLAND_TRAIL_BLAZERS,21,73,26,32,2,35,32,19,11,7,23,94,3,19,48,42,21.3,84.0,18.1,20.8,4.6,33.9,39.2,13.9,7.2,9.7,21.1,99.5,9.7,15.0,0.7,22.2,78.7,23.8,26.4,4.5,32.5,34.2,17.2,9.1,8.9,17.9,94.7,7.5,16.2,43.6,41.4
ORLANDO_MAGIC,home,12_20,27,81,24,12,5,28,38,20,4,8,22,100,16,13,0,ATLANTA_HAWKS,25,78,20,22,7,33,39,14,11,8,21,103,6,19,36,41,21.6,82.8,18.9,19.5,4.4,33.0,38.5,14.8,6.7,8.8,21.3,98.5,10.7,15.0,0.6,21.9,77.7,23.8,25.9,4.6,33.3,34.5,17.2,9.7,8.8,18.4,95.9,7.4,17.0,41.8,42.1
ORLANDO_MAGIC,away,12_21,19,86,11,22,3,25,44,9,10,8,17,107,8,9,1,NEW_YORK_KNICKS,21,76,16,24,6,30,39,14,7,9,14,99,5,15,33,39,21.6,82.8,18.0,20.0,4.2,32.2,39.1,14.2,7.2,8.5,20.0,99.6,10.8,14.6,0.6,22.6,77.6,21.6,26.4,4.1,32.9,35.5,15.5,10.0,8.5,17.8,96.5,7.2,17.2,40.7,41.4
ORLANDO_MAGIC,home,12_23,26,84,13,16,3,31,44,9,7,11,15,104,5,12,1,HOUSTON_ROCKETS,19,83,17,29,6,27,41,12,7,9,18,101,5,11,42,36,22.3,82.3,17.8,19.3,4.1,32.2,39.5,13.6,7.1,8.7,19.5,99.7,10.0,14.8,0.6,22.7,78.7,20.9,26.0,3.9,32.2,36.5,14.9,9.3,8.9,18.0,97.2,7.3,16.4,40.9,41.1
ORLANDO_MAGIC,home,12_26,31,79,13,19,2,25,43,6,9,9,18,101,7,9,0,MIAMI_HEAT,22,77,23,20,4,29,38,22,10,9,10,108,5,8,34,38,23.2,81.2,17.3,19.2,3.7,31.1,39.8,12.7,7.4,8.1,19.2,99.7,9.9,14.4,0.6,22.4,78.2,20.7,24.9,4.1,31.6,36.6,15.4,9.1,8.8,17.5,97.7,7.3,15.8,39.2,40.4
ORLANDO_MAGIC,home,12_28,28,82,11,17,1,33,45,7,7,4,14,104,7,9,1,NEW_ORLEANS_PELICANS,23,83,15,20,5,32,37,10,5,10,15,89,5,13,37,42,24.6,80.6,17.4,19.3,3.0,30.0,40.5,12.6,8.0,7.5,18.7,101.6,9.7,13.3,0.6,22.8,78.1,20.2,24.5,3.9,31.1,37.5,15.3,8.9,8.8,17.4,99.2,6.7,15.4,37.5,39.9
