name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
BOSTON_CELTICS,home,10_26,36,89,18,32,9,35,48,15,11,12,20,122,13,19,1,BROOKLYN_NETS,22,97,20,44,3,29,43,16,15,15,19,117,8,16,47,44
BOSTON_CELTICS,away,10_27,22,76,24,23,6,33,38,15,8,3,25,99,6,11,0,CHICAGO_BULLS,25,92,30,25,1,37,36,22,11,18,21,105,5,12,36,55
BOSTON_CELTICS,away,10_29,25,81,17,31,6,38,39,11,15,4,26,104,4,13,1,CHARLOTTE_HORNETS,22,79,33,32,6,32,32,25,9,6,17,98,8,8,42,38
BOSTON_CELTICS,home,11_2,28,87,17,32,4,29,41,11,14,10,24,107,10,12,1,CHICAGO_BULLS,21,81,31,20,7,34,35,23,7,15,19,100,7,19,39,49
BOSTON_CELTICS,away,11_3,25,96,22,32,6,29,46,19,11,10,28,122,4,8,0,CLEVELAND_CAVALIERS,24,84,37,34,6,35,41,32,14,7,19,128,6,8,39,42
BOSTON_CELTICS,home,11_6,31,90,21,25,4,28,41,17,8,11,24,107,3,11,0,DENVER_NUGGETS,21,84,31,23,6,38,44,24,11,9,23,123,7,17,39,47
BOSTON_CELTICS,away,11_9,21,81,22,31,4,24,35,13,10,7,19,93,5,11,0,WASHINGTON_WIZARDS,29,92,20,21,7,35,46,16,10,19,26,118,9,11,31,54
BOSTON_CELTICS,home,11_11,23,90,43,27,3,34,35,34,11,19,18,115,16,15,1,NEW_YORK_KNICKS,19,94,17,23,11,36,33,15,6,21,26,87,7,25,53,57
BOSTON_CELTICS,away,11_12,22,80,33,25,7,32,35,27,8,15,21,105,7,13,1,INDIANA_PACERS,17,86,28,27,9,29,36,21,6,11,22,99,9,13,47,40
BOSTON_CELTICS,away,11_14,19,95,20,41,0,33,38,17,12,11,27,105,9,10,0,NEW_ORLEANS_PELICANS,16,79,36,21,4,38,35,30,6,8,17,106,9,16,44,46
BOSTON_CELTICS,home,11_16,18,76,23,21,3,40,33,17,7,13,17,90,6,19,1,DALLAS_MAVERICKS,16,83,10,23,3,27,34,7,8,5,19,83,9,9,53,32
BOSTON_CELTICS,home,11_18,19,83,19,32,3,36,31,15,11,7,12,88,6,13,0,GOLDEN_STATE_WARRIORS,33,90,12,28,7,41,44,7,9,9,20,104,10,11,43,50
BOSTON_CELTICS,away,11_19,22,82,17,31,7,37,33,16,12,9,13,94,3,8,1,DETROIT_PISTONS,22,86,16,20,4,39,37,11,7,11,13,92,5,5,46,50
BOSTON_CELTICS,away,11_21,20,84,14,38,4,33,38,11,12,6,21,99,5,11,1,MINNESOTA_TIMBERWOLVES,23,86,25,24,4,35,36,17,4,16,19,93,5,15,39,51
BOSTON_CELTICS,away,11_23,26,98,8,38,6,39,45,6,15,12,22,111,13,13,1,BROOKLYN_NETS,18,86,22,31,7,36,34,14,10,9,12,92,7,19,51,45
BOSTON_CELTICS,home,11_25,32,91,9,34,4,28,42,7,12,8,21,103,8,10,0,SAN_ANTONIO_SPURS,24,81,25,24,8,32,38,22,11,13,12,109,4,16,36,45
BOSTON_CELTICS,away,11_28,26,83,26,27,3,34,40,21,11,6,27,112,4,9,1,MIAMI_HEAT,24,80,32,30,2,34,38,22,6,7,25,104,6,13,40,41
BOSTON_CELTICS,home,11_30,26,91,20,42,3,24,40,19,15,9,17,114,6,5,0,DETROIT_PISTONS,28,87,21,20,8,39,48,16,9,13,19,121,4,11,33,52
BOSTON_CELTICS,home,12_2,25,88,15,28,9,34,36,14,11,11,22,97,10,13,1,SACRAMENTO_KINGS,22,88,25,26,10,37,33,20,6,14,16,92,9,14,45,51
BOSTON_CELTICS,away,12_3,22,76,29,26,3,31,38,23,8,6,21,107,5,10,1,PHILADELPHIA_76ERS,20,76,26,33,3,30,35,21,15,8,23,106,5,15,37,38
BOSTON_CELTICS,away,12_5,27,99,12,32,4,32,42,11,11,10,20,106,7,11,0,HOUSTON_ROCKETS,20,76,31,38,7,39,34,27,12,7,14,107,8,16,42,46
BOSTON_CELTICS,away,12_7,29,84,29,26,4,38,43,24,7,11,19,117,7,10,1,ORLANDO_MAGIC,20,81,24,26,1,29,30,16,11,8,26,87,7,12,49,37
BOSTON_CELTICS,home,12_9,24,83,22,42,4,38,31,15,17,8,18,94,5,13,0,TORONTO_RAPTORS,12,82,27,20,2,42,34,24,9,8,22,101,9,11,46,50
BOSTON_CELTICS,away,12_11,28,90,8,32,4,28,40,5,11,12,22,96,9,13,0,OKLAHOMA_CITY_THUNDER,17,83,27,21,7,34,41,14,3,15,9,99,9,12,40,49
BOSTON_CELTICS,away,12_14,25,84,20,31,3,27,37,17,10,8,13,101,12,12,0,SAN_ANTONIO_SPURS,33,80,14,22,3,33,44,12,8,5,17,108,9,16,35,38
BOSTON_CELTICS,home,12_16,26,78,26,28,8,41,34,19,9,5,15,96,7,13,1,CHARLOTTE_HORNETS,21,97,19,30,4,37,32,16,8,16,21,88,10,12,46,53
BOSTON_CELTICS,away,12_18,21,90,19,28,2,26,41,14,9,11,16,105,13,11,1,MIAMI_HEAT,23,69,25,24,5,35,36,14,9,6,20,95,7,23,37,41
BOSTON_CELTICS,away,12_20,22,81,38,37,5,33,33,34,12,8,22,112,7,11,1,MEMPHIS_GRIZZLIES,23,94,26,30,3,35,38,21,12,17,30,109,10,13,41,52
BOSTON_CELTICS,away,12_22,19,92,27,39,2,35,38,23,10,9,27,109,10,10,1,INDIANA_PACERS,20,82,29,23,3,42,35,25,7,8,21,102,5,19,44,50
BOSTON_CELTICS,home,12_23,29,93,26,28,2,29,41,21,9,10,29,112,8,12,0,OKLAHOMA_CITY_THUNDER,27,80,36,26,6,34,41,24,11,10,21,117,5,13,39,44
BOSTON_CELTICS,away,12_25,25,93,20,36,2,27,45,15,14,12,20,119,10,5,1,NEW_YORK_KNICKS,11,87,27,23,6,32,41,24,8,17,23,114,5,17,39,49
BOSTON_CELTICS,home,12_27,30,85,21,31,7,33,41,19,12,14,24,113,6,17,1,MEMPHIS_GRIZZLIES,22,88,29,30,5,24,37,20,9,13,18,103,14,11,47,37
BOSTON_CELTICS,away,12_29,26,85,21,37,4,23,43,20,12,6,23,118,15,11,0,CLEVELAND_CAVALIERS,29,83,33,38,3,33,43,24,14,13,16,124,7,18,29,46
BOSTON_CELTICS,home,12_30,28,74,29,32,2,25,38,24,17,5,11,117,6,13,1,MIAMI_HEAT,35,90,10,28,8,30,48,7,11,9,20,114,7,12,30,39
BOSTON_CELTICS,home,1_3,31,74,17,31,6,28,41,16,17,4,22,115,5,13,1,UTAH_JAZZ,27,82,21,26,3,27,38,17,11,8,17,104,7,10,32,35
BOSTON_CELTICS,home,1_6,28,87,25,40,11,30,35,21,19,12,22,110,6,17,1,PHILADELPHIA_76ERS,30,79,26,28,11,37,37,23,9,4,23,106,9,15,42,41
BOSTON_CELTICS,home,1_7,26,93,21,36,5,32,40,19,18,15,22,117,6,10,1,NEW_ORLEANS_PELICANS,22,85,23,31,7,33,40,18,10,9,20,108,7,11,47,42
BOSTON_CELTICS,away,1_10,21,85,20,27,3,27,40,17,9,6,20,106,7,14,0,TORONTO_RAPTORS,17,87,27,22,7,33,41,22,10,17,21,114,9,17,33,50
BOSTON_CELTICS,home,1_11,20,85,18,41,7,35,43,14,17,10,10,117,5,14,1,WASHINGTON_WIZARDS,28,105,12,26,3,28,45,8,10,16,13,108,10,7,45,44
BOSTON_CELTICS,away,1_13,22,83,19,44,3,34,36,14,17,9,16,103,7,12,1,ATLANTA_HAWKS,22,84,21,30,5,31,36,18,11,12,17,101,5,12,43,43
BOSTON_CELTICS,home,1_16,29,84,10,39,3,36,42,9,15,8,11,108,6,12,1,CHARLOTTE_HORNETS,25,86,17,25,4,32,38,14,8,10,15,98,4,11,44,42
BOSTON_CELTICS,home,1_18,25,91,29,33,8,24,35,27,9,9,15,106,8,3,0,NEW_YORK_KNICKS,27,91,18,25,8,39,46,15,10,18,24,117,2,14,33,57
BOSTON_CELTICS,home,1_21,26,92,31,35,2,33,42,26,13,14,29,123,6,21,0,PORTLAND_TRAIL_BLAZERS,26,92,36,25,4,28,43,31,10,9,26,127,12,14,47,37
BOSTON_CELTICS,away,1_24,24,84,24,33,3,24,38,22,10,8,20,108,10,13,0,WASHINGTON_WIZARDS,21,84,21,20,4,35,48,18,9,8,18,123,7,15,32,43
BOSTON_CELTICS,home,1_25,33,91,16,32,3,36,47,15,11,12,27,120,10,18,1,HOUSTON_ROCKETS,28,77,38,31,5,24,36,27,10,6,18,109,8,17,48,30
BOSTON_CELTICS,home,1_27,39,89,15,34,5,40,50,12,16,7,17,128,8,10,1,ORLANDO_MAGIC,29,87,18,25,2,31,38,13,9,7,15,98,7,11,47,38
BOSTON_CELTICS,away,1_28,26,89,30,41,7,35,37,24,14,9,23,112,6,13,1,MILWAUKEE_BUCKS,23,87,32,21,6,38,37,25,9,9,25,108,6,15,44,47
BOSTON_CELTICS,home,1_30,23,82,33,32,5,38,36,28,13,6,18,113,6,9,1,DETROIT_PISTONS,18,97,29,27,7,39,43,20,3,12,23,109,6,7,44,51
BOSTON_CELTICS,home,2_1,24,87,30,36,2,27,36,25,12,12,21,109,6,9,1,TORONTO_RAPTORS,17,78,25,31,5,33,41,14,8,8,29,104,6,15,39,41
BOSTON_CELTICS,home,2_3,28,82,28,35,1,40,39,22,13,7,19,113,8,16,1,LOS_ANGELES_LAKERS,24,94,26,38,3,37,37,19,14,15,23,107,9,12,47,52
BOSTON_CELTICS,home,2_5,24,88,20,52,3,36,37,17,16,9,21,107,9,11,1,LOS_ANGELES_CLIPPERS,22,84,28,29,0,38,35,22,10,8,13,102,4,13,45,46
BOSTON_CELTICS,away,2_8,18,73,27,32,2,32,29,24,10,7,19,92,8,17,0,SACRAMENTO_KINGS,24,84,15,25,1,36,42,14,10,4,18,108,11,14,39,40
BOSTON_CELTICS,away,2_9,23,91,27,30,1,29,44,22,10,14,21,120,8,8,1,PORTLAND_TRAIL_BLAZERS,23,77,31,26,6,31,39,24,9,10,23,111,4,15,43,41
BOSTON_CELTICS,away,2_11,20,71,23,30,4,34,42,15,13,3,24,112,6,16,1,UTAH_JAZZ,16,86,30,31,2,26,35,26,8,13,19,104,9,9,37,39
BOSTON_CELTICS,away,2_13,28,81,18,34,3,34,40,15,16,7,25,111,5,12,1,DALLAS_MAVERICKS,21,77,25,27,2,33,35,19,9,4,16,98,7,12,41,37
BOSTON_CELTICS,home,2_15,21,80,36,28,4,33,38,27,13,6,18,116,13,22,1,PHILADELPHIA_76ERS,23,93,18,31,5,35,44,12,8,12,23,108,16,22,39,47
BOSTON_CELTICS,away,2_16,24,77,20,37,4,27,36,17,14,4,18,103,2,7,0,CHICAGO_BULLS,23,90,22,25,6,36,38,22,6,15,13,104,2,7,31,51
BOSTON_CELTICS,away,2_24,19,78,22,38,3,29,33,19,12,7,21,97,4,11,0,TORONTO_RAPTORS,15,81,29,15,4,31,40,22,5,10,21,107,7,9,36,41
BOSTON_CELTICS,away,2_26,22,85,30,35,1,43,34,24,12,9,26,104,9,14,1,DETROIT_PISTONS,22,81,35,33,4,34,35,16,12,11,24,98,8,17,52,45
BOSTON_CELTICS,home,2_27,21,87,25,34,7,31,34,20,10,9,20,98,9,18,0,ATLANTA_HAWKS,22,95,20,25,10,42,46,16,6,13,19,114,10,14,40,55
BOSTON_CELTICS,home,3_1,28,78,23,31,6,39,36,18,13,8,21,103,4,12,1,CLEVELAND_CAVALIERS,20,91,22,33,5,29,37,15,10,12,21,99,3,10,47,41
BOSTON_CELTICS,away,3_3,30,84,25,33,2,40,43,19,10,6,17,115,7,18,1,LOS_ANGELES_LAKERS,23,87,20,24,7,28,37,15,6,6,21,95,11,14,46,34
