name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
BOSTON_CELTICS,home,10_26,36,89,18,32,9,35,48,15,11,12,20,122,13,19,1,BROOKLYN_NETS,22,97,20,44,3,29,43,16,15,15,19,117,8,16,47,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,away,10_27,22,76,24,23,6,33,38,15,8,3,25,99,6,11,0,CHICAGO_BULLS,25,92,30,25,1,37,36,22,11,18,21,105,5,12,36,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,away,10_29,25,81,17,31,6,38,39,11,15,4,26,104,4,13,1,CHARLOTTE_HORNETS,22,79,33,32,6,32,32,25,9,6,17,98,8,8,42,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,home,11_2,28,87,17,32,4,29,41,11,14,10,24,107,10,12,1,CHICAGO_BULLS,21,81,31,20,7,34,35,23,7,15,19,100,7,19,39,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,away,11_3,25,96,22,32,6,29,46,19,11,10,28,122,4,8,0,CLEVELAND_CAVALIERS,24,84,37,34,6,35,41,32,14,7,19,128,6,8,39,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,home,11_6,31,90,21,25,4,28,41,17,8,11,24,107,3,11,0,DENVER_NUGGETS,21,84,31,23,6,38,44,24,11,9,23,123,7,17,39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,away,11_9,21,81,22,31,4,24,35,13,10,7,19,93,5,11,0,WASHINGTON_WIZARDS,29,92,20,21,7,35,46,16,10,19,26,118,9,11,31,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,home,11_11,23,90,43,27,3,34,35,34,11,19,18,115,16,15,1,NEW_YORK_KNICKS,19,94,17,23,11,36,33,15,6,21,26,87,7,25,53,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,away,11_12,22,80,33,25,7,32,35,27,8,15,21,105,7,13,1,INDIANA_PACERS,17,86,28,27,9,29,36,21,6,11,22,99,9,13,47,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSTON_CELTICS,away,11_14,19,95,20,41,0,33,38,17,12,11,27,105,9,10,0,NEW_ORLEANS_PELICANS,16,79,36,21,4,38,35,30,6,8,17,106,9,16,44,46,25.2,86.5,23.7,29.9,4.9,31.5,39.6,17.9,10.8,10.2,23.2,107.9,7.7,12.3,0.5,21.6,86.8,28.3,27.0,6.0,34.3,38.1,22.4,9.5,12.9,20.9,108.1,7.5,14.5,41.7,47.2
BOSTON_CELTICS,home,11_16,18,76,23,21,3,40,33,17,7,13,17,90,6,19,1,DALLAS_MAVERICKS,16,83,10,23,3,27,34,7,8,5,19,83,9,9,53,32,23.4,85.2,24.2,28.8,4.3,32.0,38.1,18.1,10.4,10.3,22.9,104.7,7.0,12.3,0.5,21.0,85.4,27.3,24.9,6.0,34.1,37.2,21.5,8.8,11.9,20.9,104.7,7.6,13.8,42.3,46.0
BOSTON_CELTICS,home,11_18,19,83,19,32,3,36,31,15,11,7,12,88,6,13,0,GOLDEN_STATE_WARRIORS,33,90,12,28,7,41,44,7,9,9,20,104,10,11,43,50,23.1,85.9,23.7,29.7,4.0,32.3,37.4,18.1,10.7,10.7,21.6,103.6,7.0,12.5,0.5,21.8,85.2,25.5,25.2,6.6,34.5,38.0,20.0,8.6,11.0,20.8,104.6,8.1,13.7,43.0,45.5
BOSTON_CELTICS,away,11_19,22,82,17,31,7,37,33,16,12,9,13,94,3,8,1,DETROIT_PISTONS,22,86,16,20,4,39,37,11,7,11,13,92,5,5,46,50,22.8,86.0,23.7,29.7,4.1,32.2,36.8,18.6,10.4,11.2,20.3,102.6,6.9,12.0,0.5,21.8,85.9,23.8,24.0,6.4,35.2,38.5,18.6,8.4,11.5,20.4,104.0,7.8,13.4,43.4,46.7
BOSTON_CELTICS,away,11_21,20,84,14,38,4,33,38,11,12,6,21,99,5,11,1,MINNESOTA_TIMBERWOLVES,23,86,25,24,4,35,36,17,4,16,19,93,5,15,39,51,22.0,85.7,23.4,30.3,4.1,32.6,36.5,18.6,10.2,10.8,20.0,101.8,6.4,11.9,0.5,22.0,86.4,23.2,24.4,6.1,35.3,38.6,18.0,8.1,11.6,20.4,103.3,7.6,13.0,43.4,46.9
BOSTON_CELTICS,away,11_23,26,98,8,38,6,39,45,6,15,12,22,111,13,13,1,BROOKLYN_NETS,18,86,22,31,7,36,34,14,10,9,12,92,7,19,51,45,22.1,85.9,22.0,30.9,4.1,33.6,36.4,17.3,10.6,11.0,19.4,100.7,7.3,12.4,0.6,21.4,86.6,21.7,24.1,6.2,35.4,37.9,16.2,7.7,11.8,19.7,99.7,7.7,14.1,44.6,47.2
BOSTON_CELTICS,home,11_25,32,91,9,34,4,28,42,7,12,8,21,103,8,10,0,SAN_ANTONIO_SPURS,24,81,25,24,8,32,38,22,11,13,12,109,4,16,36,45,22.2,86.0,20.8,31.8,4.1,33.6,36.5,16.3,11.0,10.7,19.1,100.3,7.8,12.3,0.6,21.7,86.3,21.1,24.2,6.4,34.8,37.3,16.0,7.7,12.2,18.6,98.3,7.4,14.0,44.3,47.0
BOSTON_CELTICS,away,11_28,26,83,26,27,3,34,40,21,11,6,27,112,4,9,1,MIAMI_HEAT,24,80,32,30,2,34,38,22,6,7,25,104,6,13,40,41,22.7,86.2,21.2,31.4,4.0,34.6,37.0,17.1,11.1,10.6,19.9,102.2,7.7,12.1,0.7,21.2,85.1,22.3,25.1,5.9,34.7,36.5,16.6,7.3,11.0,18.5,96.9,7.1,14.2,45.2,45.7
BOSTON_CELTICS,home,11_30,26,91,20,42,3,24,40,19,15,9,17,114,6,5,0,DETROIT_PISTONS,28,87,21,20,8,39,48,16,9,13,19,121,4,11,33,52,23.0,86.3,18.9,32.9,4.0,33.6,37.5,15.6,11.5,9.6,19.8,102.1,6.7,11.1,0.6,22.1,84.4,22.7,24.8,5.6,35.0,38.0,16.7,7.6,10.2,17.8,100.3,6.8,12.8,43.2,45.2
BOSTON_CELTICS,home,12_2,25,88,15,28,9,34,36,14,11,11,22,97,10,13,1,SACRAMENTO_KINGS,22,88,25,26,10,37,33,20,6,14,16,92,9,14,45,51,23.3,87.1,17.1,33.2,4.2,33.8,37.6,14.3,11.8,9.2,19.9,101.3,7.0,11.1,0.6,22.6,84.6,22.4,24.7,5.7,35.8,37.7,16.6,7.6,10.5,17.2,99.6,6.8,12.9,43.0,46.3
BOSTON_CELTICS,away,12_3,22,76,29,26,3,31,38,23,8,6,21,107,5,10,1,PHILADELPHIA_76ERS,20,76,26,33,3,30,35,21,15,8,23,106,5,15,37,38,23.6,85.2,18.0,31.7,4.5,33.6,37.6,14.9,11.4,8.7,19.3,101.5,6.6,11.1,0.7,23.0,84.3,21.4,25.9,5.6,35.0,37.7,15.7,8.5,10.5,17.8,99.6,6.4,12.8,42.3,45.5
BOSTON_CELTICS,away,12_5,27,99,12,32,4,32,42,11,11,10,20,106,7,11,0,HOUSTON_ROCKETS,20,76,31,38,7,39,34,27,12,7,14,107,8,16,42,46,24.5,87.5,16.9,32.8,4.6,32.8,38.5,14.3,11.8,8.4,19.6,103.1,6.7,10.3,0.6,23.4,83.6,23.5,27.4,6.0,36.2,37.7,17.7,8.9,10.7,17.3,102.0,6.3,13.5,41.2,46.9
BOSTON_CELTICS,away,12_7,29,84,29,26,4,38,43,24,7,11,19,117,7,10,1,ORLANDO_MAGIC,20,81,24,26,1,29,30,16,11,8,26,87,7,12,49,37,25.5,87.6,17.9,32.2,4.7,33.0,39.7,15.2,11.4,8.8,20.3,106.0,6.8,10.0,0.7,22.1,82.7,24.7,27.2,5.4,35.0,36.3,18.6,9.1,10.6,17.9,100.3,6.0,13.6,41.8,45.6
BOSTON_CELTICS,home,12_9,24,83,22,42,4,38,31,15,17,8,18,94,5,13,0,TORONTO_RAPTORS,12,82,27,20,2,42,34,24,9,8,22,101,9,11,46,50,25.7,87.7,18.4,33.3,4.4,33.1,39.5,15.1,11.9,8.7,20.8,106.0,7.0,10.5,0.6,21.1,82.3,25.8,27.2,5.2,35.3,36.0,19.9,9.3,10.3,18.8,101.2,6.4,14.2,41.8,45.6
BOSTON_CELTICS,away,12_11,28,90,8,32,4,28,40,5,11,12,22,96,9,13,0,OKLAHOMA_CITY_THUNDER,17,83,27,21,7,34,41,14,3,15,9,99,9,12,40,49,26.5,88.3,17.8,32.7,4.4,32.6,39.7,14.5,11.8,9.3,20.9,105.7,7.4,10.7,0.5,20.5,82.0,26.0,26.9,5.5,35.2,36.5,19.6,9.2,10.2,17.8,101.8,6.8,13.9,41.9,45.4
BOSTON_CELTICS,away,12_14,25,84,20,31,3,27,37,17,10,8,13,101,12,12,0,SAN_ANTONIO_SPURS,33,80,14,22,3,33,44,12,8,5,17,108,9,16,35,38,26.4,86.9,19.0,32.0,4.1,31.4,38.9,15.6,11.3,8.9,20.0,104.7,7.3,10.6,0.4,22.0,81.4,25.2,26.0,5.1,34.9,37.5,19.4,9.0,9.8,18.3,103.4,7.0,13.6,40.3,44.7
BOSTON_CELTICS,home,12_16,26,78,26,28,8,41,34,19,9,5,15,96,7,13,1,CHARLOTTE_HORNETS,21,97,19,30,4,37,32,16,8,16,21,88,10,12,46,53,25.8,85.6,20.7,31.4,4.5,32.7,38.1,16.8,11.0,8.6,19.4,104.0,7.2,10.9,0.5,21.7,83.0,24.6,26.6,4.7,35.4,36.9,18.8,8.7,10.1,19.2,101.3,7.6,13.2,41.3,45.5
BOSTON_CELTICS,away,12_18,21,90,19,28,2,26,41,14,9,11,16,105,13,11,1,MIAMI_HEAT,23,69,25,24,5,35,36,14,9,6,20,95,7,23,37,41,25.3,86.3,20.0,31.5,4.4,31.9,38.2,16.1,10.8,9.1,18.3,103.3,8.1,11.1,0.5,21.6,81.9,23.9,26.0,5.0,35.5,36.7,18.0,9.0,10.0,18.7,100.4,7.7,14.2,41.0,45.5
BOSTON_CELTICS,away,12_20,22,81,38,37,5,33,33,34,12,8,22,112,7,11,1,MEMPHIS_GRIZZLIES,23,94,26,30,3,35,38,21,12,17,30,109,10,13,41,52,24.9,85.3,21.8,31.0,4.6,32.8,37.5,17.6,10.5,9.0,18.8,103.1,8.2,11.7,0.6,21.1,82.6,24.4,27.0,4.5,35.1,35.7,18.5,9.3,10.4,19.8,99.2,8.3,14.4,41.8,45.5
BOSTON_CELTICS,away,12_22,19,92,27,39,2,35,38,23,10,9,27,109,10,10,1,INDIANA_PACERS,20,82,29,23,3,42,35,25,7,8,21,102,5,19,44,50,24.3,85.7,23.0,32.1,3.9,32.9,37.7,18.5,10.4,8.8,19.3,104.3,8.2,11.4,0.6,20.9,82.0,24.8,26.7,3.8,35.6,35.9,19.0,9.4,9.8,20.3,100.2,7.9,14.9,41.7,45.4
