name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
CHARLOTTE_HORNETS,away,10_26,27,89,24,23,10,40,40,20,7,11,22,107,5,10,1,MILWAUKEE_BUCKS,23,92,20,16,5,36,39,15,3,10,22,96,4,8,51,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,10_28,20,92,24,22,9,36,35,20,7,13,20,97,10,8,1,MIAMI_HEAT,19,86,20,34,4,41,32,13,14,11,23,91,2,19,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,10_29,22,79,33,32,6,32,32,25,9,6,17,98,8,8,0,BOSTON_CELTICS,25,81,17,31,6,38,39,11,15,4,26,104,4,13,38,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,11_2,25,79,26,34,3,35,39,18,13,9,17,109,8,15,1,PHILADELPHIA_76ERS,23,86,15,38,2,29,34,13,12,8,24,93,8,17,44,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,11_4,24,86,24,30,3,42,36,17,10,7,18,99,7,16,1,BROOKLYN_NETS,20,87,21,36,4,39,35,16,9,7,22,95,12,15,49,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,11_7,30,84,32,32,4,40,41,28,12,3,15,122,12,11,1,INDIANA_PACERS,23,94,15,33,4,40,40,11,9,12,25,100,8,18,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,11_9,24,82,29,26,3,32,38,20,8,5,19,104,8,8,1,UTAH_JAZZ,24,82,18,34,6,36,38,14,8,10,22,98,5,12,37,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,11_11,22,93,24,41,4,39,38,18,17,18,16,111,1,11,0,TORONTO_RAPTORS,18,90,22,22,5,37,43,21,6,8,21,113,8,5,57,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,11_13,23,95,12,29,3,35,36,10,11,10,19,93,7,5,0,CLEVELAND_CAVALIERS,25,92,15,38,8,41,39,8,14,12,13,100,3,9,45,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,11_15,25,80,22,24,6,33,43,18,11,4,17,115,10,13,1,MINNESOTA_TIMBERWOLVES,25,89,21,35,5,29,38,17,15,14,19,108,4,18,37,43,24.2,85.9,25.0,29.3,5.1,36.4,37.8,19.4,10.5,8.6,18.0,105.5,7.6,10.5,0.7,22.5,87.9,18.4,31.7,4.9,36.6,37.7,13.9,10.5,9.6,21.7,99.8,5.8,13.4,45.0,46.2
CHARLOTTE_HORNETS,home,11_18,25,90,24,29,4,36,37,16,10,8,16,100,11,11,1,ATLANTA_HAWKS,25,84,17,28,6,41,39,11,7,8,18,96,9,16,44,49,24.0,86.0,25.0,29.9,4.5,36.0,37.5,19.0,10.8,8.3,17.4,104.8,8.2,10.6,0.7,22.7,87.1,18.1,32.9,5.0,37.1,37.7,13.5,10.9,9.4,21.3,99.8,6.3,14.2,44.3,46.5
CHARLOTTE_HORNETS,away,11_19,29,97,28,43,5,44,40,21,15,8,21,116,7,14,0,NEW_ORLEANS_PELICANS,27,98,25,36,6,43,43,21,14,10,23,121,9,11,52,53,24.9,86.5,25.4,32.0,4.1,36.8,38.0,19.1,11.6,7.8,17.5,106.7,7.9,11.2,0.6,23.5,88.3,18.6,33.1,5.2,37.3,38.8,14.3,10.9,9.3,21.3,102.8,7.0,13.4,44.6,46.6
CHARLOTTE_HORNETS,home,11_21,20,73,33,31,9,31,30,21,9,8,13,90,6,10,0,MEMPHIS_GRIZZLIES,24,84,17,26,8,34,40,13,12,6,24,105,7,10,39,40,24.7,85.9,25.4,31.9,4.4,36.7,37.8,18.7,11.6,8.0,17.1,105.9,7.7,11.4,0.6,23.4,88.6,18.6,32.6,5.4,36.9,38.9,14.5,10.6,9.5,21.1,102.9,7.3,13.1,44.7,46.4
CHARLOTTE_HORNETS,home,11_23,30,89,18,20,3,32,45,13,11,12,16,114,3,15,0,SAN_ANTONIO_SPURS,28,86,20,31,8,26,44,18,13,8,18,119,9,9,44,34,25.2,86.9,24.6,30.5,4.4,36.4,38.4,18.2,11.4,8.3,17.0,106.4,7.2,11.4,0.5,23.9,88.6,19.1,31.9,6.0,36.6,39.9,15.0,10.7,9.5,20.5,105.5,7.4,12.3,44.7,46.1
CHARLOTTE_HORNETS,away,11_25,25,93,27,29,4,36,43,17,8,10,14,111,6,13,0,NEW_YORK_KNICKS,26,97,13,28,8,42,45,12,11,13,21,113,9,16,46,55,25.3,87.6,24.9,30.4,4.5,35.8,39.1,18.2,11.2,8.6,16.6,107.6,7.1,11.1,0.4,24.5,89.6,18.3,31.1,6.4,36.9,40.9,14.6,10.9,10.1,20.4,107.3,7.1,12.4,44.4,47.0
CHARLOTTE_HORNETS,home,11_26,16,80,42,22,9,42,35,29,8,10,14,107,3,10,1,NEW_YORK_KNICKS,26,99,20,32,6,36,37,16,12,11,27,102,9,8,52,47,23.9,87.2,25.9,29.4,5.0,36.0,38.5,18.3,10.8,9.3,16.5,106.1,6.2,11.0,0.4,24.8,90.1,18.8,31.0,6.6,36.5,40.6,15.1,11.2,10.0,20.6,107.5,7.2,11.4,45.3,46.5
CHARLOTTE_HORNETS,away,11_28,24,82,31,26,4,38,36,23,9,9,14,104,3,13,1,MEMPHIS_GRIZZLIES,21,89,13,29,4,34,36,6,7,8,25,85,10,12,47,42,23.9,87.2,26.1,29.4,5.1,36.6,38.3,18.6,10.9,9.7,16.0,106.1,5.7,11.5,0.4,24.5,90.8,18.3,30.5,6.4,36.3,40.4,14.3,11.1,9.8,20.9,106.2,7.7,11.4,46.3,46.1
CHARLOTTE_HORNETS,home,11_29,21,78,21,27,5,35,31,18,9,5,16,89,7,13,0,DETROIT_PISTONS,21,92,11,28,4,35,45,10,12,9,19,112,7,11,40,44,23.8,85.7,25.8,28.0,5.2,36.2,37.6,18.6,10.1,8.4,16.0,103.9,6.3,11.7,0.4,24.8,91.0,17.2,31.1,6.3,36.1,40.6,13.2,11.7,9.9,20.7,106.1,7.6,12.0,44.6,46.0
CHARLOTTE_HORNETS,home,12_1,24,74,31,18,6,35,35,22,5,4,18,97,5,10,1,DALLAS_MAVERICKS,18,86,18,31,2,32,32,14,9,9,25,87,6,11,39,41,23.9,83.6,27.7,26.9,5.5,36.2,37.5,19.8,9.5,7.8,15.9,104.3,6.1,12.2,0.5,24.1,90.4,17.5,30.4,5.7,35.2,39.9,13.8,11.2,9.6,21.9,104.8,7.9,12.2,44.0,44.8
CHARLOTTE_HORNETS,home,12_3,30,101,26,36,8,37,44,18,14,13,16,120,6,14,0,MINNESOTA_TIMBERWOLVES,32,106,22,27,10,37,48,19,10,14,19,125,10,10,50,51,24.4,85.7,28.1,28.1,5.7,36.6,37.6,19.8,9.8,8.7,15.8,104.8,5.7,12.3,0.4,24.8,92.1,17.6,29.6,6.2,36.0,40.9,14.0,10.7,9.6,21.9,106.5,8.5,11.4,45.3,45.6
CHARLOTTE_HORNETS,away,12_5,21,79,28,18,5,44,40,26,3,9,19,109,2,12,1,DALLAS_MAVERICKS,23,89,18,36,2,26,37,14,13,9,19,101,4,7,53,35,24.0,84.6,28.5,27.0,5.8,37.4,37.9,20.8,9.1,8.8,16.1,105.7,4.8,12.4,0.4,24.6,92.6,17.7,30.4,5.8,34.5,40.7,14.3,11.3,9.7,22.0,107.0,8.0,10.5,46.2,44.2
CHARLOTTE_HORNETS,home,12_7,13,88,29,21,2,46,30,21,6,5,11,87,7,5,1,DETROIT_PISTONS,21,89,8,27,8,50,34,5,4,7,18,77,3,12,51,57,22.4,83.7,28.6,24.8,5.5,37.6,36.9,20.8,8.2,8.5,15.1,102.8,4.8,11.5,0.5,24.0,91.7,16.0,29.5,6.0,35.2,39.8,12.7,10.3,9.4,21.5,102.6,7.4,10.6,46.1,44.6
CHARLOTTE_HORNETS,home,12_9,23,85,23,22,5,46,41,18,9,13,13,109,4,12,1,ORLANDO_MAGIC,22,91,14,34,2,31,34,11,9,9,17,88,6,8,59,40,22.7,84.9,27.6,23.9,5.1,39.1,38.0,20.5,8.2,9.0,15.1,104.7,4.6,11.7,0.6,23.8,92.4,15.7,30.3,5.4,34.9,39.2,12.5,10.0,9.7,20.8,100.9,7.3,10.4,48.1,44.6
CHARLOTTE_HORNETS,away,12_10,24,86,24,27,0,27,39,17,10,12,24,105,5,14,0,CLEVELAND_CAVALIERS,25,73,28,31,2,33,42,19,13,7,24,116,8,17,39,40,22.1,84.6,28.2,24.6,4.8,38.6,37.4,20.9,8.1,9.0,15.9,103.8,4.8,11.6,0.6,23.5,91.1,16.5,30.3,4.8,35.6,39.0,12.6,10.0,9.6,21.4,100.6,7.2,11.2,47.6,45.2
CHARLOTTE_HORNETS,away,12_12,16,84,32,26,4,37,28,28,10,9,15,94,8,13,0,INDIANA_PACERS,24,88,10,36,11,37,43,7,17,5,21,110,4,11,46,42,21.2,83.7,28.7,24.3,4.8,38.7,35.9,22.0,8.3,8.9,16.0,102.1,5.0,11.6,0.6,23.3,90.2,16.2,31.1,5.1,35.1,38.8,12.1,10.6,8.8,21.4,100.3,6.7,10.7,47.6,43.9
