name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
DETROIT_PISTONS,away,10_26,17,84,22,22,0,32,35,17,4,8,24,91,8,13,0,TORONTO_RAPTORS,17,86,29,18,0,37,41,24,3,14,22,109,8,11,40,51
DETROIT_PISTONS,home,10_28,27,95,6,19,4,44,48,5,7,9,11,108,8,12,1,ORLANDO_MAGIC,20,95,12,26,3,30,33,8,8,14,13,82,8,9,53,44
DETROIT_PISTONS,home,10_30,23,88,20,20,4,42,39,15,5,16,14,98,8,15,1,MILWAUKEE_BUCKS,22,87,14,17,4,30,34,11,4,10,16,83,10,12,58,40
DETROIT_PISTONS,home,11_1,19,89,21,13,5,38,41,12,8,10,16,102,7,10,1,NEW_YORK_KNICKS,18,86,15,22,9,35,35,12,7,8,20,89,6,11,48,43
DETROIT_PISTONS,away,11_2,21,88,21,25,6,28,37,18,9,10,18,101,11,13,0,BROOKLYN_NETS,27,76,17,27,3,40,41,14,13,5,23,109,10,19,38,45
DETROIT_PISTONS,home,11_5,22,84,22,20,9,38,40,16,7,9,16,103,9,13,1,DENVER_NUGGETS,15,94,20,25,2,32,31,17,7,16,15,86,8,16,47,48
DETROIT_PISTONS,away,11_7,14,82,26,12,2,28,30,18,4,11,19,82,5,11,0,LOS_ANGELES_CLIPPERS,28,76,22,25,7,44,41,19,13,2,20,114,8,10,39,46
DETROIT_PISTONS,away,11_9,20,89,32,22,5,32,32,27,9,9,24,100,11,11,0,PHOENIX_SUNS,20,84,30,22,6,39,38,23,8,10,20,107,7,17,41,49
DETROIT_PISTONS,away,11_11,14,76,21,25,4,33,32,17,5,9,14,86,2,11,0,SAN_ANTONIO_SPURS,24,81,19,20,2,35,36,15,9,10,13,96,8,8,42,45
DETROIT_PISTONS,away,11_12,23,90,14,18,1,26,46,10,4,11,16,106,11,9,1,DENVER_NUGGETS,15,84,19,25,4,28,36,14,9,14,14,95,6,15,37,42
DETROIT_PISTONS,home,11_14,25,92,16,16,9,43,43,13,5,4,14,104,4,9,1,OKLAHOMA_CITY_THUNDER,16,88,22,27,6,38,33,17,5,13,21,88,3,15,47,51
DETROIT_PISTONS,away,11_16,19,85,12,23,1,32,42,10,8,8,14,102,6,10,0,NEW_YORK_KNICKS,24,93,19,25,9,33,42,12,9,19,11,105,8,9,40,52
DETROIT_PISTONS,away,11_18,23,93,20,19,4,33,29,17,6,11,15,81,5,7,0,CLEVELAND_CAVALIERS,26,83,14,25,8,47,40,13,11,5,14,104,4,13,44,52
DETROIT_PISTONS,home,11_19,22,86,16,20,4,39,37,11,7,11,13,92,5,5,0,BOSTON_CELTICS,22,82,17,31,7,37,33,16,12,9,13,94,3,8,50,46
DETROIT_PISTONS,home,11_21,19,87,24,17,3,27,36,17,7,12,20,96,7,14,0,HOUSTON_ROCKETS,22,78,27,31,6,34,35,19,10,12,20,99,4,15,39,46
DETROIT_PISTONS,home,11_23,22,81,25,19,7,39,40,21,6,10,19,107,8,13,1,MIAMI_HEAT,19,75,30,26,4,30,27,23,7,7,22,84,5,14,49,37
DETROIT_PISTONS,home,11_25,26,90,7,19,0,33,47,5,9,9,22,108,7,10,1,LOS_ANGELES_CLIPPERS,26,73,26,21,5,27,35,20,7,6,16,97,4,14,42,33
DETROIT_PISTONS,away,11_26,11,82,17,19,1,26,37,13,1,6,20,88,7,8,0,OKLAHOMA_CITY_THUNDER,23,83,26,23,3,33,42,14,8,10,16,106,4,10,32,43
DETROIT_PISTONS,away,11_29,21,92,11,28,4,35,45,10,12,9,19,112,7,11,1,CHARLOTTE_HORNETS,21,78,21,27,5,35,31,18,9,5,16,89,7,13,44,40
DETROIT_PISTONS,away,11_30,28,87,21,20,8,39,48,16,9,13,19,121,4,11,1,BOSTON_CELTICS,26,91,20,42,3,24,40,19,15,9,17,114,6,5,52,33
DETROIT_PISTONS,away,12_2,28,89,12,29,3,43,48,8,17,11,15,121,4,15,1,ATLANTA_HAWKS,22,88,20,24,2,26,32,15,6,6,12,85,6,7,54,32
DETROIT_PISTONS,home,12_4,16,86,13,27,3,34,38,6,10,10,12,92,8,12,0,ORLANDO_MAGIC,23,79,14,23,7,35,42,7,7,4,11,98,8,10,44,39
DETROIT_PISTONS,home,12_6,24,88,21,21,5,35,40,14,8,9,23,102,10,9,1,CHICAGO_BULLS,15,75,32,15,7,36,33,23,2,9,20,91,6,14,44,45
DETROIT_PISTONS,away,12_7,21,89,8,27,8,50,34,5,4,7,18,77,3,12,0,CHARLOTTE_HORNETS,13,88,29,21,2,46,30,21,6,5,11,87,7,5,57,51
DETROIT_PISTONS,away,12_9,23,84,23,29,1,31,42,19,14,11,23,117,6,7,1,MINNESOTA_TIMBERWOLVES,19,78,20,16,2,30,37,13,3,7,16,90,4,12,42,37
DETROIT_PISTONS,home,12_11,15,82,14,19,2,24,32,10,5,10,18,79,15,15,0,PHILADELPHIA_76ERS,24,68,17,17,4,37,38,14,7,5,13,97,11,20,34,42
DETROIT_PISTONS,away,12_14,18,71,22,17,2,40,36,18,5,10,19,95,4,19,1,DALLAS_MAVERICKS,19,78,16,25,3,24,32,13,8,6,22,85,13,11,50,30
DETROIT_PISTONS,away,12_16,22,86,21,28,1,30,42,14,10,10,19,108,3,9,0,WASHINGTON_WIZARDS,30,77,27,25,1,33,44,22,12,3,23,122,6,5,40,36
DETROIT_PISTONS,home,12_17,22,84,22,30,1,30,32,16,10,10,18,90,6,8,0,INDIANA_PACERS,20,83,25,19,3,42,40,19,6,9,16,105,6,9,40,51
DETROIT_PISTONS,away,12_19,19,83,13,23,3,22,34,11,3,10,8,82,8,11,0,CHICAGO_BULLS,34,82,7,16,5,37,49,7,8,9,13,113,9,13,32,46
DETROIT_PISTONS,home,12_21,17,72,37,23,3,36,26,28,6,10,18,86,2,17,0,MEMPHIS_GRIZZLIES,25,82,19,30,4,31,35,16,12,7,26,98,9,8,46,38
DETROIT_PISTONS,home,12_23,22,85,28,29,3,31,43,17,10,5,22,113,12,13,0,GOLDEN_STATE_WARRIORS,35,77,24,27,2,37,43,22,11,4,21,119,9,22,36,41
DETROIT_PISTONS,home,12_26,25,92,15,28,4,35,41,8,16,10,19,106,12,12,1,CLEVELAND_CAVALIERS,19,79,23,28,3,37,30,19,11,10,23,90,8,21,45,47
DETROIT_PISTONS,home,12_28,28,88,16,24,1,33,39,10,6,11,12,94,4,10,0,MILWAUKEE_BUCKS,36,84,16,22,5,35,48,12,11,3,14,119,8,7,44,38
DETROIT_PISTONS,away,12_30,22,84,21,31,7,29,35,19,9,14,24,98,9,18,0,ATLANTA_HAWKS,29,88,25,26,2,32,39,19,8,12,21,105,10,15,43,44
DETROIT_PISTONS,away,1_1,16,86,22,22,5,38,42,14,9,10,18,107,7,12,1,MIAMI_HEAT,25,77,18,26,4,31,35,14,14,3,22,98,6,10,48,34
DETROIT_PISTONS,home,1_3,31,97,12,29,5,26,48,10,10,16,19,116,5,10,0,INDIANA_PACERS,26,74,30,16,7,28,43,26,9,6,8,121,7,11,42,34
DETROIT_PISTONS,home,1_5,24,97,32,28,6,40,39,27,10,16,23,115,2,7,1,CHARLOTTE_HORNETS,20,91,34,26,5,41,37,30,10,8,23,114,4,5,56,49
DETROIT_PISTONS,away,1_8,19,105,12,25,3,35,54,9,8,6,16,125,14,9,1,PORTLAND_TRAIL_BLAZERS,36,98,12,35,5,35,51,7,15,7,11,124,5,16,41,42
DETROIT_PISTONS,away,1_10,14,82,16,27,9,27,36,10,12,8,24,94,12,12,0,SACRAMENTO_KINGS,21,73,29,23,3,33,32,23,13,12,17,100,6,16,35,45
DETROIT_PISTONS,away,1_12,20,88,20,28,4,31,43,15,6,9,19,107,10,19,0,GOLDEN_STATE_WARRIORS,39,89,18,29,4,31,50,12,15,6,14,127,14,18,40,37
DETROIT_PISTONS,away,1_13,15,76,16,17,4,32,30,11,6,3,16,77,5,13,0,UTAH_JAZZ,22,80,13,31,6,40,43,8,16,7,14,110,10,12,35,47
DETROIT_PISTONS,away,1_15,24,95,16,25,6,36,41,11,9,10,22,102,6,7,1,LOS_ANGELES_LAKERS,19,83,24,26,4,41,36,19,6,9,18,97,2,14,46,50
DETROIT_PISTONS,home,1_18,27,91,28,25,0,42,45,18,10,18,29,118,6,12,1,ATLANTA_HAWKS,22,78,37,25,4,24,30,29,6,8,21,95,1,12,60,32
DETROIT_PISTONS,home,1_21,25,87,22,28,4,36,43,16,11,13,27,113,9,20,1,WASHINGTON_WIZARDS,23,91,33,26,3,34,39,26,8,13,22,112,12,11,49,47
DETROIT_PISTONS,home,1_23,27,82,17,28,1,32,41,12,10,6,21,104,8,15,0,SACRAMENTO_KINGS,25,82,26,21,3,33,40,20,9,10,15,109,10,14,38,43
DETROIT_PISTONS,away,1_28,11,89,12,12,3,29,46,7,4,13,16,103,6,12,0,MIAMI_HEAT,18,80,23,28,6,29,42,18,14,9,19,116,6,11,42,38
DETROIT_PISTONS,away,1_30,18,97,29,27,7,39,43,20,3,12,23,109,6,7,0,BOSTON_CELTICS,23,82,33,32,5,38,36,28,13,6,18,113,6,9,51,44
DETROIT_PISTONS,home,2_1,28,88,17,26,0,37,48,12,10,5,13,118,9,10,1,NEW_ORLEANS_PELICANS,21,82,14,21,5,32,41,11,5,3,15,98,6,14,42,35
DETROIT_PISTONS,home,2_3,24,98,22,26,4,31,44,17,11,18,14,116,7,10,1,MINNESOTA_TIMBERWOLVES,25,89,19,17,6,29,44,15,5,11,19,108,5,13,49,40
DETROIT_PISTONS,away,2_4,18,75,20,17,6,35,31,16,6,8,13,84,2,21,0,INDIANA_PACERS,22,91,15,24,4,34,44,10,7,7,17,105,11,6,43,41
DETROIT_PISTONS,home,2_6,22,99,17,22,4,41,46,16,5,19,19,113,8,12,1,PHILADELPHIA_76ERS,19,85,28,28,0,30,36,19,5,11,17,96,8,13,60,41
DETROIT_PISTONS,home,2_8,32,97,24,16,6,38,51,15,4,14,14,121,11,14,1,LOS_ANGELES_LAKERS,21,86,26,23,3,34,37,22,6,7,21,102,7,21,52,41
DETROIT_PISTONS,home,2_10,22,92,13,17,3,28,39,9,5,7,15,92,8,10,0,SAN_ANTONIO_SPURS,27,82,15,19,5,41,41,12,9,11,18,103,4,18,35,52
DETROIT_PISTONS,away,2_12,12,84,29,31,5,30,36,22,8,11,18,102,8,7,1,TORONTO_RAPTORS,18,75,25,16,5,32,38,17,8,6,18,101,4,9,41,38
DETROIT_PISTONS,away,2_13,17,78,19,21,1,32,34,14,7,12,18,89,4,17,0,MILWAUKEE_BUCKS,26,79,16,21,2,28,40,16,6,5,17,102,9,11,44,33
DETROIT_PISTONS,home,2_15,15,82,22,19,4,46,36,20,6,9,16,98,2,15,1,DALLAS_MAVERICKS,22,92,11,37,2,34,35,11,10,5,21,91,10,6,55,39
DETROIT_PISTONS,home,2_23,29,107,12,37,2,47,44,11,15,10,17,114,5,8,1,CHARLOTTE_HORNETS,19,92,26,30,7,45,38,25,7,5,15,108,5,7,57,50
DETROIT_PISTONS,home,2_26,22,81,35,33,4,34,35,16,12,11,24,98,8,17,0,BOSTON_CELTICS,22,85,30,35,1,43,34,24,12,9,26,104,9,14,45,52
DETROIT_PISTONS,home,2_28,23,104,31,25,2,32,45,23,7,16,19,120,13,7,1,PORTLAND_TRAIL_BLAZERS,25,84,22,25,5,42,44,15,10,8,25,113,5,24,48,50
DETROIT_PISTONS,away,3_1,13,103,17,23,3,27,40,3,3,23,17,86,11,7,0,NEW_ORLEANS_PELICANS,18,78,23,25,4,45,39,22,9,8,15,109,6,14,50,53
DETROIT_PISTONS,away,3_4,26,95,21,23,10,34,54,18,10,10,9,136,11,7,1,PHILADELPHIA_76ERS,30,88,7,34,2,30,43,6,14,6,18,106,5,19,44,36
DETROIT_PISTONS,home,3_6,26,92,20,21,3,38,45,13,6,10,19,109,7,6,1,CHICAGO_BULLS,21,83,21,28,5,30,34,19,8,7,20,95,3,10,48,37
DETROIT_PISTONS,away,3_8,20,89,22,26,4,34,39,13,7,11,18,98,4,10,0,INDIANA_PACERS,27,88,19,23,2,37,44,16,11,9,18,115,3,5,45,46
DETROIT_PISTONS,home,3_9,22,88,19,26,1,34,41,15,9,11,15,106,6,7,1,CLEVELAND_CAVALIERS,24,84,19,39,1,34,39,12,11,8,17,101,4,9,45,42
DETROIT_PISTONS,home,3_11,27,96,19,27,6,37,46,11,9,14,15,112,14,7,1,NEW_YORK_KNICKS,26,82,11,30,7,36,36,7,13,8,18,92,4,18,51,44
DETROIT_PISTONS,away,3_14,20,99,19,19,1,29,37,18,4,16,19,96,6,8,0,CLEVELAND_CAVALIERS,29,77,23,30,3,38,46,17,19,3,18,128,4,9,45,41
DETROIT_PISTONS,home,3_15,14,86,12,13,4,31,36,8,3,8,18,83,6,7,0,UTAH_JAZZ,28,77,16,28,5,37,36,12,13,6,15,97,6,15,39,43
DETROIT_PISTONS,home,3_17,14,83,21,20,5,37,29,14,3,12,17,75,5,12,0,TORONTO_RAPTORS,19,78,20,27,2,45,30,18,9,8,21,87,5,12,49,53
DETROIT_PISTONS,home,3_19,26,92,30,25,4,51,40,20,12,12,21,112,2,12,1,PHOENIX_SUNS,16,99,30,22,4,36,35,19,6,11,21,95,10,4,63,47
DETROIT_PISTONS,away,3_21,17,92,16,23,8,41,40,11,5,10,17,96,8,6,0,BROOKLYN_NETS,22,88,19,29,6,35,38,12,10,11,13,98,1,10,51,46
DETROIT_PISTONS,away,3_22,18,88,17,20,1,28,39,10,7,16,17,95,6,15,0,CHICAGO_BULLS,36,80,19,23,2,29,47,12,11,7,20,117,12,11,44,36
