name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
GOLDEN_STATE_WARRIORS,home,10_25,24,85,18,33,6,27,40,13,7,8,19,100,11,16,0,SAN_ANTONIO_SPURS,25,98,26,24,3,34,47,23,12,21,19,129,13,13,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,away,10_28,32,91,28,28,2,40,44,25,9,9,22,122,8,14,1,NEW_ORLEANS_PELICANS,29,100,23,22,5,37,47,15,5,12,24,114,8,13,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,away,10_30,27,83,33,29,5,36,35,28,8,7,23,106,6,15,1,PHOENIX_SUNS,19,90,25,23,6,39,37,18,8,11,26,100,10,11,43,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,away,11_1,36,89,23,26,4,38,50,17,10,7,19,127,14,16,1,PORTLAND_TRAIL_BLAZERS,23,86,21,39,4,26,37,16,14,6,17,104,12,18,45,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,home,11_3,27,89,20,30,14,31,46,16,14,15,18,122,9,15,1,OKLAHOMA_CITY_THUNDER,20,87,28,27,6,28,35,16,10,13,20,96,8,16,46,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,away,11_4,26,86,20,32,3,31,39,14,5,9,13,97,13,20,0,LOS_ANGELES_LAKERS,26,95,21,30,5,35,45,19,8,16,19,117,9,16,40,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,home,11_7,35,90,12,35,4,28,45,10,16,10,17,116,14,15,1,NEW_ORLEANS_PELICANS,26,80,27,21,1,32,39,21,7,11,16,106,8,19,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,home,11_9,33,74,22,33,5,34,43,13,17,5,22,116,3,15,1,DALLAS_MAVERICKS,20,86,28,28,2,29,34,21,6,13,20,95,10,7,39,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,away,11_10,33,85,20,30,6,35,46,19,14,9,18,125,15,15,1,DENVER_NUGGETS,26,94,17,36,3,27,38,12,13,17,18,101,7,18,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOLDEN_STATE_WARRIORS,home,11_13,32,87,31,33,7,35,45,27,16,8,20,133,8,16,1,PHOENIX_SUNS,27,90,26,24,3,30,46,20,8,8,29,120,10,13,43,38,30.5,85.9,22.7,30.9,5.6,33.5,43.3,18.2,11.6,8.7,19.1,116.4,10.1,15.7,0.8,24.1,90.6,24.2,27.4,3.8,31.7,40.5,18.1,9.1,12.8,20.8,108.2,9.5,14.4,42.2,44.5
