name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
INDIANA_PACERS,home,10_26,30,93,34,19,6,44,47,26,10,8,23,130,11,16,1,DALLAS_MAVERICKS,26,104,18,48,8,39,45,13,18,10,27,121,8,15,52,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,10_28,22,98,20,24,6,35,37,13,7,14,22,94,7,13,0,BROOKLYN_NETS,20,87,20,33,4,40,38,17,10,12,23,103,6,16,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,10_29,34,88,9,18,7,25,43,8,7,8,16,101,8,13,0,CHICAGO_BULLS,34,86,21,21,6,34,45,19,9,13,14,118,8,12,33,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,home,11_1,19,87,29,28,8,32,41,23,10,11,20,115,10,15,1,LOS_ANGELES_LAKERS,14,89,25,28,2,33,40,22,6,11,25,108,8,19,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,11_3,29,81,27,23,4,22,38,21,10,10,23,107,14,21,0,MILWAUKEE_BUCKS,32,82,24,27,6,29,47,19,12,12,23,125,10,21,32,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,home,11_5,27,86,12,26,9,28,46,7,12,8,20,111,8,11,1,CHICAGO_BULLS,17,79,25,18,5,27,34,20,6,13,13,94,8,16,36,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,11_7,23,94,15,33,4,40,40,11,9,12,25,100,8,18,0,CHARLOTTE_HORNETS,30,84,32,32,4,40,41,28,12,3,15,122,12,11,52,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,home,11_9,25,90,20,19,6,36,49,15,9,7,17,122,9,16,1,PHILADELPHIA_76ERS,23,95,19,36,6,33,46,9,14,10,21,115,11,17,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,11_11,23,88,23,19,3,36,39,22,5,4,28,105,14,13,0,PHILADELPHIA_76ERS,24,86,31,32,6,41,36,26,11,13,21,109,7,19,40,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,home,11_12,17,86,28,27,9,29,36,21,6,11,22,99,9,13,0,BOSTON_CELTICS,22,80,33,25,7,32,35,27,8,15,21,105,7,13,40,47,24.9,89.1,21.7,23.6,6.2,32.7,41.6,16.7,8.5,9.3,21.6,108.4,9.8,14.9,0.4,24.2,87.2,24.8,30.0,5.4,34.8,40.7,20.0,10.6,11.2,20.3,112.0,8.5,15.9,42.0,46.0
INDIANA_PACERS,home,11_14,22,90,10,25,9,42,35,10,8,7,14,88,9,9,1,ORLANDO_MAGIC,12,84,13,25,5,43,27,10,5,9,17,69,3,14,49,52,24.1,88.8,19.3,24.2,6.5,32.5,40.4,15.1,8.3,9.2,20.7,104.2,9.6,14.2,0.4,22.8,85.2,24.3,27.7,5.1,35.2,38.9,19.7,9.3,11.1,19.3,106.8,8.0,15.8,41.7,46.3
INDIANA_PACERS,home,11_16,22,86,11,28,12,35,43,7,10,5,16,103,8,10,1,CLEVELAND_CAVALIERS,19,86,20,30,5,40,35,12,11,11,16,93,3,18,40,51,24.1,87.6,18.4,24.6,7.1,32.5,41.0,14.5,8.6,8.3,20.1,105.1,9.7,13.9,0.5,22.7,85.1,24.3,27.4,5.2,35.2,38.6,19.2,9.4,11.0,18.6,105.8,7.7,16.0,40.8,46.2
