name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
MIAMI_HEAT,away,10_26,27,97,16,16,7,36,47,10,4,16,22,108,5,10,1,ORLANDO_MAGIC,20,89,28,18,4,30,34,22,6,15,15,96,5,11,52,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,home,10_28,19,86,20,34,4,41,32,13,14,11,23,91,2,19,0,CHARLOTTE_HORNETS,20,92,24,22,9,36,35,20,7,13,20,97,10,8,52,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,home,10_30,19,80,26,20,6,30,37,18,7,6,24,99,7,12,0,SAN_ANTONIO_SPURS,20,82,26,18,5,30,37,22,10,14,26,106,4,15,36,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,home,11_1,24,86,29,29,9,39,37,21,13,6,21,108,10,15,1,SACRAMENTO_KINGS,12,89,27,23,4,44,34,23,5,9,23,96,4,15,45,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,away,11_4,19,88,15,28,5,31,34,10,9,12,22,87,10,13,0,TORONTO_RAPTORS,14,84,18,25,5,37,37,16,6,13,16,96,7,15,43,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,away,11_7,12,84,22,17,7,29,31,19,4,12,16,85,8,12,0,OKLAHOMA_CITY_THUNDER,24,85,17,28,5,37,37,14,9,10,18,97,8,16,41,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,home,11_10,22,88,15,29,5,32,36,10,13,14,19,95,8,13,0,CHICAGO_BULLS,18,89,20,16,2,36,37,18,6,12,12,98,7,10,46,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,home,11_12,21,81,19,17,4,35,38,10,5,4,17,91,5,8,0,UTAH_JAZZ,12,81,19,20,4,39,40,16,6,6,19,102,5,9,39,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,away,11_14,22,84,21,15,8,31,37,12,4,10,23,90,14,13,0,SAN_ANTONIO_SPURS,24,82,27,15,7,38,33,20,8,14,15,94,4,17,41,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIAMI_HEAT,home,11_15,13,89,14,23,7,31,36,11,7,17,23,90,11,23,0,ATLANTA_HAWKS,18,80,19,17,4,29,37,13,6,6,13,93,14,19,48,35,19.8,86.3,19.7,22.8,6.2,33.5,36.5,13.4,8.0,10.8,21.0,94.4,8.0,13.8,0.2,18.2,85.3,22.5,20.2,4.9,35.6,36.1,18.4,6.9,11.2,17.7,97.5,6.8,13.5,44.3,46.8
MIAMI_HEAT,home,11_17,19,97,21,30,8,42,39,11,7,17,18,96,5,7,1,MILWAUKEE_BUCKS,20,85,13,23,8,36,28,10,7,12,20,73,4,13,59,48,19.0,86.3,20.2,24.2,6.3,34.1,35.7,13.5,8.3,10.9,20.6,93.2,8.0,13.5,0.2,18.2,84.9,21.0,20.7,5.3,36.2,35.5,17.2,7.0,10.9,18.2,95.2,6.7,13.7,45.0,47.1
MIAMI_HEAT,away,11_19,21,85,26,27,7,30,43,15,13,17,21,114,6,16,1,WASHINGTON_WIZARDS,22,89,22,27,2,27,42,16,11,13,22,111,9,11,47,40,19.2,86.2,20.8,23.5,6.6,33.0,36.8,13.7,8.2,11.5,20.4,95.5,8.4,13.2,0.3,18.4,84.6,20.8,21.2,4.6,35.3,36.2,16.8,7.4,10.9,18.4,96.6,6.6,14.0,44.5,46.2
MIAMI_HEAT,away,11_21,17,88,28,31,6,29,34,19,7,21,22,94,7,13,0,PHILADELPHIA_76ERS,21,78,20,26,5,33,37,16,11,7,25,101,8,14,50,40,19.0,87.0,21.0,24.6,6.6,32.9,36.5,13.8,8.2,13.0,20.2,95.0,8.4,13.3,0.3,18.5,84.2,20.2,22.0,4.6,35.6,36.2,16.2,7.5,10.2,18.3,96.1,7.0,13.9,45.9,45.8
MIAMI_HEAT,away,11_23,19,75,30,26,4,30,27,23,7,7,22,84,5,14,0,DETROIT_PISTONS,22,81,25,19,7,39,40,21,6,10,19,107,8,13,37,49,18.5,85.9,21.1,24.3,6.1,32.0,35.5,14.0,7.6,13.1,20.3,92.6,7.9,13.2,0.2,19.5,83.4,20.0,21.6,4.9,35.1,36.8,16.0,7.6,10.3,17.9,97.2,7.4,13.7,45.1,45.4
MIAMI_HEAT,away,11_25,17,85,18,31,8,34,33,12,12,10,21,90,8,8,1,MEMPHIS_GRIZZLIES,14,82,23,19,14,35,29,19,4,16,16,81,3,17,44,51,18.3,85.6,21.4,24.6,6.4,32.3,35.4,14.2,7.9,12.9,20.2,92.9,7.7,12.7,0.3,19.5,83.2,20.5,21.0,5.8,34.9,36.0,16.3,7.4,10.6,17.9,95.7,7.0,13.9,45.2,45.5
MIAMI_HEAT,home,11_26,18,81,24,31,6,31,40,16,11,8,21,107,3,9,0,MEMPHIS_GRIZZLIES,23,73,33,25,5,32,37,27,9,2,19,110,5,6,39,34,18.9,85.3,21.6,26.0,6.3,32.5,36.3,13.9,8.6,12.5,20.7,95.1,7.2,12.4,0.3,19.4,82.0,22.1,20.7,5.8,34.4,36.0,17.6,7.4,9.8,18.0,97.0,6.7,12.9,45.0,44.2
MIAMI_HEAT,home,11_28,24,80,32,30,2,34,38,22,6,7,25,104,6,13,0,BOSTON_CELTICS,26,83,26,27,3,34,40,21,11,6,27,112,4,9,41,40,19.1,84.5,23.3,26.1,6.0,32.7,36.5,15.1,7.9,11.8,21.3,96.0,7.0,12.4,0.3,20.2,81.4,22.7,21.8,5.9,34.2,36.3,17.9,7.9,9.2,19.5,98.4,6.4,12.8,44.5,43.4
