name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
MILWAUKEE_BUCKS,home,10_26,23,92,20,16,5,36,39,15,3,10,22,96,4,8,0,CHARLOTTE_HORNETS,27,89,24,23,10,40,40,20,7,11,22,107,5,10,46,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,home,10_29,25,88,24,22,5,36,41,20,8,8,23,110,14,14,1,BROOKLYN_NETS,23,84,28,34,6,34,37,23,11,11,22,108,12,18,44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,away,10_30,22,87,14,17,4,30,34,11,4,10,16,83,10,12,0,DETROIT_PISTONS,23,88,20,20,4,42,39,15,5,16,14,98,8,15,40,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,away,11_1,30,91,21,32,5,38,44,19,10,11,25,117,9,15,1,NEW_ORLEANS_PELICANS,23,82,41,26,5,33,36,32,9,9,17,113,13,13,49,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,home,11_3,32,82,24,27,6,29,47,19,12,12,23,125,10,21,1,INDIANA_PACERS,29,81,27,23,4,22,38,21,10,10,23,107,14,21,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,home,11_5,28,82,25,33,10,36,41,21,14,17,22,117,12,15,1,SACRAMENTO_KINGS,27,84,19,28,3,23,33,15,10,13,19,91,8,14,53,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,away,11_6,14,82,12,29,2,42,30,9,6,9,26,75,11,27,0,DALLAS_MAVERICKS,14,88,12,38,2,36,33,11,9,10,20,86,12,15,51,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,home,11_10,23,91,25,18,5,37,40,20,6,11,20,106,4,11,0,NEW_ORLEANS_PELICANS,22,89,27,25,7,36,39,25,9,11,19,112,9,10,48,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,home,11_12,20,68,36,18,5,30,36,27,7,5,20,106,9,12,1,MEMPHIS_GRIZZLIES,20,78,21,30,4,29,35,20,6,3,26,96,8,13,35,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILWAUKEE_BUCKS,away,11_16,25,98,18,32,2,32,39,14,8,15,25,100,9,14,0,ATLANTA_HAWKS,29,72,31,32,8,36,35,27,10,3,17,107,6,16,47,39,24.2,86.1,21.9,24.4,4.9,34.6,39.1,17.5,7.8,10.8,22.2,103.5,9.2,14.9,0.5,23.7,83.5,25.0,27.9,5.3,33.1,36.5,20.9,8.6,9.7,19.9,102.5,9.5,14.5,45.4,42.8
MILWAUKEE_BUCKS,away,11_17,20,85,13,23,8,36,28,10,7,12,20,73,4,13,0,MIAMI_HEAT,19,97,21,30,8,42,39,11,7,17,18,96,5,7,48,59,23.9,85.4,21.2,25.1,5.2,34.6,38.0,17.0,8.2,11.0,22.0,101.2,9.2,15.4,0.5,22.9,84.3,24.7,28.6,5.1,33.3,36.4,20.0,8.6,10.3,19.5,101.4,9.5,14.2,45.6,43.6
MILWAUKEE_BUCKS,home,11_19,27,89,25,20,1,31,46,19,10,10,23,121,7,13,0,GOLDEN_STATE_WARRIORS,30,95,32,38,5,27,42,26,14,18,25,124,8,12,41,45,24.1,85.5,21.3,24.9,4.8,34.1,38.5,16.9,8.4,11.2,22.0,102.3,8.5,15.3,0.4,23.6,85.4,25.1,29.0,5.0,32.6,36.9,20.3,8.9,11.0,19.8,103.0,9.1,13.6,45.3,43.6
MILWAUKEE_BUCKS,home,11_21,25,86,21,29,9,30,35,15,8,7,22,93,16,13,1,ORLANDO_MAGIC,21,77,24,25,5,44,32,18,7,10,18,89,8,24,37,54,24.4,85.4,22.0,26.1,5.3,34.1,38.6,17.3,8.8,10.9,22.6,103.3,9.1,15.4,0.5,23.4,84.3,25.5,29.5,5.1,32.8,36.2,20.6,9.1,10.4,20.2,102.1,9.1,14.5,45.0,43.2
MILWAUKEE_BUCKS,home,11_25,26,79,12,29,2,31,40,7,12,7,19,99,4,11,0,TORONTO_RAPTORS,18,82,19,32,5,27,38,15,14,11,17,105,3,9,38,38,24.0,84.2,21.1,25.8,5.0,33.4,38.2,16.1,9.0,10.5,22.0,101.5,8.6,15.0,0.4,22.9,84.3,23.3,30.1,5.1,32.2,36.4,18.9,9.6,10.6,20.2,101.3,8.1,14.1,43.9,42.8
MILWAUKEE_BUCKS,away,11_27,24,86,20,24,6,43,41,14,8,10,16,104,6,11,1,ORLANDO_MAGIC,24,92,17,28,5,36,38,13,7,10,17,96,6,7,53,46,23.2,84.6,20.7,25.5,5.0,34.8,37.6,15.6,8.6,10.3,21.3,99.4,8.2,14.0,0.4,22.4,85.4,22.3,30.6,5.2,33.6,36.4,18.1,9.3,10.6,19.6,100.2,7.3,12.7,45.1,44.2
MILWAUKEE_BUCKS,home,11_29,27,86,23,19,6,33,46,19,7,10,22,118,15,17,1,CLEVELAND_CAVALIERS,17,75,31,39,6,28,32,23,14,7,19,101,7,19,43,35,23.1,85.0,20.5,24.1,4.6,34.5,38.1,15.4,7.9,9.6,21.3,99.5,8.5,14.2,0.4,21.4,84.5,23.5,31.7,5.5,34.1,36.3,18.9,9.7,10.0,19.6,101.2,7.2,13.2,44.1,44.1
MILWAUKEE_BUCKS,away,12_1,23,80,29,34,10,34,36,24,15,14,18,111,8,18,1,BROOKLYN_NETS,20,89,16,40,9,28,34,13,12,12,22,93,9,17,48,40,24.0,84.8,22.2,24.6,5.4,33.7,38.7,16.9,8.8,10.1,20.5,103.1,8.2,13.3,0.5,22.0,84.6,23.9,31.9,6.2,33.3,36.4,19.1,10.0,10.2,19.8,101.9,6.9,13.4,43.8,43.5
MILWAUKEE_BUCKS,home,12_3,25,85,36,24,10,39,40,26,6,7,24,112,9,11,1,BROOKLYN_NETS,21,91,33,41,5,36,34,24,11,10,26,103,6,14,46,46,24.2,84.2,23.3,25.2,5.9,33.9,38.7,17.5,8.8,9.7,20.9,103.7,8.7,13.3,0.6,21.9,84.8,24.5,33.5,6.0,33.3,35.9,19.0,10.2,10.1,20.5,101.0,6.6,13.8,43.6,43.4
MILWAUKEE_BUCKS,home,12_5,16,73,34,24,7,36,30,30,6,7,16,96,4,14,0,SAN_ANTONIO_SPURS,26,93,14,28,5,34,40,9,8,12,22,97,6,14,43,46,23.8,84.7,23.1,25.8,6.1,34.5,38.1,17.8,8.7,9.9,20.5,102.7,8.2,13.5,0.5,22.5,86.3,23.8,33.3,6.1,33.8,36.4,17.9,10.4,11.0,20.1,101.1,6.4,13.9,44.4,44.8
MILWAUKEE_BUCKS,home,12_7,19,77,37,24,7,36,40,25,10,5,13,115,8,10,1,PORTLAND_TRAIL_BLAZERS,25,85,19,40,4,34,37,16,17,10,22,107,7,15,41,44,23.2,82.6,25.0,25.0,6.6,34.9,38.2,18.9,8.9,8.9,19.3,104.2,8.1,13.1,0.6,22.1,87.6,22.6,34.1,5.7,33.6,36.6,16.8,11.1,11.7,20.6,101.1,6.5,13.8,43.8,45.3
MILWAUKEE_BUCKS,home,12_9,26,94,14,28,5,34,44,10,12,9,25,110,11,15,0,ATLANTA_HAWKS,32,84,29,34,8,37,40,22,12,9,11,114,7,17,43,46,23.8,83.5,25.1,25.5,6.3,34.7,39.8,18.9,9.4,8.6,19.8,107.9,8.8,13.3,0.6,23.4,86.3,23.4,34.5,5.7,33.1,36.7,17.9,11.6,10.9,19.9,102.9,6.7,14.8,43.3,44.0
MILWAUKEE_BUCKS,away,12_10,22,79,15,25,3,33,40,12,13,7,21,105,1,20,0,WASHINGTON_WIZARDS,29,88,28,21,3,28,40,22,8,12,17,110,10,9,40,40,23.3,82.5,24.1,26.0,6.5,34.9,39.2,18.2,9.7,8.3,19.6,106.3,8.2,14.0,0.6,23.3,85.6,23.0,32.8,5.5,33.2,36.5,17.5,11.0,10.3,19.1,101.5,6.9,14.5,43.2,43.5
