name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
NEW_ORLEANS_PELICANS,home,10_26,31,92,26,19,5,28,38,23,3,5,29,102,16,11,0,DENVER_NUGGETS,18,83,33,24,4,47,37,25,8,11,22,107,7,24,33,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,home,10_28,29,100,23,22,5,37,47,15,5,12,24,114,8,13,0,GOLDEN_STATE_WARRIORS,32,91,28,28,2,40,44,25,9,9,22,122,8,14,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,away,10_29,14,86,15,22,5,38,32,11,4,7,19,79,6,9,0,SAN_ANTONIO_SPURS,21,83,23,24,7,44,35,18,10,6,15,98,6,9,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,home,11_1,23,82,41,26,5,33,36,32,9,9,17,113,13,13,0,MILWAUKEE_BUCKS,30,91,21,32,5,38,44,19,10,11,25,117,9,15,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,away,11_2,17,81,16,34,9,38,30,12,11,5,26,83,8,21,0,MEMPHIS_GRIZZLIES,20,94,20,27,5,39,33,15,8,13,22,89,12,17,43,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,home,11_4,28,94,28,30,13,37,43,15,10,6,21,111,7,8,0,PHOENIX_SUNS,18,93,28,24,2,47,40,24,8,12,27,112,7,15,43,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,away,11_7,26,80,27,21,1,32,39,21,7,11,16,106,8,19,0,GOLDEN_STATE_WARRIORS,35,90,12,35,4,28,45,10,16,10,17,116,14,15,43,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,away,11_8,23,84,18,21,9,33,38,13,5,7,23,94,5,10,0,SACRAMENTO_KINGS,24,81,20,25,5,34,39,16,8,5,21,102,7,10,40,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,away,11_10,22,89,27,25,7,36,39,25,9,11,19,112,9,10,1,MILWAUKEE_BUCKS,23,91,25,18,5,37,40,20,6,11,20,106,4,11,47,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_ORLEANS_PELICANS,home,11_12,20,90,19,20,5,30,39,15,6,12,10,99,4,10,0,LOS_ANGELES_LAKERS,36,94,7,30,5,37,52,6,16,10,17,126,8,10,42,47,23.3,87.8,24.0,24.0,6.4,34.2,38.1,18.2,6.9,8.5,20.4,101.3,8.4,12.4,0.1,25.7,89.1,21.7,26.7,4.4,39.1,40.9,17.8,9.9,9.8,20.8,109.5,8.2,14.0,42.7,48.9
