name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
NEW_YORK_KNICKS,away,10_25,17,87,20,27,6,29,32,15,9,13,22,88,6,18,0,CLEVELAND_CAVALIERS,31,94,19,35,5,40,45,14,13,11,22,117,12,14,42,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,home,10_29,24,76,39,21,4,35,40,25,6,6,25,111,4,12,1,MEMPHIS_GRIZZLIES,19,86,26,25,2,29,37,21,9,11,30,104,3,12,41,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,away,11_1,18,86,15,22,9,35,35,12,7,8,20,89,6,11,0,DETROIT_PISTONS,19,89,21,13,5,38,41,12,8,10,16,102,7,10,43,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,home,11_2,18,85,25,20,6,27,37,17,8,7,22,99,10,16,0,HOUSTON_ROCKETS,25,89,27,40,8,35,42,19,15,19,21,118,12,19,34,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,away,11_4,32,89,21,21,2,29,46,16,9,11,23,117,7,5,1,CHICAGO_BULLS,15,84,27,23,4,27,37,22,8,15,16,104,4,12,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,home,11_6,18,83,19,20,5,29,42,17,8,10,26,109,8,12,0,UTAH_JAZZ,21,75,35,25,4,27,38,30,8,7,19,114,6,10,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,home,11_9,25,92,17,30,5,41,44,12,10,9,21,110,11,14,1,BROOKLYN_NETS,19,79,27,33,4,33,33,19,11,7,20,96,9,18,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,away,11_11,19,94,17,23,11,36,33,15,6,21,26,87,7,25,0,BOSTON_CELTICS,23,90,43,27,3,34,35,34,11,19,18,115,16,15,57,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,away,11_12,19,97,16,23,2,32,44,12,7,17,23,107,3,16,0,TORONTO_RAPTORS,18,83,38,22,6,33,39,33,7,11,20,118,10,11,49,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW_YORK_KNICKS,home,11_14,18,78,18,25,5,37,34,16,9,14,16,93,5,17,1,DALLAS_MAVERICKS,15,84,11,27,7,29,32,8,5,11,16,77,8,11,51,40,20.8,86.7,20.7,23.2,5.5,33.0,38.7,15.7,7.9,11.6,22.4,101.0,6.7,14.6,0.4,20.5,85.3,27.4,27.0,4.8,32.5,37.9,21.2,9.5,12.1,19.8,106.5,8.7,13.2,44.6,44.6
NEW_YORK_KNICKS,home,11_16,24,93,19,25,9,33,42,12,9,19,11,105,8,9,1,DETROIT_PISTONS,19,85,12,23,1,32,42,10,8,8,14,102,6,10,52,40,21.5,87.3,20.6,23.0,5.8,33.4,39.7,15.4,7.9,12.2,21.3,102.7,6.9,13.7,0.5,19.3,84.4,26.7,25.8,4.4,31.7,37.6,20.8,9.0,11.8,19.0,105.0,8.1,12.8,45.6,43.5
NEW_YORK_KNICKS,away,11_17,23,86,20,29,1,26,41,18,12,10,20,112,9,13,0,WASHINGTON_WIZARDS,26,81,18,25,2,30,44,16,15,7,21,119,7,15,36,37,21.4,88.3,18.7,23.8,5.5,32.5,39.8,14.7,8.5,12.6,20.8,102.8,7.4,13.8,0.4,20.0,83.9,25.9,25.8,4.4,31.8,38.3,20.3,9.6,11.4,18.1,106.5,8.5,13.1,45.1,43.2
