name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
OKLAHOMA_CITY_THUNDER,away,10_26,19,94,26,22,3,40,39,19,6,13,23,103,7,10,1,PHILADELPHIA_76ERS,21,84,25,24,10,38,36,18,7,5,22,97,5,13,53,43
OKLAHOMA_CITY_THUNDER,home,10_28,13,96,38,21,3,43,40,28,5,14,24,113,11,22,1,PHOENIX_SUNS,15,94,32,28,3,37,42,21,5,7,29,110,11,15,57,44
OKLAHOMA_CITY_THUNDER,home,10_30,29,95,17,26,6,35,45,14,9,10,22,113,15,19,1,LOS_ANGELES_LAKERS,20,87,24,32,2,30,35,19,7,11,18,96,15,21,45,41
OKLAHOMA_CITY_THUNDER,away,11_2,14,84,20,20,4,42,34,12,5,10,24,85,8,21,1,LOS_ANGELES_CLIPPERS,22,87,18,22,5,33,34,8,7,8,19,83,13,17,52,41
OKLAHOMA_CITY_THUNDER,away,11_3,20,87,28,27,6,28,35,16,10,13,20,96,8,16,0,GOLDEN_STATE_WARRIORS,27,89,20,30,14,31,46,16,14,15,18,122,9,15,41,46
OKLAHOMA_CITY_THUNDER,home,11_5,24,86,24,16,9,30,45,15,7,11,21,112,9,12,1,MINNESOTA_TIMBERWOLVES,12,84,29,19,8,24,33,22,4,17,19,92,7,17,41,41
OKLAHOMA_CITY_THUNDER,home,11_7,24,85,17,28,5,37,37,14,9,10,18,97,8,16,1,MIAMI_HEAT,12,84,22,17,7,29,31,19,4,12,16,85,8,12,47,41
OKLAHOMA_CITY_THUNDER,home,11_9,18,74,31,34,5,28,31,28,12,11,21,102,6,19,0,TORONTO_RAPTORS,25,83,22,26,6,28,43,15,11,7,24,112,10,11,39,35
OKLAHOMA_CITY_THUNDER,home,11_11,21,88,19,28,1,36,38,16,16,9,27,108,3,16,0,LOS_ANGELES_CLIPPERS,18,86,35,27,3,34,39,21,11,11,20,110,9,10,45,45
OKLAHOMA_CITY_THUNDER,home,11_13,22,92,26,25,6,30,47,16,7,12,19,117,4,10,0,ORLANDO_MAGIC,24,86,20,24,7,30,46,16,11,8,20,119,4,9,42,38
OKLAHOMA_CITY_THUNDER,away,11_14,16,88,22,27,6,38,33,17,5,13,21,88,3,15,0,DETROIT_PISTONS,25,92,16,16,9,43,43,13,5,4,14,104,4,9,51,47
OKLAHOMA_CITY_THUNDER,home,11_16,25,84,14,25,7,39,40,13,12,5,15,105,7,16,1,HOUSTON_ROCKETS,25,92,14,40,4,35,40,9,14,12,10,103,10,16,44,47
OKLAHOMA_CITY_THUNDER,home,11_18,23,89,24,26,5,36,49,19,7,10,24,124,9,16,1,BROOKLYN_NETS,19,83,30,29,2,23,35,24,11,7,19,105,6,16,46,30
OKLAHOMA_CITY_THUNDER,home,11_20,28,101,18,36,7,34,44,13,10,15,23,111,10,20,0,INDIANA_PACERS,23,89,31,22,2,36,40,24,11,15,20,115,13,22,49,51
OKLAHOMA_CITY_THUNDER,away,11_22,29,92,11,27,6,29,45,8,11,11,14,109,11,15,0,LOS_ANGELES_LAKERS,25,83,16,27,7,29,42,13,14,6,17,111,8,17,40,35
OKLAHOMA_CITY_THUNDER,away,11_23,18,76,38,25,7,33,32,30,7,5,21,101,7,9,0,SACRAMENTO_KINGS,26,94,17,28,1,35,44,16,12,11,23,116,4,11,38,46
OKLAHOMA_CITY_THUNDER,away,11_25,29,96,29,26,4,33,48,23,13,7,21,132,11,12,1,DENVER_NUGGETS,34,101,27,34,7,39,48,21,12,13,21,129,9,16,40,52
OKLAHOMA_CITY_THUNDER,home,11_26,23,83,26,23,3,33,42,14,8,10,16,106,4,10,1,DETROIT_PISTONS,11,82,17,19,1,26,37,13,1,6,20,88,7,8,43,32
OKLAHOMA_CITY_THUNDER,away,11_28,25,92,18,22,7,36,46,12,8,17,22,112,4,14,1,NEW_YORK_KNICKS,20,91,28,19,11,28,36,25,6,12,16,103,9,5,53,40
OKLAHOMA_CITY_THUNDER,home,11_30,28,95,31,30,4,38,46,22,12,9,22,126,10,13,1,WASHINGTON_WIZARDS,25,98,26,28,3,37,44,17,10,11,25,115,8,11,47,48
OKLAHOMA_CITY_THUNDER,home,12_4,24,89,26,28,5,48,41,13,6,11,15,101,7,15,1,NEW_ORLEANS_PELICANS,15,98,19,28,6,39,36,14,6,12,22,92,8,11,59,51
OKLAHOMA_CITY_THUNDER,away,12_5,26,80,28,31,5,35,37,18,10,8,27,102,9,19,1,ATLANTA_HAWKS,26,77,32,22,3,29,34,24,7,7,24,99,13,18,43,36
OKLAHOMA_CITY_THUNDER,home,12_9,18,81,31,28,5,37,34,24,7,9,19,99,9,17,0,HOUSTON_ROCKETS,26,92,30,42,1,36,36,19,11,16,24,102,9,15,46,52
OKLAHOMA_CITY_THUNDER,home,12_11,17,83,27,21,7,34,41,14,3,15,9,99,9,12,1,BOSTON_CELTICS,28,90,8,32,4,28,40,5,11,12,22,96,9,13,49,40
OKLAHOMA_CITY_THUNDER,away,12_13,18,87,28,27,2,27,33,21,8,16,21,95,10,21,0,PORTLAND_TRAIL_BLAZERS,23,80,27,23,9,29,43,20,8,8,26,114,11,14,43,37
OKLAHOMA_CITY_THUNDER,away,12_14,14,82,27,19,3,25,30,23,6,13,18,89,4,9,0,UTAH_JAZZ,22,72,15,23,6,34,42,12,13,4,22,109,4,14,38,38
OKLAHOMA_CITY_THUNDER,home,12_17,28,81,34,16,4,32,41,25,7,10,21,114,12,13,1,PHOENIX_SUNS,16,90,20,22,5,27,39,15,8,16,23,101,5,16,42,43
OKLAHOMA_CITY_THUNDER,home,12_19,13,87,26,35,3,29,39,20,10,15,18,108,8,12,0,ATLANTA_HAWKS,24,75,24,23,2,30,41,19,9,5,20,110,5,15,44,35
OKLAHOMA_CITY_THUNDER,away,12_21,22,88,24,28,6,36,45,20,11,13,20,121,8,10,1,NEW_ORLEANS_PELICANS,25,88,23,20,3,27,42,18,8,6,18,110,4,9,49,33
OKLAHOMA_CITY_THUNDER,away,12_23,27,80,36,26,6,34,41,24,11,10,21,117,5,13,1,BOSTON_CELTICS,29,93,26,28,2,29,41,21,9,10,29,112,8,12,44,39
OKLAHOMA_CITY_THUNDER,home,12_25,26,82,24,24,4,33,42,20,8,9,24,112,8,15,1,MINNESOTA_TIMBERWOLVES,19,83,23,12,2,25,39,18,4,11,21,100,11,12,42,36
OKLAHOMA_CITY_THUNDER,away,12_27,21,82,25,19,4,32,42,17,5,14,21,106,3,17,1,MIAMI_HEAT,14,82,21,22,4,23,36,15,7,9,23,94,10,12,46,32
OKLAHOMA_CITY_THUNDER,away,12_29,9,74,38,22,7,25,25,26,4,14,18,80,5,18,0,MEMPHIS_GRIZZLIES,24,82,20,22,9,28,43,15,13,11,27,114,8,12,39,39
OKLAHOMA_CITY_THUNDER,home,12_31,25,78,35,29,6,36,37,30,10,8,20,114,9,9,1,LOS_ANGELES_CLIPPERS,14,75,21,30,4,31,31,18,8,7,25,88,4,15,44,38
OKLAHOMA_CITY_THUNDER,away,1_2,20,78,19,27,5,32,36,13,9,8,20,94,7,10,0,MILWAUKEE_BUCKS,21,79,24,19,4,32,38,15,7,7,17,98,4,10,40,39
OKLAHOMA_CITY_THUNDER,away,1_4,22,96,23,30,3,37,42,19,9,14,31,112,6,14,0,CHARLOTTE_HORNETS,25,80,49,24,10,33,37,40,9,10,21,123,8,11,51,43
OKLAHOMA_CITY_THUNDER,away,1_5,15,91,27,30,9,38,41,22,12,16,21,116,6,9,0,HOUSTON_ROCKETS,27,86,30,39,3,34,41,21,15,9,20,118,6,9,54,43
OKLAHOMA_CITY_THUNDER,home,1_7,23,89,29,36,11,43,43,23,12,6,20,121,8,10,1,DENVER_NUGGETS,18,99,24,24,4,38,40,17,9,15,23,106,7,12,49,53
OKLAHOMA_CITY_THUNDER,away,1_9,30,83,11,24,5,36,47,8,7,6,17,109,5,12,1,CHICAGO_BULLS,18,83,22,19,2,29,34,19,7,9,13,94,7,11,42,38
OKLAHOMA_CITY_THUNDER,home,1_11,21,81,29,26,4,42,36,23,8,11,18,103,5,16,1,MEMPHIS_GRIZZLIES,18,92,21,24,5,26,38,12,7,13,26,95,11,10,53,39
OKLAHOMA_CITY_THUNDER,away,1_13,19,85,21,20,2,31,33,17,3,16,21,86,10,18,0,MINNESOTA_TIMBERWOLVES,21,86,14,18,6,33,39,13,5,9,22,96,11,15,47,42
OKLAHOMA_CITY_THUNDER,away,1_15,20,90,41,28,4,27,40,33,9,17,28,122,14,19,1,SACRAMENTO_KINGS,24,81,40,25,6,30,37,35,9,14,29,118,13,22,44,44
OKLAHOMA_CITY_THUNDER,away,1_16,18,85,19,30,4,27,36,16,10,9,15,98,10,15,0,LOS_ANGELES_CLIPPERS,27,82,22,28,5,37,45,18,12,10,15,120,9,15,36,47
OKLAHOMA_CITY_THUNDER,away,1_18,23,90,19,28,6,23,38,16,8,13,22,100,11,18,0,GOLDEN_STATE_WARRIORS,35,85,27,21,8,35,46,19,10,11,16,121,11,18,36,46
OKLAHOMA_CITY_THUNDER,away,1_23,17,83,25,20,6,37,36,19,6,8,23,97,6,10,1,UTAH_JAZZ,16,84,26,21,7,34,36,18,5,8,18,95,10,10,45,42
OKLAHOMA_CITY_THUNDER,away,1_25,24,91,28,27,11,43,42,20,10,12,18,114,6,16,1,NEW_ORLEANS_PELICANS,23,96,19,27,9,37,41,12,11,9,23,105,7,12,55,46
OKLAHOMA_CITY_THUNDER,home,1_26,13,72,36,22,2,36,37,26,9,7,17,109,7,16,1,DALLAS_MAVERICKS,17,84,13,26,2,28,38,11,11,8,26,98,10,12,43,36
OKLAHOMA_CITY_THUNDER,away,1_29,20,100,16,26,4,42,37,11,6,13,19,91,5,16,0,CLEVELAND_CAVALIERS,22,92,22,29,6,43,41,17,8,8,16,107,9,10,55,51
OKLAHOMA_CITY_THUNDER,away,1_31,21,85,32,28,7,38,30,27,7,12,30,94,12,20,0,SAN_ANTONIO_SPURS,16,86,38,21,13,40,37,27,7,10,25,108,12,17,50,50
OKLAHOMA_CITY_THUNDER,home,2_1,17,100,17,37,4,26,38,14,10,11,23,100,6,9,0,CHICAGO_BULLS,25,81,30,15,2,38,49,24,6,4,19,128,7,9,37,42
OKLAHOMA_CITY_THUNDER,home,2_3,21,80,33,26,3,31,38,25,13,16,21,114,7,20,1,MEMPHIS_GRIZZLIES,21,83,22,19,5,21,40,19,3,8,28,102,10,12,47,29
OKLAHOMA_CITY_THUNDER,home,2_5,18,98,28,18,5,39,40,21,4,17,17,105,9,12,1,PORTLAND_TRAIL_BLAZERS,15,87,21,28,4,33,35,19,10,11,22,99,6,12,56,44
OKLAHOMA_CITY_THUNDER,away,2_6,17,88,21,28,11,41,34,15,7,20,21,90,6,16,0,INDIANA_PACERS,19,87,29,26,10,24,33,19,8,13,17,93,7,10,61,37
OKLAHOMA_CITY_THUNDER,home,2_9,24,106,13,27,5,34,50,10,8,17,23,118,10,13,1,CLEVELAND_CAVALIERS,14,79,30,21,6,30,38,23,10,5,14,109,9,16,51,35
OKLAHOMA_CITY_THUNDER,home,2_11,20,83,36,24,8,31,40,28,6,12,23,114,7,19,0,GOLDEN_STATE_WARRIORS,28,87,35,31,3,30,46,25,13,10,22,130,10,11,43,40
OKLAHOMA_CITY_THUNDER,away,2_13,16,96,30,34,2,27,34,23,7,20,22,98,10,15,0,WASHINGTON_WIZARDS,27,73,28,20,9,34,42,23,13,6,24,120,4,22,47,40
OKLAHOMA_CITY_THUNDER,home,2_15,21,88,31,23,4,36,41,22,12,12,13,116,10,12,1,NEW_YORK_KNICKS,19,86,14,21,12,33,41,12,11,6,21,105,8,15,48,39
OKLAHOMA_CITY_THUNDER,home,2_24,28,97,17,24,6,45,44,12,10,14,14,110,9,17,1,LOS_ANGELES_LAKERS,23,101,14,35,8,36,40,6,7,15,19,93,15,13,59,51
OKLAHOMA_CITY_THUNDER,home,2_26,17,88,37,21,0,37,42,28,6,16,29,118,4,13,1,NEW_ORLEANS_PELICANS,17,80,37,21,1,28,36,30,8,7,26,110,10,10,53,35
OKLAHOMA_CITY_THUNDER,home,2_28,20,76,23,22,7,36,39,16,15,6,17,109,5,14,1,UTAH_JAZZ,22,93,13,22,4,25,43,11,9,8,18,106,8,7,42,33
OKLAHOMA_CITY_THUNDER,away,3_2,11,86,32,29,7,28,34,30,11,12,25,109,9,12,0,PORTLAND_TRAIL_BLAZERS,19,79,35,25,7,36,39,26,10,9,19,114,9,14,40,45
OKLAHOMA_CITY_THUNDER,away,3_3,14,87,35,35,5,36,37,28,9,11,30,111,10,19,0,PHOENIX_SUNS,28,89,31,21,7,36,44,25,5,9,26,118,10,17,47,45
OKLAHOMA_CITY_THUNDER,away,3_5,19,82,30,22,2,36,33,21,2,13,21,89,4,15,0,DALLAS_MAVERICKS,24,86,16,25,2,32,42,13,7,5,20,104,6,8,49,37
OKLAHOMA_CITY_THUNDER,home,3_7,16,85,30,25,1,27,44,23,10,12,25,121,4,17,0,PORTLAND_TRAIL_BLAZERS,24,85,27,23,5,24,47,21,11,12,23,126,7,11,39,36
OKLAHOMA_CITY_THUNDER,home,3_9,23,89,21,20,3,33,41,14,6,15,22,102,10,11,1,SAN_ANTONIO_SPURS,15,84,20,19,8,28,35,16,6,13,16,92,8,15,48,41
OKLAHOMA_CITY_THUNDER,home,3_11,23,86,24,23,7,31,43,18,8,12,20,112,7,12,1,UTAH_JAZZ,15,75,28,20,2,29,36,23,9,7,17,104,9,12,43,36
OKLAHOMA_CITY_THUNDER,away,3_14,30,89,34,22,6,31,44,24,10,13,27,122,13,13,1,BROOKLYN_NETS,20,71,30,24,6,28,33,26,12,4,23,104,6,18,44,32
OKLAHOMA_CITY_THUNDER,away,3_16,33,88,19,25,1,37,47,15,14,10,22,123,10,18,1,TORONTO_RAPTORS,15,81,30,20,10,26,37,23,5,6,20,102,10,14,47,32
OKLAHOMA_CITY_THUNDER,home,3_18,23,82,25,26,4,36,41,18,10,13,21,110,7,14,1,SACRAMENTO_KINGS,16,85,23,21,2,26,35,19,5,9,22,94,9,12,49,35
OKLAHOMA_CITY_THUNDER,home,3_20,18,87,31,21,2,28,37,17,4,12,19,95,10,11,0,GOLDEN_STATE_WARRIORS,28,83,21,33,8,37,40,16,15,9,22,111,8,16,40,46
OKLAHOMA_CITY_THUNDER,home,3_22,26,88,30,16,8,36,48,22,4,18,17,122,7,16,1,PHILADELPHIA_76ERS,19,87,17,25,4,19,37,15,8,6,23,97,8,9,54,25
OKLAHOMA_CITY_THUNDER,away,3_26,27,94,28,30,3,26,47,20,11,15,21,125,15,16,0,HOUSTON_ROCKETS,32,79,21,39,4,34,50,17,20,2,23,137,8,19,41,36
OKLAHOMA_CITY_THUNDER,away,3_27,17,85,14,23,7,37,37,12,6,11,21,92,10,17,1,DALLAS_MAVERICKS,23,80,19,29,4,31,33,15,10,8,16,91,12,14,48,39
OKLAHOMA_CITY_THUNDER,away,3_29,18,102,28,33,7,46,43,18,10,11,20,114,11,11,1,ORLANDO_MAGIC,24,97,27,30,8,42,39,19,9,11,22,106,9,14,57,53
OKLAHOMA_CITY_THUNDER,home,3_31,21,81,27,21,3,33,33,23,6,13,21,95,7,18,0,SAN_ANTONIO_SPURS,23,85,27,27,11,28,37,17,9,13,23,100,8,13,46,41
OKLAHOMA_CITY_THUNDER,home,4_2,19,84,12,31,5,35,39,11,12,7,20,101,10,24,0,CHARLOTTE_HORNETS,20,77,32,30,5,34,37,28,11,3,13,113,18,16,42,37
OKLAHOMA_CITY_THUNDER,home,4_4,29,84,25,28,7,42,40,21,9,11,20,110,9,13,1,MILWAUKEE_BUCKS,16,81,26,18,5,28,29,18,3,10,19,79,9,11,53,38
OKLAHOMA_CITY_THUNDER,away,4_5,19,85,24,31,3,32,37,15,14,12,20,103,8,12,1,MEMPHIS_GRIZZLIES,21,78,21,26,5,31,37,17,9,7,18,100,7,13,44,38
OKLAHOMA_CITY_THUNDER,away,4_7,13,92,33,30,3,26,34,24,7,22,26,99,1,9,0,PHOENIX_SUNS,16,83,31,18,6,33,43,26,8,12,26,120,6,7,48,45
OKLAHOMA_CITY_THUNDER,away,4_9,19,96,22,25,3,36,40,20,6,18,19,106,7,12,1,DENVER_NUGGETS,22,84,15,34,4,38,40,14,11,4,16,105,6,12,54,42
OKLAHOMA_CITY_THUNDER,away,4_11,22,86,25,22,4,36,37,19,7,18,21,100,7,17,1,MINNESOTA_TIMBERWOLVES,24,86,25,20,3,24,38,17,5,11,17,98,12,11,54,35
OKLAHOMA_CITY_THUNDER,home,4_12,20,101,17,25,8,37,43,11,8,14,24,105,10,12,0,DENVER_NUGGETS,22,85,32,25,8,38,39,26,7,5,17,111,6,15,51,43
OKLAHOMA_CITY_THUNDER,away,4_16,19,81,23,29,5,34,30,18,9,7,19,87,8,15,0,HOUSTON_ROCKETS,21,91,26,33,3,42,45,18,10,14,19,118,8,11,41,56
OKLAHOMA_CITY_THUNDER,away,4_19,20,97,28,30,11,31,40,24,7,17,24,111,9,7,0,HOUSTON_ROCKETS,20,78,37,29,8,32,38,28,11,5,21,115,5,13,48,37
OKLAHOMA_CITY_THUNDER,home,4_21,24,83,23,19,5,31,46,14,9,9,21,115,8,11,1,HOUSTON_ROCKETS,10,83,33,35,6,31,38,27,10,11,24,113,4,13,40,42
OKLAHOMA_CITY_THUNDER,home,4_23,20,85,32,19,12,30,42,18,7,10,20,109,10,17,0,HOUSTON_ROCKETS,19,85,33,35,2,32,37,28,11,13,26,113,13,19,40,45
OKLAHOMA_CITY_THUNDER,away,4_25,16,91,29,38,7,31,35,19,10,18,27,99,7,13,0,HOUSTON_ROCKETS,13,82,39,37,6,37,33,33,6,10,23,105,7,12,49,47
