name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
PORTLAND_TRAIL_BLAZERS,home,10_25,22,75,22,19,3,29,39,22,13,5,18,113,5,12,1,UTAH_JAZZ,19,82,16,24,5,25,40,16,8,6,19,104,9,11,34,31
PORTLAND_TRAIL_BLAZERS,home,10_27,18,85,32,18,4,39,39,24,4,9,34,106,4,14,0,LOS_ANGELES_CLIPPERS,12,91,46,29,4,33,37,32,8,15,25,114,10,7,48,48
PORTLAND_TRAIL_BLAZERS,away,10_29,23,98,21,32,8,40,45,15,10,5,30,115,10,15,1,DENVER_NUGGETS,19,100,39,23,5,45,38,31,6,16,21,113,10,17,45,61
PORTLAND_TRAIL_BLAZERS,home,11_1,23,86,21,39,4,26,37,16,14,6,17,104,12,18,0,GOLDEN_STATE_WARRIORS,36,89,23,26,4,38,50,17,10,7,19,127,14,16,32,45
PORTLAND_TRAIL_BLAZERS,away,11_2,25,101,21,33,8,43,42,19,12,10,23,115,8,14,0,PHOENIX_SUNS,15,103,30,16,5,45,44,25,5,14,20,118,10,12,53,59
PORTLAND_TRAIL_BLAZERS,away,11_4,21,80,26,31,3,35,36,21,12,7,20,105,9,14,1,DALLAS_MAVERICKS,18,83,20,28,3,37,34,17,10,7,21,95,5,12,42,44
PORTLAND_TRAIL_BLAZERS,away,11_6,19,71,27,33,5,32,32,22,14,5,25,100,7,15,1,MEMPHIS_GRIZZLIES,15,81,32,26,5,32,31,26,6,12,20,94,9,13,37,44
PORTLAND_TRAIL_BLAZERS,home,11_8,22,81,28,31,4,28,45,20,14,7,27,124,5,20,1,PHOENIX_SUNS,18,86,33,21,2,26,43,28,7,15,27,121,10,16,35,41
PORTLAND_TRAIL_BLAZERS,away,11_9,16,88,14,30,3,36,31,12,6,11,23,80,4,14,0,LOS_ANGELES_CLIPPERS,24,87,33,32,7,41,38,24,11,14,15,111,9,7,47,55
PORTLAND_TRAIL_BLAZERS,home,11_11,29,86,27,33,4,29,45,19,13,7,24,122,8,11,1,SACRAMENTO_KINGS,18,88,35,21,3,35,43,28,6,13,21,120,7,15,36,48
