name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
SACRAMENTO_KINGS,away,10_26,24,86,26,21,5,31,44,19,6,10,20,113,5,13,1,PHOENIX_SUNS,20,77,27,16,3,31,36,18,4,10,29,94,6,18,41,41
SACRAMENTO_KINGS,home,10_27,22,70,38,20,0,34,28,32,6,6,21,94,7,15,0,SAN_ANTONIO_SPURS,23,79,27,18,8,31,36,24,6,9,26,102,10,9,40,40
SACRAMENTO_KINGS,home,10_29,24,85,25,26,5,20,39,19,9,11,24,106,6,13,1,MINNESOTA_TIMBERWOLVES,19,70,31,22,5,29,37,22,7,7,25,103,6,11,31,36
SACRAMENTO_KINGS,away,10_31,26,75,19,23,6,32,36,13,10,6,34,95,10,19,0,ATLANTA_HAWKS,24,79,47,30,6,26,33,29,11,17,20,106,11,13,38,43
SACRAMENTO_KINGS,away,11_1,12,89,27,23,4,44,34,23,5,9,23,96,4,15,0,MIAMI_HEAT,24,86,29,29,9,39,37,21,13,6,21,108,10,15,53,45
SACRAMENTO_KINGS,away,11_3,17,80,17,18,1,28,38,11,7,11,23,94,8,14,0,ORLANDO_MAGIC,24,84,23,30,4,31,38,16,10,13,14,102,5,14,39,44
SACRAMENTO_KINGS,away,11_5,27,84,19,28,3,23,33,15,10,13,19,91,8,14,0,MILWAUKEE_BUCKS,28,82,25,33,10,36,41,21,14,17,22,117,12,15,36,53
SACRAMENTO_KINGS,away,11_6,21,78,31,16,5,34,34,23,5,13,22,96,4,9,1,TORONTO_RAPTORS,22,84,31,30,5,30,30,24,7,13,26,91,6,6,47,43
SACRAMENTO_KINGS,home,11_8,24,81,20,25,5,34,39,16,8,5,21,102,7,10,1,NEW_ORLEANS_PELICANS,23,84,18,21,9,33,38,13,5,7,23,94,5,10,39,40
SACRAMENTO_KINGS,home,11_10,18,85,20,21,3,32,34,15,8,11,19,91,13,15,0,LOS_ANGELES_LAKERS,18,74,22,27,2,38,38,16,9,4,19,101,8,21,43,42
SACRAMENTO_KINGS,away,11_11,18,88,35,21,3,35,43,28,6,13,21,120,7,15,0,PORTLAND_TRAIL_BLAZERS,29,86,27,33,4,29,45,19,13,7,24,122,8,11,48,36
SACRAMENTO_KINGS,home,11_16,21,76,31,20,3,36,36,24,9,10,17,105,5,16,0,SAN_ANTONIO_SPURS,29,88,17,30,7,28,43,13,11,9,21,110,11,11,46,37
SACRAMENTO_KINGS,home,11_18,21,86,35,26,4,28,38,29,10,9,24,115,7,14,0,LOS_ANGELES_CLIPPERS,27,76,34,29,6,32,40,28,13,5,24,121,7,14,37,37
SACRAMENTO_KINGS,home,11_20,26,81,25,27,8,33,36,19,11,4,18,102,8,13,1,TORONTO_RAPTORS,16,85,24,24,6,32,34,22,9,16,21,99,7,15,37,48
SACRAMENTO_KINGS,home,11_23,26,94,17,28,1,35,44,16,12,11,23,116,4,11,1,OKLAHOMA_CITY_THUNDER,18,76,38,25,7,33,32,30,7,5,21,101,7,9,46,38
SACRAMENTO_KINGS,home,11_25,24,80,21,32,6,33,39,17,9,4,18,104,7,14,0,HOUSTON_ROCKETS,27,85,20,50,2,34,40,16,21,8,19,117,8,14,37,42
SACRAMENTO_KINGS,away,11_27,24,86,22,23,3,36,46,17,13,9,12,122,11,13,1,BROOKLYN_NETS,19,87,14,40,1,33,38,13,16,9,21,105,7,15,45,42
SACRAMENTO_KINGS,away,11_28,20,93,26,21,4,31,38,16,3,13,24,95,15,20,0,WASHINGTON_WIZARDS,22,85,26,25,7,38,35,21,10,11,23,101,11,23,44,49
SACRAMENTO_KINGS,away,12_2,22,88,25,26,10,37,33,20,6,14,16,92,9,14,0,BOSTON_CELTICS,25,88,15,28,9,34,36,14,11,11,22,97,10,13,51,45
SACRAMENTO_KINGS,away,12_4,18,97,31,28,5,33,31,27,9,18,17,98,13,11,0,NEW_YORK_KNICKS,20,88,24,29,10,44,39,17,11,14,25,106,5,18,51,58
