name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
SACRAMENTO_KINGS,away,10_26,24,86,26,21,5,31,44,19,6,10,20,113,5,13,1,PHOENIX_SUNS,20,77,27,16,3,31,36,18,4,10,29,94,6,18,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,home,10_27,22,70,38,20,0,34,28,32,6,6,21,94,7,15,0,SAN_ANTONIO_SPURS,23,79,27,18,8,31,36,24,6,9,26,102,10,9,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,home,10_29,24,85,25,26,5,20,39,19,9,11,24,106,6,13,1,MINNESOTA_TIMBERWOLVES,19,70,31,22,5,29,37,22,7,7,25,103,6,11,31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,10_31,26,75,19,23,6,32,36,13,10,6,34,95,10,19,0,ATLANTA_HAWKS,24,79,47,30,6,26,33,29,11,17,20,106,11,13,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_1,12,89,27,23,4,44,34,23,5,9,23,96,4,15,0,MIAMI_HEAT,24,86,29,29,9,39,37,21,13,6,21,108,10,15,53,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_3,17,80,17,18,1,28,38,11,7,11,23,94,8,14,0,ORLANDO_MAGIC,24,84,23,30,4,31,38,16,10,13,14,102,5,14,39,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_5,27,84,19,28,3,23,33,15,10,13,19,91,8,14,0,MILWAUKEE_BUCKS,28,82,25,33,10,36,41,21,14,17,22,117,12,15,36,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,away,11_6,21,78,31,16,5,34,34,23,5,13,22,96,4,9,1,TORONTO_RAPTORS,22,84,31,30,5,30,30,24,7,13,26,91,6,6,47,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,home,11_8,24,81,20,25,5,34,39,16,8,5,21,102,7,10,1,NEW_ORLEANS_PELICANS,23,84,18,21,9,33,38,13,5,7,23,94,5,10,39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACRAMENTO_KINGS,home,11_10,18,85,20,21,3,32,34,15,8,11,19,91,13,15,0,LOS_ANGELES_LAKERS,18,74,22,27,2,38,38,16,9,4,19,101,8,21,43,42,21.5,81.3,24.2,22.1,3.7,31.2,35.9,18.6,7.4,9.5,22.6,97.8,7.2,13.7,0.4,22.5,79.9,28.0,25.6,6.1,32.4,36.4,20.4,8.6,10.3,22.5,101.8,7.9,13.2,40.7,42.7
SACRAMENTO_KINGS,away,11_11,18,88,35,21,3,35,43,28,6,13,21,120,7,15,0,PORTLAND_TRAIL_BLAZERS,29,86,27,33,4,29,45,19,13,7,24,122,8,11,48,36,20.9,81.5,25.1,22.1,3.5,31.6,35.8,19.5,7.4,9.8,22.7,98.5,7.4,13.9,0.3,23.4,80.8,28.0,27.3,6.2,32.2,37.3,20.5,9.5,10.0,22.0,104.6,8.1,12.5,41.4,42.2
