name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
DENVER_NUGGETS,away,10_18,21,77,12,27,3,31,36,11,13,7,18,96,4,20,0,UTAH_JAZZ,28,81,16,24,5,30,41,15,9,6,18,106,9,15,38,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,home,10_21,25,85,20,30,2,40,37,12,10,18,19,96,7,16,1,SACRAMENTO_KINGS,15,85,13,22,3,27,31,9,8,12,21,79,6,13,58,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,home,10_23,27,80,23,23,2,35,39,18,8,9,22,104,5,23,0,WASHINGTON_WIZARDS,24,84,28,30,3,28,37,26,9,10,24,109,13,15,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,away,10_25,18,100,15,31,1,33,38,9,8,18,23,93,6,13,0,CHARLOTTE_HORNETS,17,81,26,31,5,40,38,21,13,10,16,110,5,14,51,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,away,10_27,25,91,23,20,4,35,42,17,4,11,12,105,8,11,1,ATLANTA_HAWKS,23,89,12,33,4,32,37,12,14,11,21,100,7,12,46,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,away,10_29,23,94,22,20,7,42,47,19,11,4,22,124,7,6,1,BROOKLYN_NETS,24,96,31,31,4,39,39,21,12,17,18,111,5,15,46,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,away,10_30,20,85,31,41,5,23,35,22,18,13,22,110,13,13,0,NEW_YORK_KNICKS,27,82,23,32,10,38,41,21,13,11,27,116,8,22,36,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,home,11_1,35,88,29,32,4,34,47,19,16,9,20,129,9,12,1,TORONTO_RAPTORS,20,85,25,31,4,29,42,16,11,9,25,111,7,13,43,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,home,11_3,17,80,25,23,6,28,36,14,9,13,16,95,9,17,1,MIAMI_HEAT,23,77,11,37,6,33,36,7,15,8,24,94,9,23,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENVER_NUGGETS,home,11_4,26,87,27,24,6,37,40,22,6,9,18,108,9,17,0,GOLDEN_STATE_WARRIORS,38,91,17,40,4,34,50,9,18,7,23,127,13,13,46,41,23.7,86.7,22.7,27.1,4.0,33.8,39.7,16.3,10.3,11.1,19.2,106.0,7.7,14.8,0.5,23.9,85.1,20.2,31.1,4.8,33.0,39.2,15.7,12.2,10.1,21.7,106.3,8.2,15.5,44.9,43.1
DENVER_NUGGETS,home,11_7,26,93,20,34,9,38,44,15,9,9,21,112,16,19,1,BROOKLYN_NETS,22,89,22,35,6,39,38,17,11,8,16,104,12,25,47,47,24.2,88.3,23.5,27.8,4.6,34.5,40.5,16.7,9.9,11.3,19.5,107.6,8.9,14.7,0.6,23.3,85.9,20.8,32.2,4.9,33.9,38.9,15.9,12.4,10.3,21.5,106.1,8.5,16.5,45.8,44.2
DENVER_NUGGETS,home,11_9,27,82,22,27,7,31,38,17,9,14,15,102,7,18,1,OKLAHOMA_CITY_THUNDER,16,90,14,30,7,26,38,7,11,18,23,94,15,16,45,44,24.4,88.0,23.7,27.5,5.1,33.6,40.6,17.2,9.8,10.9,19.1,108.2,8.9,14.9,0.6,23.4,86.4,20.9,33.0,5.3,33.8,39.6,15.7,12.7,10.9,21.7,107.6,9.4,16.8,44.5,44.7
DENVER_NUGGETS,home,11_11,29,87,27,29,4,37,46,21,12,13,16,125,9,12,1,ORLANDO_MAGIC,24,87,20,31,5,28,41,14,11,8,19,107,7,12,50,36,24.6,88.7,24.1,28.1,5.3,33.8,41.3,17.5,10.2,11.3,18.5,110.3,9.3,13.8,0.7,23.4,86.7,20.1,33.1,5.5,33.8,40.0,14.5,12.9,10.7,21.2,107.4,8.8,16.5,45.1,44.5
DENVER_NUGGETS,away,11_13,13,84,15,32,2,23,30,13,9,12,16,82,9,20,0,PORTLAND_TRAIL_BLAZERS,22,73,18,21,5,35,38,16,7,8,18,99,12,21,35,43,24.1,87.1,24.1,28.2,5.4,32.8,40.5,17.9,10.3,10.7,17.8,109.2,9.6,14.5,0.7,23.9,85.9,19.3,32.1,5.5,33.3,40.0,14.0,12.3,10.5,21.4,106.3,9.5,17.2,43.5,43.8
DENVER_NUGGETS,home,11_17,37,89,21,35,4,35,56,16,18,13,15,146,5,14,1,NEW_ORLEANS_PELICANS,32,91,10,33,0,21,48,6,12,8,19,114,2,13,48,29,25.3,86.9,23.9,29.7,5.4,32.8,41.9,17.8,11.7,10.9,18.1,113.3,9.3,14.8,0.7,24.8,86.1,19.1,32.1,5.1,32.2,41.1,13.4,12.1,10.2,21.2,107.7,9.0,17.3,43.7,42.4
DENVER_NUGGETS,away,11_19,18,84,35,31,8,30,36,24,13,17,15,109,8,20,0,LOS_ANGELES_LAKERS,36,100,16,32,5,33,53,9,12,13,27,127,11,15,47,46,24.8,85.9,25.2,30.8,5.5,31.6,40.8,18.3,11.9,12.2,17.4,111.8,9.4,16.2,0.6,26.0,86.5,17.6,32.2,5.2,31.6,42.5,12.2,12.1,9.8,22.1,109.3,9.6,17.3,43.8,41.4
