name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
OKLAHOMA_CITY_THUNDER,home,10_19,26,90,22,38,7,28,39,16,11,13,22,105,14,18,1,NEW_YORK_KNICKS,19,79,19,24,4,30,32,13,7,11,23,84,8,25,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,away,10_21,15,78,19,33,4,30,32,12,11,8,16,87,14,17,0,UTAH_JAZZ,22,77,14,29,4,34,38,11,9,7,21,96,11,18,38,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,home,10_22,26,96,16,31,6,27,46,10,11,9,22,113,9,11,0,MINNESOTA_TIMBERWOLVES,25,86,23,25,1,35,43,19,10,10,17,115,5,17,36,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,home,10_25,26,89,26,27,8,33,43,18,10,16,27,114,8,21,1,INDIANA_PACERS,13,83,35,29,2,27,28,30,10,14,23,96,13,19,49,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,away,10_27,19,86,25,28,9,24,43,22,8,11,29,116,8,14,0,MINNESOTA_TIMBERWOLVES,23,86,35,22,7,27,42,27,8,17,21,119,5,15,35,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,away,10_28,28,88,14,34,8,41,39,10,13,11,17,101,16,11,1,CHICAGO_BULLS,16,78,20,37,5,35,22,15,10,12,16,69,9,19,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,away,10_31,24,81,21,28,3,37,40,18,12,9,20,110,6,15,1,MILWAUKEE_BUCKS,24,77,22,31,4,27,32,18,9,4,22,91,8,14,46,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,home,11_3,20,87,14,35,7,37,35,11,13,11,18,94,4,12,0,BOSTON_CELTICS,23,84,24,28,2,38,36,16,13,11,14,101,6,10,48,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,away,11_5,17,89,15,33,2,26,40,8,11,6,27,99,11,11,0,PORTLAND_TRAIL_BLAZERS,20,74,28,20,7,37,37,22,7,7,20,103,6,21,32,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKLAHOMA_CITY_THUNDER,away,11_7,15,86,23,37,2,35,29,18,10,9,17,86,16,14,0,SACRAMENTO_KINGS,21,79,12,24,5,42,37,11,9,5,24,94,6,23,44,47,21.6,87.0,19.5,32.4,5.6,31.8,38.6,14.3,11.0,10.3,21.5,102.5,10.6,14.4,0.4,20.6,80.3,23.2,26.9,4.1,33.2,34.7,18.2,9.2,9.8,20.1,96.8,7.7,18.1,42.1,43.0
OKLAHOMA_CITY_THUNDER,away,11_9,16,90,14,30,7,26,38,7,11,18,23,94,15,16,0,DENVER_NUGGETS,27,82,22,27,7,31,38,17,9,14,15,102,7,18,44,45,20.6,87.0,18.7,31.6,5.6,31.6,38.5,13.4,11.0,10.8,21.6,101.4,10.7,14.2,0.3,21.4,80.6,23.5,27.2,4.4,33.3,35.3,18.6,9.4,10.1,19.3,98.6,7.6,17.4,42.4,43.4
OKLAHOMA_CITY_THUNDER,home,11_10,23,78,40,26,7,29,40,29,11,11,29,120,8,11,1,LOS_ANGELES_CLIPPERS,13,84,30,30,2,30,39,21,12,16,30,111,4,18,40,46,21.4,87.0,20.8,30.9,5.9,31.5,39.3,15.1,11.0,11.1,22.9,104.7,10.1,13.6,0.4,20.5,81.3,25.1,27.3,4.2,32.9,35.4,19.6,9.7,11.0,20.2,100.1,6.9,17.4,42.6,43.9
OKLAHOMA_CITY_THUNDER,home,11_12,21,72,33,32,4,34,36,25,15,3,23,112,10,15,1,DALLAS_MAVERICKS,18,87,18,37,4,30,37,14,11,11,20,99,9,20,37,41,20.9,84.6,22.5,31.0,5.7,32.2,38.3,16.6,11.4,10.5,23.0,104.6,10.2,14.0,0.5,19.8,81.4,24.6,28.5,4.5,32.4,34.8,19.1,9.8,11.1,20.5,98.5,7.3,17.7,42.7,43.5
