name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
ORLANDO_MAGIC,home,10_18,22,90,29,21,9,39,43,22,8,11,18,116,8,14,1,MIAMI_HEAT,27,101,17,30,4,33,44,13,8,11,20,109,6,13,50,44
ORLANDO_MAGIC,away,10_20,30,89,15,33,3,31,45,13,18,9,27,121,9,22,0,BROOKLYN_NETS,22,92,35,27,6,33,46,25,9,15,17,126,13,18,40,48
ORLANDO_MAGIC,away,10_21,28,90,20,35,6,38,40,17,17,12,28,114,7,12,1,CLEVELAND_CAVALIERS,15,86,27,25,7,33,33,20,7,11,14,93,4,16,50,44
ORLANDO_MAGIC,home,10_24,20,83,40,23,5,38,41,35,8,6,23,125,8,11,1,BROOKLYN_NETS,21,96,34,35,4,35,40,30,11,14,27,121,8,15,44,49
ORLANDO_MAGIC,home,10_27,22,84,14,23,7,39,48,7,11,6,24,114,9,17,1,SAN_ANTONIO_SPURS,19,89,27,24,8,32,30,23,4,17,15,87,8,17,45,49
ORLANDO_MAGIC,away,10_29,28,97,26,33,4,30,41,20,11,9,20,113,11,11,0,CHARLOTTE_HORNETS,31,97,17,18,7,47,53,8,6,12,24,120,6,17,39,59
ORLANDO_MAGIC,away,10_30,27,85,18,34,1,37,43,13,16,6,19,115,10,16,1,NEW_ORLEANS_PELICANS,30,85,18,28,5,34,39,14,7,9,22,99,9,19,43,43
ORLANDO_MAGIC,away,11_1,25,75,14,29,8,32,38,12,13,6,22,101,6,24,1,MEMPHIS_GRIZZLIES,21,82,16,30,3,26,39,11,10,5,16,99,12,13,38,31
ORLANDO_MAGIC,home,11_3,23,86,5,35,2,31,35,3,10,7,11,83,6,16,0,CHICAGO_BULLS,23,85,12,29,2,39,40,11,14,9,13,105,6,14,38,48
ORLANDO_MAGIC,home,11_5,18,91,18,29,4,35,33,16,6,10,19,88,4,13,0,BOSTON_CELTICS,26,89,20,33,1,45,39,15,11,9,21,104,10,13,45,54
