name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
PORTLAND_TRAIL_BLAZERS,away,10_18,22,90,28,24,7,42,44,22,14,15,20,124,8,16,1,PHOENIX_SUNS,10,89,18,27,8,23,28,13,7,10,22,76,9,16,57,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,away,10_20,19,95,17,19,6,40,46,13,9,11,26,114,5,9,1,INDIANA_PACERS,15,78,33,18,4,33,35,22,4,6,17,96,1,12,51,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,away,10_21,18,81,35,28,6,29,34,31,11,13,22,110,10,16,0,MILWAUKEE_BUCKS,22,80,30,18,8,28,42,22,7,7,23,113,9,14,42,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,10_24,17,88,33,29,7,45,33,27,10,18,22,103,7,18,1,NEW_ORLEANS_PELICANS,17,76,32,30,7,38,30,24,9,4,26,93,5,17,63,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,10_26,19,89,22,31,4,28,35,19,14,16,26,103,5,9,0,LOS_ANGELES_CLIPPERS,11,77,36,28,5,32,36,23,9,14,19,104,4,11,44,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,10_28,27,91,28,26,7,41,40,23,11,12,26,114,8,14,1,PHOENIX_SUNS,21,87,30,26,7,34,37,24,9,12,23,107,12,17,53,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,10_30,13,80,19,26,7,32,31,15,8,6,15,85,5,13,0,TORONTO_RAPTORS,17,87,17,24,9,39,39,13,8,8,14,99,10,9,38,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,away,11_1,17,93,27,34,8,42,37,20,9,11,25,103,8,17,0,UTAH_JAZZ,16,90,36,29,8,45,34,31,13,10,21,112,9,14,53,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,11_2,22,86,27,22,4,31,40,24,9,10,21,113,7,12,1,LOS_ANGELES_LAKERS,16,79,27,18,8,30,43,20,4,2,20,110,8,11,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,11_5,20,74,28,20,7,37,37,22,7,7,20,103,6,21,1,OKLAHOMA_CITY_THUNDER,17,89,15,33,2,26,40,8,11,6,27,99,11,11,44,32,19.4,86.7,26.4,25.9,6.3,36.7,37.7,21.6,10.2,11.9,22.3,107.2,6.9,14.5,0.6,16.2,83.2,27.4,25.1,6.6,32.8,36.4,20.0,8.1,7.9,21.2,100.9,7.8,13.2,48.6,40.7
PORTLAND_TRAIL_BLAZERS,home,11_7,11,81,20,19,1,32,36,19,6,10,18,97,9,16,0,MEMPHIS_GRIZZLIES,18,73,25,19,10,29,35,21,7,5,21,98,8,14,42,34,18.3,85.8,25.6,25.4,5.7,35.7,36.9,21.3,9.4,11.4,22.1,104.5,7.0,14.5,0.5,17.0,81.6,28.1,24.3,6.8,33.4,37.1,20.8,8.1,7.4,21.1,103.1,7.7,13.0,47.1,40.8
PORTLAND_TRAIL_BLAZERS,home,11_10,17,95,11,23,4,39,40,9,8,12,17,97,4,10,0,BROOKLYN_NETS,25,91,19,38,4,38,39,11,12,11,13,101,7,10,51,49,18.1,85.8,25.0,25.8,5.5,35.6,36.3,20.9,9.3,11.5,21.2,102.8,6.9,14.6,0.4,18.0,82.9,26.7,26.3,6.8,33.9,37.5,19.7,8.9,7.9,20.7,103.6,8.3,12.8,47.1,41.8
PORTLAND_TRAIL_BLAZERS,home,11_13,22,73,18,21,5,35,38,16,7,8,18,99,12,21,1,DENVER_NUGGETS,13,84,15,32,2,23,30,13,9,12,16,82,9,20,43,35,18.5,85.0,23.3,25.1,5.4,36.2,36.7,19.4,8.9,11.0,20.8,101.7,7.1,15.1,0.5,17.1,83.3,25.2,27.7,6.2,33.4,36.3,18.8,9.1,8.4,20.0,100.5,8.3,13.4,47.2,41.8
PORTLAND_TRAIL_BLAZERS,home,11_15,21,87,13,27,2,31,38,9,14,10,10,99,7,12,1,ORLANDO_MAGIC,19,79,9,29,4,34,37,9,11,7,16,94,6,15,41,41,18.9,84.9,21.3,24.9,4.9,34.8,37.2,17.6,9.3,10.2,19.6,101.3,7.1,14.5,0.5,17.3,83.6,22.9,27.6,5.9,33.0,37.0,17.3,9.3,8.7,19.0,100.6,8.4,13.2,45.0,41.7
PORTLAND_TRAIL_BLAZERS,away,11_17,13,81,16,25,1,33,30,15,7,11,20,82,8,17,0,SACRAMENTO_KINGS,20,85,15,14,5,31,36,10,4,12,22,86,11,13,44,43,18.3,84.1,20.7,24.3,4.6,35.3,36.7,17.2,8.6,9.7,19.0,99.2,7.4,15.3,0.5,18.2,84.4,20.8,26.2,5.9,32.9,37.0,16.0,8.8,8.5,19.3,98.8,9.1,13.4,45.0,41.4
PORTLAND_TRAIL_BLAZERS,home,11_18,19,70,21,21,8,39,38,16,10,5,22,102,6,17,1,SACRAMENTO_KINGS,14,89,18,17,4,27,34,14,8,9,24,90,9,11,44,36,17.5,82.0,20.0,23.8,4.7,35.1,36.5,16.5,8.5,9.0,18.6,98.0,7.2,15.6,0.5,17.5,84.6,19.6,25.3,5.6,32.2,36.7,15.0,8.7,8.2,19.4,97.1,8.8,12.8,44.1,40.4
PORTLAND_TRAIL_BLAZERS,away,11_20,11,83,32,15,9,45,33,28,6,15,23,100,1,15,1,MEMPHIS_GRIZZLIES,23,86,23,30,9,30,33,18,8,5,26,92,6,8,60,35,17.3,82.3,21.3,22.7,4.9,36.4,36.7,17.8,8.3,9.9,19.4,99.5,6.8,15.8,0.6,18.1,84.5,20.2,25.9,5.6,31.3,36.1,15.5,8.7,7.9,20.6,96.4,8.4,12.7,46.3,39.2
PORTLAND_TRAIL_BLAZERS,away,11_22,14,89,24,26,6,37,30,14,7,11,17,81,8,17,0,PHILADELPHIA_76ERS,23,90,17,32,8,46,39,12,11,11,21,101,12,18,48,57,17.0,81.9,21.0,21.9,4.7,35.9,36.0,17.2,8.1,9.9,18.6,97.3,6.8,15.8,0.6,18.8,84.5,18.3,26.2,5.6,31.4,36.6,13.6,8.5,8.0,20.6,95.3,8.7,13.1,45.8,39.4
PORTLAND_TRAIL_BLAZERS,away,11_24,24,96,35,15,13,33,48,25,6,12,16,127,5,7,1,BROOKLYN_NETS,25,100,21,25,6,34,50,15,10,13,22,125,4,9,45,47,17.2,82.9,21.8,21.2,5.6,36.1,36.8,17.3,7.8,10.1,18.1,98.7,6.6,15.3,0.6,19.7,86.6,17.7,26.9,5.4,31.8,37.3,13.1,9.1,9.1,20.8,96.8,8.3,12.9,46.2,40.9
PORTLAND_TRAIL_BLAZERS,away,11_25,18,80,22,24,6,35,41,17,9,6,16,108,3,16,1,WASHINGTON_WIZARDS,20,89,16,23,4,30,41,15,8,7,17,105,9,11,41,37,17.0,83.5,21.2,21.6,5.5,35.9,37.2,16.8,8.0,10.0,17.7,99.2,6.3,14.8,0.6,20.0,86.6,17.8,25.9,5.6,32.2,37.4,13.8,8.8,9.2,19.8,97.4,8.1,12.9,45.9,41.4
PORTLAND_TRAIL_BLAZERS,away,11_27,18,83,26,21,3,40,37,22,7,5,22,103,10,9,1,NEW_YORK_KNICKS,13,88,22,15,3,37,35,16,5,14,20,91,3,13,45,51,17.7,83.7,21.8,21.8,5.7,36.7,37.3,17.1,8.1,9.5,18.1,99.8,6.4,14.1,0.7,19.5,88.1,17.5,25.5,4.9,33.0,37.4,13.3,8.6,10.1,19.7,96.7,7.6,12.8,46.2,43.1
PORTLAND_TRAIL_BLAZERS,home,11_30,17,83,17,23,3,40,35,15,6,10,14,91,5,19,0,MILWAUKEE_BUCKS,19,87,15,20,5,30,42,13,6,5,20,103,11,9,50,35,17.7,82.5,22.4,21.8,5.6,36.8,36.8,17.7,7.9,9.3,17.8,99.2,6.5,15.0,0.7,18.9,87.7,17.1,23.7,5.0,32.2,37.7,13.5,8.0,9.5,20.4,96.9,8.0,12.7,46.1,41.7
PORTLAND_TRAIL_BLAZERS,home,12_2,20,105,11,35,3,35,47,11,11,9,17,116,6,4,0,NEW_ORLEANS_PELICANS,22,86,25,31,3,44,45,18,15,4,16,123,2,10,44,48,17.5,85.7,21.7,23.2,5.4,36.8,37.7,17.2,8.3,9.4,17.7,100.9,5.9,13.3,0.6,19.8,87.9,18.1,23.6,5.1,34.3,39.2,14.0,8.6,8.7,20.4,101.0,7.3,11.7,46.2,43.0
PORTLAND_TRAIL_BLAZERS,home,12_5,18,78,21,27,5,34,32,16,12,7,20,92,2,18,0,WASHINGTON_WIZARDS,20,89,14,25,6,33,42,11,11,11,22,106,16,9,41,44,17.2,84.8,22.5,23.2,5.7,37.1,37.1,17.9,8.1,9.1,18.7,100.2,5.4,13.9,0.5,19.9,88.9,18.6,23.2,5.3,34.2,39.7,14.2,8.6,9.1,21.0,102.2,8.3,11.1,46.2,43.3
PORTLAND_TRAIL_BLAZERS,home,12_9,19,88,12,41,5,26,45,9,18,7,28,117,4,15,0,HOUSTON_ROCKETS,14,75,42,25,2,28,40,34,10,7,17,124,13,12,33,35,17.8,85.5,22.1,24.8,6.1,36.4,38.6,17.3,9.2,8.7,19.5,103.7,5.0,13.7,0.5,19.3,87.9,21.3,24.3,5.0,33.9,40.1,16.6,9.2,8.6,20.5,106.0,8.5,11.0,45.1,42.5
PORTLAND_TRAIL_BLAZERS,away,12_11,14,88,25,28,2,27,37,23,7,12,18,104,11,9,0,GOLDEN_STATE_WARRIORS,26,80,17,20,9,36,44,13,10,6,16,111,5,14,39,42,17.3,87.3,22.5,25.5,5.5,35.2,38.5,18.0,8.9,9.4,19.1,103.9,5.5,12.9,0.4,20.5,87.0,21.2,24.6,5.5,34.8,41.1,16.5,9.4,8.3,19.7,108.1,8.1,11.3,44.6,43.1
PORTLAND_TRAIL_BLAZERS,away,12_13,14,72,23,28,2,28,36,20,10,5,21,102,7,11,1,MIAMI_HEAT,19,72,23,30,1,26,34,14,13,10,21,95,6,15,33,36,17.6,86.2,21.6,26.8,4.8,33.5,38.8,17.2,9.3,8.4,18.9,104.1,6.1,12.5,0.4,20.1,85.6,21.2,24.6,4.7,34.4,41.2,16.1,9.9,8.8,19.2,108.4,8.1,12.0,41.9,43.2
PORTLAND_TRAIL_BLAZERS,away,12_15,18,86,15,18,9,39,37,13,8,6,20,95,7,14,1,ORLANDO_MAGIC,15,84,19,29,3,37,32,14,10,8,18,88,7,15,45,45,18.0,85.9,20.7,26.0,5.1,33.7,39.5,17.1,9.4,7.9,19.2,105.5,6.0,12.2,0.5,19.3,85.0,21.4,24.3,4.2,33.5,40.5,16.3,9.8,8.5,18.9,107.1,7.6,11.7,41.6,42.0
PORTLAND_TRAIL_BLAZERS,away,12_16,19,79,18,24,3,42,37,9,10,5,21,93,2,20,1,CHARLOTTE_HORNETS,18,96,28,31,3,38,33,18,7,13,21,91,9,6,47,51,17.5,84.2,19.0,26.9,4.1,34.6,38.4,15.5,9.8,7.2,19.7,102.1,5.7,13.5,0.5,18.6,84.6,22.1,24.9,3.9,33.9,38.8,16.6,9.5,8.5,18.8,103.7,8.1,11.4,41.8,42.4
PORTLAND_TRAIL_BLAZERS,away,12_18,26,84,5,24,8,33,46,5,10,7,19,107,6,17,0,MINNESOTA_TIMBERWOLVES,19,91,21,19,2,21,42,17,7,11,14,108,6,10,40,32,18.3,84.6,17.3,26.9,4.3,34.4,38.9,14.3,9.9,7.3,20.0,102.0,6.0,13.6,0.4,18.5,84.8,22.6,24.5,3.7,33.0,38.9,16.8,9.4,8.9,18.5,104.0,7.8,11.3,41.7,41.9
