name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
TORONTO_RAPTORS,home,10_19,26,83,28,29,4,36,39,26,13,13,19,117,10,17,1,CHICAGO_BULLS,22,89,18,32,2,29,37,16,10,10,23,100,7,19,49,39
TORONTO_RAPTORS,home,10_21,23,89,37,44,10,43,42,31,13,8,29,128,5,13,1,PHILADELPHIA_76ERS,18,82,36,24,4,33,32,22,8,8,26,94,5,20,51,41
TORONTO_RAPTORS,away,10_23,17,80,24,37,4,29,34,19,10,5,30,97,11,14,0,SAN_ANTONIO_SPURS,19,90,23,20,12,37,40,16,5,18,22,101,4,20,34,55
TORONTO_RAPTORS,away,10_25,30,94,19,34,6,25,43,18,8,17,16,112,10,16,0,GOLDEN_STATE_WARRIORS,32,77,22,26,7,31,43,19,12,6,15,117,10,17,42,37
TORONTO_RAPTORS,away,10_27,27,93,20,29,4,31,40,14,7,9,24,101,12,12,1,LOS_ANGELES_LAKERS,20,79,24,23,6,40,36,17,3,9,22,92,7,21,40,49
TORONTO_RAPTORS,away,10_30,17,87,17,24,9,39,39,13,8,8,14,99,10,9,1,PORTLAND_TRAIL_BLAZERS,13,80,19,26,7,32,31,15,8,6,15,85,5,13,47,38
TORONTO_RAPTORS,away,11_1,20,85,25,31,4,29,42,16,11,9,25,111,7,13,0,DENVER_NUGGETS,35,88,29,32,4,34,47,19,16,9,20,129,9,12,38,43
TORONTO_RAPTORS,away,11_3,20,71,28,30,4,34,38,22,11,5,27,109,9,16,1,UTAH_JAZZ,11,80,24,23,5,23,35,22,8,10,25,100,9,13,39,33
TORONTO_RAPTORS,home,11_5,17,80,27,24,8,27,37,17,5,9,24,96,7,13,0,WASHINGTON_WIZARDS,19,85,23,23,3,35,40,16,11,11,26,107,9,17,36,46
TORONTO_RAPTORS,home,11_7,22,81,24,25,0,30,44,18,13,7,22,119,5,15,1,CHICAGO_BULLS,26,80,28,29,2,29,40,23,11,8,23,114,10,13,37,37
TORONTO_RAPTORS,home,11_9,27,98,23,42,4,38,45,16,16,10,24,122,8,12,1,NEW_ORLEANS_PELICANS,31,82,25,31,4,34,44,17,13,4,20,118,7,13,48,38
TORONTO_RAPTORS,away,11_12,18,69,23,24,8,30,32,20,10,6,20,94,8,17,0,BOSTON_CELTICS,24,87,19,26,2,31,35,15,10,15,18,95,9,14,36,46
TORONTO_RAPTORS,away,11_14,28,78,42,30,4,31,41,33,14,5,30,129,11,12,1,HOUSTON_ROCKETS,21,79,41,39,4,34,33,35,12,14,27,113,4,19,36,48
TORONTO_RAPTORS,away,11_15,27,76,20,34,6,31,45,19,16,6,20,125,8,21,1,NEW_ORLEANS_PELICANS,31,91,14,27,3,22,46,14,10,10,21,116,13,14,37,32
TORONTO_RAPTORS,home,11_17,29,78,11,26,11,37,44,10,9,3,19,107,4,12,1,NEW_YORK_KNICKS,17,91,17,23,4,29,30,15,9,14,12,84,7,9,40,43
TORONTO_RAPTORS,home,11_19,20,90,14,39,7,37,40,10,10,11,19,100,8,7,1,WASHINGTON_WIZARDS,20,81,21,19,3,35,34,12,11,8,12,91,5,14,48,43
TORONTO_RAPTORS,away,11_22,21,87,18,38,10,30,37,12,14,12,23,100,4,15,0,NEW_YORK_KNICKS,29,93,17,24,7,34,43,14,8,13,19,108,8,11,42,47
TORONTO_RAPTORS,away,11_24,17,81,20,30,4,35,40,15,9,7,20,104,14,18,0,INDIANA_PACERS,19,83,27,26,3,31,38,20,11,10,18,107,10,16,42,41
TORONTO_RAPTORS,away,11_25,31,84,9,32,3,35,46,7,13,11,22,112,10,16,1,ATLANTA_HAWKS,18,75,23,27,1,25,26,20,6,7,15,78,9,18,46,32
TORONTO_RAPTORS,home,11_29,24,98,11,32,2,28,52,8,14,11,23,126,6,9,1,CHARLOTTE_HORNETS,26,79,35,19,2,29,37,30,9,7,17,113,6,12,39,36
TORONTO_RAPTORS,home,12_1,29,97,21,32,8,35,48,14,10,12,18,120,6,12,1,INDIANA_PACERS,21,102,22,26,5,31,45,17,8,15,17,115,7,10,47,46
TORONTO_RAPTORS,home,12_5,30,92,26,36,4,34,44,23,15,8,28,126,13,15,1,PHOENIX_SUNS,23,75,38,24,4,35,37,30,9,0,24,113,7,17,42,35
TORONTO_RAPTORS,away,12_8,21,78,33,31,3,26,37,29,13,10,23,116,8,11,1,MEMPHIS_GRIZZLIES,24,82,22,27,3,24,41,16,9,11,25,107,8,16,36,35
TORONTO_RAPTORS,away,12_10,22,87,19,37,2,32,39,13,11,12,17,102,8,13,1,SACRAMENTO_KINGS,15,73,14,23,6,35,35,7,10,7,17,87,7,21,44,42
TORONTO_RAPTORS,away,12_11,18,80,26,29,6,40,32,20,7,3,22,91,8,13,0,LOS_ANGELES_CLIPPERS,18,92,24,36,7,43,34,20,8,14,20,96,6,12,43,57
TORONTO_RAPTORS,away,12_13,16,92,31,26,3,37,40,26,9,8,25,115,7,6,1,PHOENIX_SUNS,20,83,34,24,9,31,37,27,8,10,24,109,3,11,45,41
TORONTO_RAPTORS,home,12_15,26,97,9,28,5,34,54,5,7,11,16,120,11,8,1,BROOKLYN_NETS,15,76,19,23,1,31,32,16,7,6,14,87,4,22,45,37
TORONTO_RAPTORS,home,12_17,20,85,28,30,9,34,36,23,13,12,13,108,8,12,1,SACRAMENTO_KINGS,25,81,8,26,9,26,38,6,11,6,19,93,9,15,46,32
TORONTO_RAPTORS,away,12_20,35,91,18,33,7,33,49,15,16,10,27,129,6,14,1,CHARLOTTE_HORNETS,21,85,35,23,6,31,39,26,7,8,18,111,10,12,43,39
TORONTO_RAPTORS,away,12_21,18,85,35,35,6,26,35,32,12,19,19,114,14,21,1,PHILADELPHIA_76ERS,27,86,14,29,6,27,45,10,9,13,27,109,14,23,45,40
TORONTO_RAPTORS,home,12_23,18,85,26,27,6,36,35,23,9,7,20,102,15,17,1,PHILADELPHIA_76ERS,19,80,20,27,7,34,33,13,7,7,23,86,10,22,43,41
TORONTO_RAPTORS,away,12_26,16,89,32,31,7,37,30,24,9,16,24,93,10,10,0,DALLAS_MAVERICKS,20,94,16,24,11,40,40,12,6,16,24,98,5,13,53,56
TORONTO_RAPTORS,away,12_27,24,85,26,38,4,27,36,24,11,7,29,107,9,11,0,OKLAHOMA_CITY_THUNDER,25,87,33,25,7,37,46,23,9,15,26,124,9,12,34,52
TORONTO_RAPTORS,home,12_29,22,105,8,37,15,32,46,6,13,19,22,111,9,11,1,ATLANTA_HAWKS,21,88,20,24,7,34,38,13,9,14,15,98,6,18,51,48
TORONTO_RAPTORS,home,1_1,25,91,33,33,8,34,45,27,14,6,20,131,8,12,1,MILWAUKEE_BUCKS,27,93,28,27,3,33,44,26,13,10,23,127,9,14,40,43
