name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
TORONTO_RAPTORS,home,10_19,26,83,28,29,4,36,39,26,13,13,19,117,10,17,1,CHICAGO_BULLS,22,89,18,32,2,29,37,16,10,10,23,100,7,19,49,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,10_21,23,89,37,44,10,43,42,31,13,8,29,128,5,13,1,PHILADELPHIA_76ERS,18,82,36,24,4,33,32,22,8,8,26,94,5,20,51,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,10_23,17,80,24,37,4,29,34,19,10,5,30,97,11,14,0,SAN_ANTONIO_SPURS,19,90,23,20,12,37,40,16,5,18,22,101,4,20,34,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,10_25,30,94,19,34,6,25,43,18,8,17,16,112,10,16,0,GOLDEN_STATE_WARRIORS,32,77,22,26,7,31,43,19,12,6,15,117,10,17,42,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,10_27,27,93,20,29,4,31,40,14,7,9,24,101,12,12,1,LOS_ANGELES_LAKERS,20,79,24,23,6,40,36,17,3,9,22,92,7,21,40,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,10_30,17,87,17,24,9,39,39,13,8,8,14,99,10,9,1,PORTLAND_TRAIL_BLAZERS,13,80,19,26,7,32,31,15,8,6,15,85,5,13,47,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,11_1,20,85,25,31,4,29,42,16,11,9,25,111,7,13,0,DENVER_NUGGETS,35,88,29,32,4,34,47,19,16,9,20,129,9,12,38,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,11_3,20,71,28,30,4,34,38,22,11,5,27,109,9,16,1,UTAH_JAZZ,11,80,24,23,5,23,35,22,8,10,25,100,9,13,39,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,11_5,17,80,27,24,8,27,37,17,5,9,24,96,7,13,0,WASHINGTON_WIZARDS,19,85,23,23,3,35,40,16,11,11,26,107,9,17,36,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,11_7,22,81,24,25,0,30,44,18,13,7,22,119,5,15,1,CHICAGO_BULLS,26,80,28,29,2,29,40,23,11,8,23,114,10,13,37,37,21.9,84.3,24.9,30.7,5.3,32.3,39.8,19.4,9.9,9.0,23.0,108.9,8.6,13.8,0.6,21.5,83.0,24.6,25.8,5.2,32.3,38.1,18.5,9.2,9.5,21.7,103.9,7.5,16.5,41.3,41.8
TORONTO_RAPTORS,home,11_9,27,98,23,42,4,38,45,16,16,10,24,122,8,12,1,NEW_ORLEANS_PELICANS,31,82,25,31,4,34,44,17,13,4,20,118,7,13,48,38,22.0,85.8,24.4,32.0,5.3,32.5,40.4,18.4,10.2,8.7,23.5,109.4,8.4,13.3,0.6,22.4,82.3,25.3,25.7,5.4,32.8,38.8,18.6,9.5,8.9,21.4,105.7,7.5,15.9,41.2,41.7
TORONTO_RAPTORS,away,11_12,18,69,23,24,8,30,32,20,10,6,20,94,8,17,0,BOSTON_CELTICS,24,87,19,26,2,31,35,15,10,15,18,95,9,14,36,46,21.5,83.8,23.0,30.0,5.1,31.2,39.4,17.3,9.9,8.5,22.6,106.0,8.7,13.7,0.5,23.0,82.8,23.6,25.9,5.2,32.6,39.1,17.9,9.7,9.6,20.6,105.8,7.9,15.3,39.7,42.2
TORONTO_RAPTORS,away,11_14,28,78,42,30,4,31,41,33,14,5,30,129,11,12,1,HOUSTON_ROCKETS,21,79,41,39,4,34,33,35,12,14,27,113,4,19,36,48,22.6,83.6,24.8,29.3,5.1,31.4,40.1,18.7,10.3,8.5,22.6,109.2,8.7,13.5,0.6,23.2,81.7,25.4,27.8,4.4,32.3,38.4,19.8,10.4,9.2,21.1,107.0,7.9,15.2,39.9,41.5
TORONTO_RAPTORS,away,11_15,27,76,20,34,6,31,45,19,16,6,20,125,8,21,1,NEW_ORLEANS_PELICANS,31,91,14,27,3,22,46,14,10,10,21,116,13,14,37,32,22.3,81.8,24.9,29.3,5.1,32.0,40.3,18.8,11.1,7.4,23.0,110.5,8.5,14.0,0.7,23.1,83.1,24.6,27.9,4.0,31.4,38.7,19.3,10.2,9.6,21.7,106.9,8.2,14.9,39.4,41.0
TORONTO_RAPTORS,home,11_17,29,78,11,26,11,37,44,10,9,3,19,107,4,12,1,NEW_YORK_KNICKS,17,91,17,23,4,29,30,15,9,14,12,84,7,9,40,43,22.5,80.3,24.0,29.0,5.8,32.6,40.7,18.4,11.3,6.8,22.5,111.1,7.7,14.0,0.7,22.8,84.3,23.9,27.9,3.8,30.3,38.1,19.1,10.8,10.1,20.7,106.1,8.2,13.7,39.4,40.4
TORONTO_RAPTORS,home,11_19,20,90,14,39,7,37,40,10,10,11,19,100,8,7,1,WASHINGTON_WIZARDS,20,81,21,19,3,35,34,12,11,8,12,91,5,14,48,43,22.8,80.6,23.7,30.5,5.6,32.4,40.8,18.1,11.5,7.1,23.0,111.2,7.5,13.8,0.7,23.5,84.4,24.1,27.2,3.4,30.6,38.4,18.8,11.1,10.3,20.4,106.7,8.2,13.8,39.5,40.9
TORONTO_RAPTORS,away,11_22,21,87,18,38,10,30,37,12,14,12,23,100,4,15,0,NEW_YORK_KNICKS,29,93,17,24,7,34,43,14,8,13,19,108,8,11,42,47,22.9,80.8,23.0,31.2,6.2,32.5,40.3,17.7,11.8,7.4,22.8,110.1,7.2,14.0,0.7,22.9,84.9,22.9,26.4,3.7,30.6,38.0,18.3,10.3,10.7,20.3,104.6,8.1,13.7,39.9,41.3
