name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
UTAH_JAZZ,home,10_18,28,81,16,24,5,30,41,15,9,6,18,106,9,15,1,DENVER_NUGGETS,21,77,12,27,3,31,36,11,13,7,18,96,4,20,36,38
UTAH_JAZZ,away,10_20,23,77,17,22,8,31,37,14,9,7,21,97,10,19,0,MINNESOTA_TIMBERWOLVES,17,81,26,22,2,34,36,21,7,10,17,100,11,15,38,44
UTAH_JAZZ,home,10_21,22,77,14,29,4,34,38,11,9,7,21,96,11,18,1,OKLAHOMA_CITY_THUNDER,15,78,19,33,4,30,32,12,11,8,16,87,14,17,41,38
UTAH_JAZZ,away,10_24,20,79,11,28,7,33,34,9,7,8,23,84,7,18,0,LOS_ANGELES_CLIPPERS,21,83,21,29,4,33,39,14,10,11,16,102,12,13,41,44
UTAH_JAZZ,away,10_25,20,77,25,25,10,37,32,18,6,7,19,88,8,23,0,PHOENIX_SUNS,18,96,9,19,5,39,42,7,6,16,25,97,8,16,44,55
UTAH_JAZZ,home,10_28,18,79,13,31,5,35,37,9,13,14,20,96,9,21,1,LOS_ANGELES_LAKERS,17,81,20,22,4,25,31,14,5,14,20,81,12,16,49,39
UTAH_JAZZ,home,10_30,25,81,15,35,8,29,38,12,16,6,17,104,16,14,1,DALLAS_MAVERICKS,17,76,11,24,3,33,34,9,12,9,16,89,4,24,35,42
UTAH_JAZZ,home,11_1,16,90,36,29,8,45,34,31,13,10,21,112,9,14,1,PORTLAND_TRAIL_BLAZERS,17,93,27,34,8,42,37,20,9,11,25,103,8,17,55,53
UTAH_JAZZ,home,11_3,11,80,24,23,5,23,35,22,8,10,25,100,9,13,0,TORONTO_RAPTORS,20,71,28,30,4,34,38,22,11,5,27,109,9,16,33,39
UTAH_JAZZ,away,11_5,22,88,24,34,3,25,38,21,13,8,18,110,7,13,0,HOUSTON_ROCKETS,26,81,21,39,7,37,48,18,23,5,24,137,9,20,33,42
UTAH_JAZZ,home,11_7,15,99,35,39,6,31,30,28,9,14,23,97,14,12,0,PHILADELPHIA_76ERS,23,81,30,27,6,48,34,24,12,8,34,104,5,22,45,56
UTAH_JAZZ,home,11_10,12,74,22,21,7,36,25,19,5,4,20,74,10,17,0,MIAMI_HEAT,10,77,18,25,6,41,30,14,10,7,20,84,9,19,40,48
UTAH_JAZZ,home,11_11,19,85,25,29,3,32,41,21,11,12,29,114,12,16,1,BROOKLYN_NETS,13,76,39,23,4,31,35,29,7,10,22,106,7,17,44,41
UTAH_JAZZ,home,11_13,23,84,11,40,4,23,37,10,14,8,23,98,8,15,0,MINNESOTA_TIMBERWOLVES,22,71,29,20,5,35,37,25,10,5,13,109,9,15,31,40
UTAH_JAZZ,away,11_15,19,79,17,35,10,28,34,16,17,9,23,101,5,13,0,NEW_YORK_KNICKS,18,81,25,21,5,33,38,21,9,12,19,106,4,11,37,45
UTAH_JAZZ,away,11_17,21,79,24,26,6,29,39,17,12,10,19,107,6,16,0,BROOKLYN_NETS,27,84,20,37,2,32,43,15,17,4,21,118,8,12,39,36
UTAH_JAZZ,away,11_18,31,98,18,34,4,40,47,17,14,14,19,125,10,10,1,ORLANDO_MAGIC,13,81,23,29,5,35,31,15,8,11,20,85,10,16,54,46
UTAH_JAZZ,away,11_20,18,85,19,28,4,27,30,17,9,7,19,86,16,14,0,PHILADELPHIA_76ERS,20,85,22,15,7,46,44,15,4,9,18,107,11,19,34,55
UTAH_JAZZ,home,11_22,23,86,19,35,5,37,40,16,14,8,15,110,10,7,1,CHICAGO_BULLS,15,78,20,21,1,35,29,17,5,8,21,80,3,16,45,43
UTAH_JAZZ,home,11_25,31,81,19,32,2,25,46,11,18,5,19,121,8,10,1,MILWAUKEE_BUCKS,19,77,23,21,6,32,41,18,8,8,21,108,5,16,30,40
UTAH_JAZZ,home,11_28,24,87,9,32,6,34,42,8,14,9,20,106,7,11,1,DENVER_NUGGETS,13,78,16,34,4,30,28,14,7,12,13,77,6,17,43,42
UTAH_JAZZ,away,11_30,38,85,14,35,2,23,49,11,17,10,20,126,13,13,1,LOS_ANGELES_CLIPPERS,23,70,30,29,6,26,38,21,10,10,16,107,8,19,33,36
UTAH_JAZZ,home,12_1,25,85,25,30,3,38,42,18,12,8,15,114,7,7,1,NEW_ORLEANS_PELICANS,28,87,15,30,7,36,42,9,15,6,20,108,4,10,46,42
UTAH_JAZZ,home,12_4,29,76,18,34,3,42,43,14,16,10,20,116,9,16,1,WASHINGTON_WIZARDS,9,80,23,20,2,19,23,19,4,12,21,69,8,13,52,31
UTAH_JAZZ,away,12_5,18,79,21,33,5,26,34,15,11,9,21,94,16,16,0,OKLAHOMA_CITY_THUNDER,18,81,26,18,6,34,39,18,4,12,18,100,11,18,35,46
UTAH_JAZZ,home,12_7,17,77,27,30,5,28,34,22,11,4,21,101,10,13,0,HOUSTON_ROCKETS,22,81,24,42,5,38,38,18,18,8,25,112,10,17,32,46
UTAH_JAZZ,away,12_9,20,76,37,23,3,26,33,26,8,9,23,100,7,16,0,MILWAUKEE_BUCKS,22,81,26,17,6,33,44,22,7,8,29,117,8,11,35,41
UTAH_JAZZ,away,12_13,24,91,7,30,8,43,42,7,9,5,19,100,3,16,0,CHICAGO_BULLS,21,93,21,17,3,37,41,14,7,9,14,103,9,9,48,46
UTAH_JAZZ,away,12_15,19,83,18,25,2,46,40,14,13,9,20,107,6,15,1,BOSTON_CELTICS,20,86,19,31,5,29,35,16,9,2,18,95,10,8,55,31
UTAH_JAZZ,away,12_16,24,81,14,34,7,27,37,9,17,11,14,100,9,12,0,CLEVELAND_CAVALIERS,30,79,17,22,1,33,42,15,10,8,15,109,9,12,38,41
UTAH_JAZZ,away,12_18,17,91,8,27,1,27,42,7,8,5,22,99,12,6,0,HOUSTON_ROCKETS,25,77,27,43,7,40,40,23,17,12,13,120,5,14,32,52
UTAH_JAZZ,away,12_20,13,73,27,31,3,28,26,20,7,11,15,79,6,18,0,OKLAHOMA_CITY_THUNDER,23,77,22,23,5,34,40,19,8,8,26,107,15,13,39,42
UTAH_JAZZ,home,12_21,18,74,24,26,4,36,34,20,12,5,18,100,7,12,1,SAN_ANTONIO_SPURS,14,78,16,21,3,33,34,11,10,5,21,89,7,14,41,38
UTAH_JAZZ,home,12_23,16,72,20,26,2,31,33,17,6,6,13,89,3,12,0,OKLAHOMA_CITY_THUNDER,18,88,16,29,5,30,39,13,12,15,16,103,9,7,37,45
UTAH_JAZZ,away,12_26,19,84,23,35,0,30,27,19,10,12,22,83,7,7,0,DENVER_NUGGETS,23,81,22,30,1,43,39,18,11,10,21,107,3,9,42,53
UTAH_JAZZ,away,12_27,21,92,27,23,2,33,37,21,6,10,22,101,10,13,0,GOLDEN_STATE_WARRIORS,37,86,17,23,7,46,51,13,11,4,18,126,8,16,43,50
UTAH_JAZZ,home,12_30,24,82,21,31,4,38,38,18,10,5,24,104,12,11,1,CLEVELAND_CAVALIERS,20,81,26,40,5,37,34,21,12,9,19,101,6,15,43,46
UTAH_JAZZ,home,1_3,23,84,17,32,1,30,38,15,7,6,21,98,12,14,0,NEW_ORLEANS_PELICANS,23,82,12,30,2,35,41,12,14,7,18,108,8,20,36,42
UTAH_JAZZ,away,1_5,26,84,6,33,5,45,38,3,12,8,16,91,7,17,0,DENVER_NUGGETS,24,86,15,35,1,33,38,9,14,4,11,99,9,10,53,37
UTAH_JAZZ,away,1_7,15,82,20,32,5,36,37,18,10,8,18,102,6,11,0,MIAMI_HEAT,21,83,20,29,6,29,40,14,9,8,16,103,6,8,44,37
UTAH_JAZZ,away,1_10,23,92,13,33,3,28,43,10,11,11,17,107,15,12,1,WASHINGTON_WIZARDS,25,78,17,25,1,36,41,12,10,9,17,104,8,23,39,45
UTAH_JAZZ,away,1_12,19,77,23,35,8,37,28,20,12,8,26,88,5,14,0,CHARLOTTE_HORNETS,17,78,34,27,2,38,32,26,9,8,19,99,8,12,45,46
UTAH_JAZZ,home,1_15,11,81,17,33,7,29,36,13,9,9,12,94,11,13,0,INDIANA_PACERS,26,77,15,26,2,35,41,13,14,8,18,109,7,14,38,43
UTAH_JAZZ,away,1_17,26,81,20,29,4,23,46,16,12,6,20,120,15,10,1,SACRAMENTO_KINGS,19,72,20,21,4,28,38,16,13,8,21,105,9,19,29,36
UTAH_JAZZ,home,1_19,19,91,30,31,6,37,42,20,11,15,20,115,4,17,0,NEW_YORK_KNICKS,23,89,23,20,6,29,44,18,11,7,26,117,6,12,52,36
UTAH_JAZZ,home,1_20,21,82,32,28,3,45,45,24,11,11,29,125,9,20,1,LOS_ANGELES_CLIPPERS,18,82,38,36,2,27,36,30,11,7,24,113,17,14,56,34
UTAH_JAZZ,away,1_22,20,76,28,15,6,32,33,20,4,7,15,90,8,16,0,ATLANTA_HAWKS,24,83,12,26,5,34,40,12,12,10,24,104,8,17,39,44
UTAH_JAZZ,away,1_24,24,96,16,31,9,35,38,12,10,9,15,98,11,14,1,DETROIT_PISTONS,23,97,18,31,7,42,38,12,7,15,16,95,10,19,44,57
UTAH_JAZZ,away,1_26,20,87,21,21,5,37,36,15,10,10,16,97,7,13,1,TORONTO_RAPTORS,23,95,17,27,13,36,37,12,7,16,18,93,10,11,47,52
UTAH_JAZZ,home,1_30,25,91,14,28,3,35,53,9,14,7,22,129,16,11,1,GOLDEN_STATE_WARRIORS,27,85,21,25,7,26,39,16,5,11,16,99,10,19,42,37
UTAH_JAZZ,away,2_2,30,90,17,29,6,42,51,12,15,9,21,129,7,11,1,PHOENIX_SUNS,19,87,19,33,5,26,36,16,9,6,25,97,7,12,51,32
UTAH_JAZZ,away,2_3,26,69,36,23,5,32,39,30,12,5,19,120,6,17,1,SAN_ANTONIO_SPURS,25,91,18,26,5,25,44,13,10,11,27,111,9,12,37,36
UTAH_JAZZ,away,2_5,29,89,17,21,5,36,52,15,14,9,18,133,6,13,1,NEW_ORLEANS_PELICANS,24,93,13,22,6,24,47,7,8,6,15,109,10,14,45,30
UTAH_JAZZ,away,2_7,14,69,33,22,4,34,29,28,6,9,16,92,6,19,1,MEMPHIS_GRIZZLIES,18,81,16,23,5,27,34,12,8,9,26,88,12,15,43,36
UTAH_JAZZ,home,2_9,29,84,17,29,7,42,41,14,10,7,17,106,5,12,1,CHARLOTTE_HORNETS,17,85,19,24,2,28,35,15,9,5,18,94,8,7,49,33
UTAH_JAZZ,away,2_11,23,88,22,26,4,42,41,20,13,16,22,115,8,13,1,PORTLAND_TRAIL_BLAZERS,16,81,25,25,4,31,33,21,9,6,22,96,7,13,58,37
UTAH_JAZZ,home,2_12,15,84,30,24,5,34,35,20,11,9,24,101,7,9,1,SAN_ANTONIO_SPURS,23,85,25,25,8,36,38,17,6,8,24,99,5,11,43,44
UTAH_JAZZ,home,2_14,22,92,22,34,3,40,39,19,10,14,17,107,6,8,1,PHOENIX_SUNS,19,79,24,29,6,36,34,17,12,5,25,97,5,12,54,41
UTAH_JAZZ,home,2_23,15,78,11,25,6,35,33,9,6,8,13,81,7,19,0,PORTLAND_TRAIL_BLAZERS,14,87,14,24,5,35,39,13,9,6,20,100,11,12,43,41
