name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
WASHINGTON_WIZARDS,home,10_18,21,97,38,22,10,36,42,30,6,16,20,120,8,9,1,PHILADELPHIA_76ERS,25,93,19,35,6,37,43,14,15,11,28,115,6,17,52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,home,10_20,25,75,35,17,7,30,40,29,6,7,18,115,12,16,1,DETROIT_PISTONS,19,87,20,23,1,23,43,15,10,10,32,111,12,19,37,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,away,10_23,24,84,28,30,3,28,37,26,9,10,24,109,13,15,1,DENVER_NUGGETS,27,80,23,23,2,35,39,18,8,9,22,104,5,23,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,away,10_25,20,95,23,26,5,38,39,15,6,7,19,99,11,13,0,LOS_ANGELES_LAKERS,27,92,16,30,5,47,41,13,7,6,26,102,9,21,45,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,away,10_27,30,97,22,33,6,29,43,16,15,12,21,117,7,14,0,GOLDEN_STATE_WARRIORS,33,95,20,38,13,38,46,18,10,15,20,120,7,17,41,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,away,10_29,28,85,20,34,3,36,40,13,17,13,18,110,9,15,1,SACRAMENTO_KINGS,13,82,16,22,2,32,32,13,6,11,20,83,8,17,49,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,home,11_1,20,92,30,30,4,30,41,24,10,15,28,116,5,12,0,PHOENIX_SUNS,23,83,38,24,5,34,41,31,9,11,24,122,5,9,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,home,11_3,25,84,31,28,2,28,45,21,11,9,24,122,5,16,0,CLEVELAND_CAVALIERS,20,82,28,27,4,26,46,26,12,8,27,130,11,14,37,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,away,11_5,19,85,23,23,3,35,40,16,11,11,26,107,9,17,1,TORONTO_RAPTORS,17,80,27,24,8,27,37,17,5,9,24,96,7,13,46,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON_WIZARDS,home,11_7,21,75,32,25,5,36,32,25,10,3,19,99,5,15,0,DALLAS_MAVERICKS,26,91,20,30,8,42,43,16,11,11,23,113,6,11,39,53,23.3,86.9,28.2,26.8,4.8,32.6,39.9,21.5,10.1,10.3,21.7,111.4,8.4,14.2,0.5,23.0,86.5,22.7,27.6,5.4,34.1,41.1,18.1,9.3,10.1,24.6,109.6,7.6,16.1,42.9,44.2
WASHINGTON_WIZARDS,home,11_9,20,83,20,21,4,38,43,18,7,7,31,111,7,19,1,LOS_ANGELES_LAKERS,17,86,41,23,4,29,31,30,3,17,19,95,9,19,45,46,23.2,85.5,26.4,26.7,4.2,32.8,40.0,20.3,10.2,9.4,22.8,110.5,8.3,15.2,0.5,22.2,85.8,24.9,26.4,5.2,33.3,39.9,19.7,8.1,10.7,23.7,107.6,7.9,16.3,42.2,44.0
WASHINGTON_WIZARDS,home,11_11,22,78,28,24,10,31,42,22,7,11,22,113,14,23,1,ATLANTA_HAWKS,19,83,17,33,1,22,34,12,14,10,23,94,11,24,42,32,22.9,85.8,25.7,27.4,4.5,32.9,40.2,19.6,10.3,9.8,23.2,110.3,8.5,15.9,0.5,22.2,85.4,24.6,27.4,5.2,33.2,39.0,19.4,8.5,10.7,22.8,105.9,7.8,16.8,42.7,43.9
WASHINGTON_WIZARDS,home,11_13,30,86,12,34,1,40,44,11,11,10,21,110,7,11,1,SACRAMENTO_KINGS,19,84,18,23,4,25,34,12,12,10,15,92,8,10,50,35,23.5,86.0,24.1,27.8,4.3,34.1,40.9,18.1,10.5,9.8,22.9,110.4,7.9,15.5,0.5,21.4,85.8,24.1,27.4,5.4,32.2,38.5,18.8,8.9,10.8,22.1,104.7,8.1,15.5,43.9,43.0
WASHINGTON_WIZARDS,away,11_15,9,78,31,19,2,29,32,29,9,11,19,102,8,12,1,MIAMI_HEAT,15,78,19,30,3,30,32,16,13,12,20,93,3,17,40,42,22.4,84.3,24.9,27.1,4.0,33.2,40.2,19.5,10.8,10.2,22.9,110.7,7.6,15.4,0.6,20.2,84.4,24.4,27.4,5.2,30.5,37.6,19.1,9.5,11.4,21.5,103.8,7.5,15.1,43.4,41.9
WASHINGTON_WIZARDS,home,11_17,18,84,16,35,4,39,32,14,10,7,17,88,4,12,0,MIAMI_HEAT,21,83,18,35,7,42,34,13,10,10,19,91,6,15,46,52,21.2,83.0,24.3,27.3,3.8,34.2,39.1,19.3,10.3,9.7,22.5,107.8,7.3,15.2,0.6,19.0,83.2,24.2,27.1,4.6,30.9,36.4,18.6,9.5,10.9,21.4,100.9,7.4,14.9,43.9,41.8
WASHINGTON_WIZARDS,away,11_19,20,81,21,19,3,35,34,12,11,8,12,91,5,14,0,TORONTO_RAPTORS,20,90,14,39,7,37,40,10,10,11,19,100,8,7,43,48,20.4,82.6,24.4,25.8,3.8,34.1,38.5,19.2,9.7,9.2,21.9,105.9,6.9,15.1,0.5,19.7,84.0,24.0,28.8,5.1,31.4,37.2,18.3,9.9,10.9,21.3,102.6,7.4,13.9,43.3,42.3
WASHINGTON_WIZARDS,away,11_20,23,74,17,24,1,38,39,12,9,8,18,99,4,16,1,MILWAUKEE_BUCKS,17,79,19,22,7,27,35,14,4,6,19,88,10,9,46,33,20.7,80.8,23.1,25.2,3.5,34.9,38.3,18.0,9.6,8.5,20.9,104.2,6.8,15.5,0.6,19.1,83.6,22.1,28.6,5.3,30.7,36.6,16.6,9.4,10.4,20.8,99.2,7.9,13.9,43.4,41.1
WASHINGTON_WIZARDS,away,11_22,25,99,22,33,6,34,48,17,11,9,29,124,4,12,0,CHARLOTTE_HORNETS,23,91,40,28,5,34,43,33,10,14,20,129,5,11,43,48,20.7,82.3,22.2,25.7,3.9,35.5,38.6,17.6,9.6,8.5,21.4,104.4,6.7,15.1,0.6,19.4,84.5,23.3,28.7,5.4,31.5,36.3,17.3,9.2,11.0,20.1,99.1,7.3,13.6,44.0,42.5
WASHINGTON_WIZARDS,home,11_25,20,89,16,23,4,30,41,15,8,7,17,105,9,11,0,PORTLAND_TRAIL_BLAZERS,18,80,22,24,6,35,41,17,9,6,16,108,3,16,37,41,20.8,82.7,21.5,25.7,4.0,35.0,38.7,17.5,9.3,8.1,20.5,104.2,6.7,14.5,0.5,19.5,84.5,22.8,28.7,5.2,32.3,36.7,17.3,9.6,10.7,19.3,100.3,6.9,13.9,43.1,43.0
WASHINGTON_WIZARDS,away,11_28,23,83,17,28,4,35,36,10,10,9,16,92,5,7,1,MINNESOTA_TIMBERWOLVES,27,85,14,30,1,36,35,9,10,13,17,89,3,10,44,49,21.0,83.5,20.0,26.0,3.9,34.9,39.1,16.0,9.3,8.7,20.2,103.5,6.7,13.7,0.6,19.6,83.9,22.2,28.7,4.5,31.7,35.9,16.6,9.5,10.9,18.7,97.9,6.6,13.8,43.6,42.6
WASHINGTON_WIZARDS,away,11_29,22,89,37,22,4,28,36,32,9,7,42,113,8,11,0,PHILADELPHIA_76ERS,23,81,64,18,8,43,37,41,3,21,27,118,6,17,35,64,21.2,84.1,21.7,26.1,3.9,33.9,38.4,17.4,9.5,8.7,21.3,103.7,6.8,12.9,0.5,20.2,83.4,24.5,28.2,4.9,33.1,36.5,17.7,9.5,11.3,19.5,100.2,6.3,13.6,42.6,44.4
WASHINGTON_WIZARDS,home,12_1,28,89,19,21,6,33,43,16,7,16,20,109,12,11,1,DETROIT_PISTONS,20,79,19,30,5,28,35,12,9,4,21,91,7,15,49,32,21.8,85.2,20.8,25.8,3.5,34.1,38.5,16.8,9.5,9.2,21.1,103.3,6.6,11.7,0.5,20.3,83.0,24.7,27.9,5.3,33.7,36.6,17.7,9.0,10.7,19.3,99.9,5.9,12.7,43.3,44.4
WASHINGTON_WIZARDS,away,12_4,9,80,23,20,2,19,23,19,4,12,21,69,8,13,0,UTAH_JAZZ,29,76,18,34,3,42,43,14,16,10,20,116,9,16,31,52,19.7,84.6,21.9,24.4,3.6,32.0,36.4,17.6,8.8,9.4,21.1,99.2,6.7,11.9,0.4,21.3,82.2,24.7,29.0,5.2,35.4,37.5,17.9,9.4,10.7,19.8,102.3,6.0,13.3,41.4,46.1
WASHINGTON_WIZARDS,away,12_5,20,89,14,25,6,33,42,11,11,11,22,106,16,9,1,PORTLAND_TRAIL_BLAZERS,18,78,21,27,5,34,32,16,12,7,20,92,2,18,44,41,20.8,85.7,20.2,25.0,4.0,32.4,37.4,15.8,9.0,9.4,21.4,99.6,7.5,11.6,0.4,21.6,82.2,24.9,28.7,5.4,35.8,37.5,17.9,9.3,10.2,19.8,102.2,5.9,13.4,41.8,46.0
WASHINGTON_WIZARDS,away,12_7,25,81,25,21,4,30,41,19,8,8,23,109,6,10,1,PHOENIX_SUNS,22,78,28,23,5,32,36,20,7,10,21,99,5,13,38,42,21.5,85.4,21.1,23.6,4.0,31.5,38.3,16.3,8.8,9.5,22.0,101.7,7.7,11.4,0.5,21.7,81.7,25.9,27.5,5.2,34.8,37.7,18.6,9.0,10.2,20.0,103.0,5.8,13.2,41.0,45.0
WASHINGTON_WIZARDS,away,12_9,33,82,23,32,2,35,42,15,13,9,18,112,5,13,0,LOS_ANGELES_CLIPPERS,22,80,24,32,4,29,39,21,14,4,19,113,8,10,44,33,22.8,85.5,21.3,24.9,3.9,31.5,39.1,16.6,9.0,9.6,22.6,103.8,7.7,11.3,0.5,21.9,80.7,26.9,26.8,4.9,34.0,37.6,19.7,9.4,9.5,20.0,104.3,5.8,13.5,41.1,43.5
WASHINGTON_WIZARDS,away,12_12,18,95,22,22,3,37,38,18,4,12,26,98,8,10,0,BROOKLYN_NETS,26,84,33,43,6,44,34,25,10,9,21,103,4,14,49,53,22.3,87.6,21.8,24.7,4.1,31.4,39.0,17.2,8.5,10.0,23.4,103.7,8.1,10.7,0.4,22.8,81.2,28.3,28.9,4.8,35.7,37.5,20.8,10.0,9.8,20.2,105.8,5.2,14.0,41.4,45.5
WASHINGTON_WIZARDS,home,12_13,21,77,24,22,8,38,36,12,9,6,22,93,7,15,1,MEMPHIS_GRIZZLIES,18,81,16,28,2,37,31,15,10,10,23,87,6,16,44,47,21.9,85.4,22.0,23.6,4.3,31.8,37.8,16.7,8.3,9.7,22.7,100.6,8.4,11.0,0.5,22.3,80.2,25.9,28.9,4.5,36.0,36.3,19.0,10.0,9.4,20.5,101.6,5.3,14.5,41.5,45.4
WASHINGTON_WIZARDS,home,12_15,21,88,23,31,7,39,39,15,7,11,26,100,12,19,1,LOS_ANGELES_CLIPPERS,17,86,29,24,6,35,33,18,7,12,20,91,12,20,50,47,22.0,85.3,22.7,24.4,4.6,32.7,37.6,16.7,8.2,10.1,23.6,100.1,8.7,11.8,0.6,22.2,80.8,26.6,28.9,4.5,36.0,35.5,19.1,9.8,10.0,20.9,99.9,6.2,14.9,42.8,46.0
WASHINGTON_WIZARDS,home,12_17,20,91,16,33,5,38,39,9,12,13,18,99,4,10,0,CLEVELAND_CAVALIERS,24,87,12,34,4,38,41,10,14,4,16,106,6,8,51,42,21.7,86.1,22.6,24.9,4.7,33.0,37.9,16.6,8.4,10.5,23.8,100.8,8.6,12.1,0.5,21.9,81.0,26.4,29.3,4.8,36.2,36.1,19.2,10.2,9.1,20.8,101.6,6.5,14.7,43.5,45.3
WASHINGTON_WIZARDS,home,12_19,29,92,14,35,3,34,46,10,14,10,31,116,8,16,1,NEW_ORLEANS_PELICANS,20,80,40,20,1,31,34,33,5,11,16,106,7,16,44,42,22.4,86.4,20.3,26.2,4.6,33.6,38.9,14.4,8.9,10.8,22.7,101.1,8.6,12.6,0.6,21.6,80.9,24.0,29.5,4.1,35.0,35.8,18.4,10.4,8.1,19.7,100.4,6.6,14.6,44.4,43.1
WASHINGTON_WIZARDS,away,12_22,22,93,15,20,1,28,34,11,5,7,18,84,7,7,0,BROOKLYN_NETS,29,88,21,41,4,47,44,17,14,13,17,119,4,14,35,60,21.8,86.8,19.9,26.1,4.1,33.1,38.0,13.9,8.7,9.9,22.5,98.6,8.1,12.2,0.5,22.5,81.8,24.2,30.6,4.0,36.9,36.7,18.9,10.9,9.0,19.3,103.2,6.3,14.5,43.0,45.9
WASHINGTON_WIZARDS,home,12_23,29,86,23,30,2,37,47,20,16,12,18,130,5,16,1,ORLANDO_MAGIC,17,87,17,26,3,24,42,11,8,4,22,103,7,12,49,28,23.8,87.4,19.9,27.1,4.1,34.9,40.4,14.0,9.9,9.9,22.2,104.7,7.8,12.5,0.6,21.3,82.9,24.1,29.8,4.0,35.1,36.6,18.6,10.1,8.4,19.5,101.9,6.1,14.1,44.8,43.5
