name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
BROOKLYN_NETS,away,10_17,28,82,22,27,5,34,40,15,5,5,23,100,9,17,0,DETROIT_PISTONS,21,92,22,24,5,32,39,19,6,14,20,103,5,14,39,46
BROOKLYN_NETS,home,10_19,22,75,24,30,6,43,37,21,12,12,23,107,2,22,1,NEW_YORK_KNICKS,14,97,20,28,1,24,39,18,9,12,19,105,10,3,55,36
BROOKLYN_NETS,away,10_20,25,86,22,37,6,31,41,14,16,9,18,112,6,20,0,INDIANA_PACERS,21,92,22,24,5,30,51,14,16,10,18,132,12,10,40,40
BROOKLYN_NETS,away,10_24,23,87,15,34,1,36,38,12,14,8,16,102,8,14,1,CLEVELAND_CAVALIERS,18,89,16,18,2,37,34,15,3,16,19,86,5,15,44,53
BROOKLYN_NETS,away,10_26,26,98,15,40,8,38,43,10,19,16,22,115,6,18,0,NEW_ORLEANS_PELICANS,23,98,26,23,11,31,44,20,9,15,20,117,11,11,54,46
BROOKLYN_NETS,home,10_28,28,87,15,42,3,32,42,10,20,5,20,114,5,15,0,GOLDEN_STATE_WARRIORS,28,89,24,33,7,35,44,21,11,12,16,120,11,12,37,47
BROOKLYN_NETS,away,10_29,22,84,22,38,7,21,34,17,11,11,20,96,6,10,0,NEW_YORK_KNICKS,21,92,18,24,3,37,45,16,9,16,21,115,5,13,32,53
BROOKLYN_NETS,home,10_31,26,101,30,38,3,37,43,22,12,18,33,120,5,16,1,DETROIT_PISTONS,16,93,39,34,6,41,39,30,11,14,30,119,8,16,55,55
BROOKLYN_NETS,home,11_2,22,85,20,34,4,29,42,12,15,9,28,111,5,10,0,HOUSTON_ROCKETS,22,83,32,39,10,30,41,22,15,11,21,119,4,9,38,41
BROOKLYN_NETS,home,11_4,27,105,18,28,3,23,50,13,9,15,28,122,11,9,1,PHILADELPHIA_76ERS,16,65,41,20,1,37,31,31,4,9,21,97,6,27,38,46
BROOKLYN_NETS,away,11_6,22,92,19,36,5,39,41,13,9,13,22,104,9,10,1,PHOENIX_SUNS,16,81,20,25,3,40,28,17,9,9,20,82,4,20,52,49
BROOKLYN_NETS,away,11_9,21,88,42,33,9,30,36,28,12,12,24,112,7,8,1,DENVER_NUGGETS,20,87,34,18,5,39,40,25,5,15,28,110,3,12,42,54
BROOKLYN_NETS,away,11_10,20,77,29,24,2,29,36,21,7,12,22,100,7,14,0,GOLDEN_STATE_WARRIORS,27,83,21,16,7,30,46,17,7,6,24,116,9,10,41,36
BROOKLYN_NETS,away,11_12,28,101,22,50,2,23,40,15,18,19,29,113,10,13,0,MINNESOTA_TIMBERWOLVES,26,80,31,23,6,43,42,26,10,9,17,120,8,23,42,52
BROOKLYN_NETS,home,11_14,17,101,24,28,2,30,41,17,8,16,29,107,10,15,0,MIAMI_HEAT,23,85,28,29,6,41,46,20,8,6,27,120,6,17,46,47
BROOKLYN_NETS,away,11_16,19,90,38,33,3,34,38,30,9,13,24,115,8,11,1,WASHINGTON_WIZARDS,18,87,34,18,4,35,37,27,3,12,23,104,5,13,47,47
BROOKLYN_NETS,home,11_17,25,88,34,28,5,32,40,26,13,15,22,119,4,11,0,LOS_ANGELES_CLIPPERS,23,95,24,23,1,29,48,20,11,9,25,127,4,8,47,38
BROOKLYN_NETS,away,11_20,17,88,26,31,4,40,38,20,8,13,21,104,6,11,1,MIAMI_HEAT,18,100,20,32,6,34,36,13,7,18,24,92,5,14,53,52
BROOKLYN_NETS,away,11_21,23,94,21,42,2,26,42,15,14,16,31,113,8,14,0,DALLAS_MAVERICKS,21,78,41,27,3,37,38,32,11,8,20,119,10,13,42,45
BROOKLYN_NETS,home,11_23,26,79,26,45,4,37,33,22,14,9,22,102,2,18,0,MINNESOTA_TIMBERWOLVES,25,92,17,25,4,29,44,15,9,9,20,112,15,7,46,38
BROOKLYN_NETS,home,11_25,19,88,20,25,4,33,50,15,10,10,25,125,2,16,0,PHILADELPHIA_76ERS,28,91,33,29,6,29,44,27,12,13,22,127,9,9,43,42
BROOKLYN_NETS,home,11_28,11,86,28,30,5,34,30,20,11,14,20,91,12,20,0,UTAH_JAZZ,17,82,21,28,6,40,39,14,9,8,25,101,10,19,48,48
BROOKLYN_NETS,home,11_30,26,94,30,44,4,40,42,25,16,11,28,125,7,16,0,MEMPHIS_GRIZZLIES,27,101,22,30,6,34,50,19,12,11,23,131,8,17,51,45
BROOKLYN_NETS,away,12_1,19,81,25,33,2,31,30,20,8,11,17,88,8,17,0,WASHINGTON_WIZARDS,19,79,18,26,3,36,41,12,8,2,21,102,8,13,42,38
BROOKLYN_NETS,home,12_3,17,99,16,40,2,33,39,9,10,17,20,97,5,7,0,CLEVELAND_CAVALIERS,15,88,20,15,4,41,38,19,4,14,17,99,5,9,50,55
BROOKLYN_NETS,home,12_5,21,86,30,36,4,35,37,23,15,10,24,112,7,14,0,OKLAHOMA_CITY_THUNDER,28,99,26,38,6,43,43,15,13,17,23,114,8,13,45,60
BROOKLYN_NETS,home,12_7,22,98,13,35,2,44,43,9,11,16,28,106,8,20,1,TORONTO_RAPTORS,25,89,29,35,7,35,35,24,11,6,19,105,9,15,60,41
BROOKLYN_NETS,away,12_8,27,88,25,22,5,33,43,15,11,12,25,112,5,12,1,NEW_YORK_KNICKS,22,83,30,26,2,31,39,18,8,9,18,104,8,12,45,40
BROOKLYN_NETS,away,12_12,20,74,43,28,1,30,38,37,14,7,23,127,10,16,1,PHILADELPHIA_76ERS,31,91,16,28,3,27,50,12,12,10,30,124,11,17,37,37
BROOKLYN_NETS,home,12_14,34,84,31,31,3,36,44,26,11,9,17,125,5,9,1,WASHINGTON_WIZARDS,30,90,16,29,3,22,49,9,11,4,24,118,3,9,45,26
BROOKLYN_NETS,home,12_16,34,88,33,40,3,29,49,30,16,10,21,144,12,13,1,ATLANTA_HAWKS,38,85,25,29,5,25,47,19,14,8,22,127,9,14,39,33
BROOKLYN_NETS,home,12_18,27,91,19,34,4,36,44,13,14,4,18,115,5,11,1,LOS_ANGELES_LAKERS,21,90,23,40,4,40,42,13,13,8,19,110,6,14,40,48
BROOKLYN_NETS,away,12_19,23,74,25,25,2,38,34,20,8,7,14,96,3,13,1,CHICAGO_BULLS,21,91,10,19,5,30,40,7,6,9,22,93,7,8,45,39
BROOKLYN_NETS,home,12_21,28,72,34,31,3,30,33,24,16,11,23,106,5,20,0,INDIANA_PACERS,24,82,18,26,8,23,44,15,11,6,26,114,10,11,41,29
BROOKLYN_NETS,home,12_23,25,85,33,27,4,35,40,21,10,14,15,111,7,17,1,PHOENIX_SUNS,24,89,16,17,5,31,43,14,3,10,27,103,10,12,49,41
BROOKLYN_NETS,home,12_26,31,104,18,47,7,47,51,13,19,10,26,134,8,17,1,CHARLOTTE_HORNETS,26,106,30,31,3,41,47,23,15,12,20,132,8,13,57,53
BROOKLYN_NETS,away,12_28,15,83,20,27,10,39,33,17,4,9,20,87,4,14,0,CHARLOTTE_HORNETS,19,100,10,33,8,37,41,7,11,12,22,100,4,8,48,49
BROOKLYN_NETS,away,12_29,28,79,35,35,3,35,38,24,15,5,17,115,6,14,0,MILWAUKEE_BUCKS,30,96,16,51,5,34,47,14,21,5,22,129,6,10,40,39
BROOKLYN_NETS,home,1_2,27,93,21,31,5,31,47,16,16,12,23,126,7,10,1,NEW_ORLEANS_PELICANS,19,87,27,23,5,31,46,19,10,10,20,121,7,12,43,41
BROOKLYN_NETS,away,1_4,25,79,26,34,2,37,36,24,13,8,19,109,6,20,1,MEMPHIS_GRIZZLIES,23,93,15,24,5,32,42,11,5,8,24,100,9,13,45,40
BROOKLYN_NETS,away,1_6,29,83,22,46,3,32,42,17,16,6,16,117,6,9,1,CHICAGO_BULLS,20,88,15,18,4,33,41,11,7,11,15,100,6,12,38,44
BROOKLYN_NETS,away,1_7,19,79,22,42,4,38,32,20,11,9,16,95,5,23,0,BOSTON_CELTICS,37,93,12,32,2,37,47,10,12,6,21,116,13,13,47,43
BROOKLYN_NETS,home,1_9,21,95,26,30,9,36,43,20,10,18,28,116,10,18,1,ATLANTA_HAWKS,17,99,25,35,6,34,36,22,6,18,24,100,8,19,54,52
BROOKLYN_NETS,away,1_11,20,88,30,30,4,45,37,20,11,9,21,105,4,17,0,TORONTO_RAPTORS,32,105,24,35,4,42,48,15,11,13,22,122,10,9,54,55
BROOKLYN_NETS,home,1_14,18,86,25,38,7,42,37,22,13,13,20,109,5,17,1,BOSTON_CELTICS,21,91,23,36,8,31,37,17,11,10,21,102,10,10,55,41
BROOKLYN_NETS,away,1_16,29,108,22,36,3,41,56,17,16,16,25,145,4,13,1,HOUSTON_ROCKETS,18,105,34,70,8,37,45,29,23,10,24,142,7,8,57,47
BROOKLYN_NETS,away,1_18,24,97,15,46,5,32,44,10,19,9,19,117,5,11,1,ORLANDO_MAGIC,26,94,14,26,6,37,47,11,10,12,18,115,5,13,41,49
BROOKLYN_NETS,home,1_21,25,90,24,35,4,44,45,20,13,12,15,123,9,16,1,SACRAMENTO_KINGS,26,93,11,25,4,27,39,6,10,10,20,94,8,14,56,37
BROOKLYN_NETS,home,1_23,20,90,23,32,2,33,43,18,10,12,22,114,7,16,1,ORLANDO_MAGIC,22,89,28,34,11,31,38,23,11,11,19,110,7,13,45,42
BROOKLYN_NETS,home,1_25,19,84,47,33,2,42,34,32,9,18,21,109,5,19,1,NEW_YORK_KNICKS,17,87,26,31,11,27,37,17,8,6,31,99,12,8,60,33
BROOKLYN_NETS,away,1_28,20,103,16,34,5,32,39,13,13,16,20,104,10,17,0,BOSTON_CELTICS,29,100,10,40,16,36,45,9,13,16,16,112,11,17,48,52
BROOKLYN_NETS,home,1_29,25,94,40,35,2,36,42,28,10,7,21,122,11,8,1,CHICAGO_BULLS,17,94,19,28,8,45,47,14,9,5,29,117,6,17,43,50
BROOKLYN_NETS,away,1_31,30,89,29,34,7,41,42,19,11,5,23,114,5,14,0,SAN_ANTONIO_SPURS,23,100,29,33,3,37,40,25,12,13,21,117,6,9,46,50
BROOKLYN_NETS,away,2_2,23,91,16,38,2,42,33,13,10,8,11,89,6,18,0,ORLANDO_MAGIC,25,94,12,27,8,42,41,10,10,7,17,102,11,14,50,49
BROOKLYN_NETS,home,2_4,23,102,28,42,9,40,33,23,5,16,21,94,5,13,0,MILWAUKEE_BUCKS,29,101,25,39,7,44,43,17,10,15,20,113,9,9,56,59
BROOKLYN_NETS,home,2_6,36,90,33,34,5,35,46,24,19,5,22,135,9,13,1,DENVER_NUGGETS,32,99,21,35,8,36,50,17,13,12,26,130,7,13,40,48
BROOKLYN_NETS,home,2_8,26,94,16,41,1,27,39,15,13,6,21,106,9,11,0,CHICAGO_BULLS,27,85,24,28,5,42,46,19,14,8,21,125,5,16,33,50
BROOKLYN_NETS,away,2_11,33,88,18,41,3,26,46,13,20,5,18,125,6,14,0,TORONTO_RAPTORS,32,92,20,31,3,35,50,18,9,5,16,127,12,13,31,40
BROOKLYN_NETS,away,2_13,31,113,34,45,13,44,52,26,18,16,23,148,4,18,1,CLEVELAND_CAVALIERS,35,120,18,42,4,39,54,13,18,18,37,139,7,15,60,57
BROOKLYN_NETS,home,2_21,26,92,26,36,2,37,36,20,7,12,19,99,4,12,0,PORTLAND_TRAIL_BLAZERS,19,105,16,32,9,41,46,14,7,19,21,113,7,13,49,60
BROOKLYN_NETS,away,2_23,23,87,26,43,6,31,40,20,17,11,26,117,5,12,1,CHARLOTTE_HORNETS,15,86,30,35,5,30,39,25,12,12,23,115,4,12,42,42
BROOKLYN_NETS,home,2_25,24,81,16,50,5,45,35,12,19,6,15,101,5,15,1,SAN_ANTONIO_SPURS,14,96,12,24,6,37,35,11,4,10,13,85,6,11,51,47
BROOKLYN_NETS,home,2_27,20,85,39,35,3,34,39,30,8,7,27,116,7,16,0,WASHINGTON_WIZARDS,34,96,31,37,4,40,44,26,11,17,30,125,10,17,41,57
BROOKLYN_NETS,home,3_1,27,86,18,32,5,30,44,14,10,7,19,112,2,15,0,CHARLOTTE_HORNETS,24,94,17,21,4,30,50,14,9,10,25,123,6,13,37,40
BROOKLYN_NETS,away,3_2,20,88,22,42,6,29,31,17,9,7,14,88,6,11,0,MIAMI_HEAT,36,90,22,34,9,46,44,15,14,11,19,117,5,11,36,57
BROOKLYN_NETS,home,3_4,29,85,19,41,1,45,48,14,17,3,23,127,8,13,1,DALLAS_MAVERICKS,20,87,22,45,3,31,31,14,12,5,19,88,4,13,48,36
