name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
BROOKLYN_NETS,away,10_17,28,82,22,27,5,34,40,15,5,5,23,100,9,17,0,DETROIT_PISTONS,21,92,22,24,5,32,39,19,6,14,20,103,5,14,39,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,home,10_19,22,75,24,30,6,43,37,21,12,12,23,107,2,22,1,NEW_YORK_KNICKS,14,97,20,28,1,24,39,18,9,12,19,105,10,3,55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,away,10_20,25,86,22,37,6,31,41,14,16,9,18,112,6,20,0,INDIANA_PACERS,21,92,22,24,5,30,51,14,16,10,18,132,12,10,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,away,10_24,23,87,15,34,1,36,38,12,14,8,16,102,8,14,1,CLEVELAND_CAVALIERS,18,89,16,18,2,37,34,15,3,16,19,86,5,15,44,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,away,10_26,26,98,15,40,8,38,43,10,19,16,22,115,6,18,0,NEW_ORLEANS_PELICANS,23,98,26,23,11,31,44,20,9,15,20,117,11,11,54,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,home,10_28,28,87,15,42,3,32,42,10,20,5,20,114,5,15,0,GOLDEN_STATE_WARRIORS,28,89,24,33,7,35,44,21,11,12,16,120,11,12,37,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,away,10_29,22,84,22,38,7,21,34,17,11,11,20,96,6,10,0,NEW_YORK_KNICKS,21,92,18,24,3,37,45,16,9,16,21,115,5,13,32,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,home,10_31,26,101,30,38,3,37,43,22,12,18,33,120,5,16,1,DETROIT_PISTONS,16,93,39,34,6,41,39,30,11,14,30,119,8,16,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,home,11_2,22,85,20,34,4,29,42,12,15,9,28,111,5,10,0,HOUSTON_ROCKETS,22,83,32,39,10,30,41,22,15,11,21,119,4,9,38,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN_NETS,home,11_4,27,105,18,28,3,23,50,13,9,15,28,122,11,9,1,PHILADELPHIA_76ERS,16,65,41,20,1,37,31,31,4,9,21,97,6,27,38,46,24.9,89.0,20.3,34.8,4.6,32.4,41.0,14.6,13.3,10.8,23.1,109.9,6.3,15.1,0.4,20.0,89.0,26.0,26.7,5.1,33.4,40.7,20.6,9.3,12.9,20.5,111.3,7.7,13.0,43.2,46.3
BROOKLYN_NETS,away,11_6,22,92,19,36,5,39,41,13,9,13,22,104,9,10,1,PHOENIX_SUNS,16,81,20,25,3,40,28,17,9,9,20,82,4,20,52,49,24.3,90.0,20.0,35.7,4.6,32.9,41.1,14.4,13.7,11.6,23.0,110.3,6.3,14.4,0.5,19.5,87.9,25.8,26.8,4.9,34.2,39.6,20.4,9.6,12.4,20.5,109.2,7.6,13.6,44.5,46.6
BROOKLYN_NETS,away,11_9,21,88,42,33,9,30,36,28,12,12,24,112,7,8,1,DENVER_NUGGETS,20,87,34,18,5,39,40,25,5,15,28,110,3,12,42,54,24.2,91.3,21.8,36.0,4.9,31.6,41.0,15.1,13.7,11.6,23.1,110.8,6.8,13.0,0.5,20.1,86.9,27.2,25.8,5.3,35.7,39.7,21.1,9.2,12.7,21.4,109.7,6.9,14.5,43.2,48.4
BROOKLYN_NETS,away,11_10,20,77,29,24,2,29,36,21,7,12,22,100,7,14,0,GOLDEN_STATE_WARRIORS,27,83,21,16,7,30,46,17,7,6,24,116,9,10,41,36,23.7,90.4,22.5,34.7,4.5,31.4,40.5,15.8,12.8,11.9,23.5,109.6,6.9,12.4,0.5,20.7,86.0,27.1,25.0,5.5,35.7,39.2,21.4,8.3,12.3,22.0,108.1,6.6,14.5,43.3,48.0
BROOKLYN_NETS,away,11_12,28,101,22,50,2,23,40,15,18,19,29,113,10,13,0,MINNESOTA_TIMBERWOLVES,26,80,31,23,6,43,42,26,10,9,17,120,8,23,42,52,24.2,91.8,23.2,36.3,4.6,30.1,40.7,16.1,13.2,13.0,24.8,110.7,7.1,12.3,0.4,21.5,85.1,28.6,25.5,5.9,36.3,40.0,22.5,9.0,11.6,21.8,111.5,6.9,15.3,43.1,47.9
BROOKLYN_NETS,home,11_14,17,101,24,28,2,30,41,17,8,16,29,107,10,15,0,MIAMI_HEAT,23,85,28,29,6,41,46,20,8,6,27,120,6,17,46,47,23.3,92.1,24.1,35.1,4.0,29.3,40.5,16.8,12.1,13.0,25.5,109.9,7.5,12.0,0.4,21.5,83.8,28.8,26.1,5.4,37.3,40.2,22.5,8.9,10.7,22.5,111.8,6.4,15.9,42.3,48.0
BROOKLYN_NETS,away,11_16,19,90,38,33,3,34,38,30,9,13,24,115,8,11,1,WASHINGTON_WIZARDS,18,87,34,18,4,35,37,27,3,12,23,104,5,13,47,47,22.4,92.4,26.4,34.2,4.0,29.5,40.1,18.8,11.0,13.8,25.9,110.0,7.8,11.6,0.5,20.5,83.6,29.8,24.6,5.1,37.3,39.5,23.1,8.1,10.7,23.2,110.2,5.8,16.0,43.3,48.0
BROOKLYN_NETS,home,11_17,25,88,34,28,5,32,40,26,13,15,22,119,4,11,0,LOS_ANGELES_CLIPPERS,23,95,24,23,1,29,48,20,11,9,25,127,4,8,47,38,22.7,92.8,27.6,33.2,3.8,30.6,40.7,19.7,11.2,14.2,26.1,112.3,7.6,11.7,0.5,20.7,83.9,30.4,24.5,4.9,36.5,39.8,23.5,8.3,10.0,23.6,111.4,5.7,15.5,44.8,46.5
BROOKLYN_NETS,away,11_20,17,88,26,31,4,40,38,20,8,13,21,104,6,11,1,MIAMI_HEAT,18,100,20,32,6,34,36,13,7,18,24,92,5,14,53,52,21.8,91.5,27.2,32.5,3.9,30.9,40.2,19.5,10.8,13.7,24.9,110.7,7.7,11.2,0.5,20.9,84.6,28.5,24.3,4.9,35.8,39.5,21.8,7.9,10.4,23.0,108.7,5.4,15.3,44.6,46.2
BROOKLYN_NETS,away,11_21,23,94,21,42,2,26,42,15,14,16,31,113,8,14,0,DALLAS_MAVERICKS,21,78,41,27,3,37,38,32,11,8,20,119,10,13,42,45,21.9,92.4,27.3,33.3,3.7,30.6,40.2,19.8,10.7,14.4,25.2,110.9,8.0,11.6,0.5,20.8,84.1,29.4,23.1,4.2,36.5,39.2,22.8,7.5,10.1,22.9,108.7,6.0,15.7,45.0,46.6
BROOKLYN_NETS,home,11_23,26,79,26,45,4,37,33,22,14,9,22,102,2,18,0,MINNESOTA_TIMBERWOLVES,25,92,17,25,4,29,44,15,9,9,20,112,15,7,46,38,21.8,89.8,28.1,35.0,3.8,32.0,38.5,20.7,11.2,13.8,24.6,108.9,7.1,12.5,0.4,21.7,86.8,27.0,23.6,4.5,35.7,40.5,21.2,8.0,10.1,22.8,110.2,6.9,13.7,45.8,45.8
BROOKLYN_NETS,home,11_25,19,88,20,25,4,33,50,15,10,10,25,125,2,16,0,PHILADELPHIA_76ERS,28,91,33,29,6,29,44,27,12,13,22,127,9,9,43,42,21.5,89.4,28.2,33.9,3.7,31.4,39.4,20.9,11.3,13.5,24.9,111.0,6.4,13.1,0.3,22.9,87.8,28.3,24.0,4.8,34.6,42.1,22.2,8.3,10.5,23.0,114.7,7.4,12.6,44.9,45.1
BROOKLYN_NETS,home,11_28,11,86,28,30,5,34,30,20,11,14,20,91,12,20,0,UTAH_JAZZ,17,82,21,28,6,40,39,14,9,8,25,101,10,19,48,48,20.5,89.2,26.8,33.6,3.3,31.8,38.8,20.1,11.2,13.7,24.5,108.9,6.9,14.3,0.2,22.6,87.3,27.0,25.0,4.9,34.7,42.0,21.1,8.7,9.8,22.7,113.8,8.1,13.3,45.5,44.5
BROOKLYN_NETS,home,11_30,26,94,30,44,4,40,42,25,16,11,28,125,7,16,0,MEMPHIS_GRIZZLIES,27,101,22,30,6,34,50,19,12,11,23,131,8,17,51,45,21.1,90.9,26.9,35.6,3.5,32.9,39.4,20.5,12.1,13.6,25.1,111.4,6.9,14.5,0.2,22.6,89.1,27.1,26.4,4.8,35.1,42.4,21.3,9.2,10.3,22.6,115.3,8.0,14.0,46.5,45.4
BROOKLYN_NETS,away,12_1,19,81,25,33,2,31,30,20,8,11,17,88,8,17,0,WASHINGTON_WIZARDS,19,79,18,26,3,36,41,12,8,2,21,102,8,13,42,38,20.2,88.9,27.2,33.9,3.5,33.7,38.4,21.0,11.1,12.8,23.9,108.9,6.7,14.9,0.2,21.9,89.0,25.8,26.7,4.5,34.4,42.3,19.9,9.0,9.6,23.0,113.5,8.0,13.0,46.5,44.0
BROOKLYN_NETS,home,12_3,17,99,16,40,2,33,39,9,10,17,20,97,5,7,0,CLEVELAND_CAVALIERS,15,88,20,15,4,41,38,19,4,14,17,99,5,9,50,55,20.2,88.7,26.4,35.1,3.5,34.0,38.2,20.2,11.3,12.9,23.0,107.9,6.2,14.1,0.2,21.1,89.3,25.0,25.3,4.3,34.4,41.5,19.8,8.6,10.4,22.0,111.4,7.9,12.2,46.9,44.8
BROOKLYN_NETS,home,12_5,21,86,30,36,4,35,37,23,15,10,24,112,7,14,0,OKLAHOMA_CITY_THUNDER,28,99,26,38,6,43,43,15,13,17,23,114,8,13,45,60,20.4,88.3,25.6,35.4,3.6,34.1,38.1,19.5,11.9,12.6,23.0,107.6,6.1,14.4,0.1,22.1,90.5,24.2,27.3,4.5,35.2,42.1,18.6,9.6,10.9,22.0,112.4,8.2,12.2,46.7,46.1
BROOKLYN_NETS,home,12_7,22,98,13,35,2,44,43,9,11,16,28,106,8,20,1,TORONTO_RAPTORS,25,89,29,35,7,35,35,24,11,6,19,105,9,15,60,41,20.1,89.3,23.5,36.1,3.3,35.3,38.4,17.8,11.7,12.7,23.6,106.3,6.5,15.3,0.2,22.3,89.9,24.7,28.5,5.1,35.8,40.8,19.0,9.6,10.6,21.4,110.2,8.7,12.9,48.0,46.4
BROOKLYN_NETS,away,12_8,27,88,25,22,5,33,43,15,11,12,25,112,5,12,1,NEW_YORK_KNICKS,22,83,30,26,2,31,39,18,8,9,18,104,8,12,45,40,21.1,89.3,23.4,35.2,3.4,34.6,38.9,17.3,12.0,12.6,24.0,107.1,6.4,15.4,0.2,22.7,88.2,25.7,27.9,4.7,35.5,41.1,19.5,9.7,9.7,20.8,111.4,9.0,12.7,47.2,45.2
BROOKLYN_NETS,away,12_12,20,74,43,28,1,30,38,37,14,7,23,127,10,16,1,PHILADELPHIA_76ERS,31,91,16,28,3,27,50,12,12,10,30,124,11,17,37,37,20.8,87.3,25.6,33.8,3.3,35.0,38.5,19.5,12.0,11.7,23.2,108.5,6.6,15.6,0.3,23.7,89.5,23.2,28.0,4.7,34.5,42.3,17.5,9.8,9.9,21.8,111.9,9.1,13.1,46.7,44.4
BROOKLYN_NETS,home,12_14,34,84,31,31,3,36,44,26,11,9,17,125,5,9,1,WASHINGTON_WIZARDS,30,90,16,29,3,22,49,9,11,4,24,118,3,9,45,26,21.6,87.8,26.1,32.4,3.2,34.9,39.6,19.9,11.7,11.7,22.7,110.8,6.9,14.7,0.4,24.2,89.3,23.1,28.4,4.6,33.8,42.8,16.9,10.0,9.4,22.2,112.5,7.9,13.3,46.6,43.2
