name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
CHARLOTTE_HORNETS,home,10_17,21,92,22,38,9,32,41,14,16,9,19,112,8,11,0,MILWAUKEE_BUCKS,26,85,20,34,4,46,42,15,14,11,25,113,5,21,41,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,10_19,32,92,20,38,4,43,43,17,17,12,17,120,6,15,1,ORLANDO_MAGIC,18,94,14,31,7,32,36,10,6,12,16,88,8,15,55,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,10_20,23,93,23,42,12,28,41,15,16,12,27,113,6,11,1,MIAMI_HEAT,21,89,27,34,11,37,41,19,11,12,27,112,4,15,40,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,10_22,21,97,18,28,5,27,41,15,9,14,14,106,5,12,0,TORONTO_RAPTORS,36,87,14,39,8,41,50,12,15,5,21,127,10,13,41,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,10_24,23,85,29,35,5,28,37,26,10,8,20,110,5,6,0,CHICAGO_BULLS,21,77,35,29,5,36,37,28,10,9,24,112,4,14,36,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,10_26,30,93,16,32,10,39,53,15,14,11,18,135,10,10,1,CHICAGO_BULLS,21,85,22,36,7,26,37,16,16,8,16,106,5,13,50,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,away,10_27,19,95,24,35,8,39,37,20,9,9,25,103,3,9,0,PHILADELPHIA_76ERS,18,91,30,28,8,42,35,25,10,14,23,105,4,11,48,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,10_30,27,81,29,28,5,31,44,24,13,8,26,125,7,14,1,MIAMI_HEAT,25,87,24,28,5,24,41,20,11,10,26,113,9,15,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,11_1,26,93,22,41,3,40,38,20,11,11,26,107,7,17,0,OKLAHOMA_CITY_THUNDER,20,96,29,37,9,35,41,21,8,14,21,111,12,10,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARLOTTE_HORNETS,home,11_3,29,91,13,30,7,38,52,12,10,12,17,126,3,15,1,CLEVELAND_CAVALIERS,22,81,15,26,2,23,35,14,10,3,20,94,10,13,50,26,25.1,91.2,21.6,34.7,6.8,34.5,42.7,17.8,12.5,10.6,20.9,115.7,6.0,12.0,0.5,22.8,87.2,23.0,32.2,6.6,34.2,39.5,18.0,11.1,9.8,21.9,108.1,7.1,14.0,45.1,44.0
CHARLOTTE_HORNETS,home,11_6,27,92,18,31,4,35,45,10,13,8,16,113,9,21,1,ATLANTA_HAWKS,22,85,18,30,9,30,41,14,6,7,18,102,13,22,43,37,25.7,91.2,21.2,34.0,6.3,34.8,43.1,17.4,12.2,10.5,20.6,115.8,6.1,13.0,0.6,22.4,87.2,22.8,31.8,7.1,32.6,39.4,17.9,10.3,9.4,21.2,107.0,7.9,14.1,45.3,42.0
CHARLOTTE_HORNETS,away,11_9,25,110,40,40,5,35,43,30,16,14,33,132,10,4,0,PHILADELPHIA_76ERS,33,94,41,37,15,46,45,31,12,13,33,133,3,16,49,59,25.0,93.0,23.2,34.2,6.4,34.0,43.1,18.7,12.1,10.7,22.2,117.0,6.5,11.9,0.5,23.9,87.2,25.5,32.4,7.9,34.0,40.3,20.0,10.9,9.5,22.9,111.5,7.4,14.2,44.7,43.5
CHARLOTTE_HORNETS,away,11_11,24,85,18,28,8,40,43,16,11,6,26,113,6,12,1,DETROIT_PISTONS,21,104,19,44,4,29,38,15,12,22,18,103,5,10,46,51,25.1,92.2,22.7,32.8,6.0,35.2,43.3,18.8,11.6,10.1,22.1,117.0,6.5,12.0,0.5,23.9,88.7,24.7,33.4,7.2,33.2,40.0,19.6,11.0,10.5,22.0,110.6,7.5,13.7,45.3,43.7
CHARLOTTE_HORNETS,away,11_13,22,95,19,41,4,25,33,15,8,12,11,89,12,9,0,CLEVELAND_CAVALIERS,23,85,12,24,3,46,45,10,13,14,20,113,5,19,37,60,25.2,92.0,22.8,34.1,5.9,35.0,42.5,18.8,11.5,9.9,21.8,115.3,7.2,11.7,0.5,22.6,88.5,24.5,31.9,6.7,33.7,39.5,19.4,10.8,11.4,21.9,109.2,7.0,14.3,44.9,45.1
CHARLOTTE_HORNETS,home,11_17,23,99,27,31,3,40,42,25,10,9,29,119,10,17,0,PHILADELPHIA_76ERS,23,93,38,35,6,44,39,33,11,9,24,122,9,19,49,53,25.2,93.4,22.6,33.7,5.7,36.2,43.0,18.7,11.5,10.0,22.7,116.2,7.7,12.8,0.5,22.8,90.1,24.8,32.5,6.8,34.5,39.7,19.9,10.9,11.4,21.9,110.2,7.5,14.8,46.2,45.9
CHARLOTTE_HORNETS,home,11_19,18,89,22,41,3,36,43,16,15,8,16,117,5,13,1,BOSTON_CELTICS,31,89,18,32,6,33,45,13,9,8,22,112,9,12,44,41,24.0,93.0,23.2,34.6,5.0,35.9,42.0,18.8,11.6,9.7,22.5,114.4,7.2,13.1,0.5,23.8,90.5,24.4,32.1,6.7,35.2,40.5,19.6,10.2,11.4,22.5,110.8,7.9,14.7,45.6,46.6
CHARLOTTE_HORNETS,home,11_21,30,80,22,29,3,30,45,19,18,6,15,127,7,12,1,INDIANA_PACERS,26,84,17,33,7,27,41,16,11,10,19,109,5,14,36,37,25.1,91.5,23.0,34.0,4.5,35.0,42.8,18.7,12.5,9.4,21.5,116.8,7.6,13.4,0.6,24.6,89.8,23.1,32.6,6.6,33.7,41.1,18.7,10.3,11.0,22.1,111.2,8.0,15.0,44.4,44.7
CHARLOTTE_HORNETS,away,11_23,24,94,14,31,5,35,43,12,6,11,21,104,8,13,0,OKLAHOMA_CITY_THUNDER,24,93,24,33,2,35,41,16,11,11,18,109,6,14,46,46,24.8,92.8,21.5,34.3,4.5,35.4,42.7,17.5,11.8,9.7,21.0,114.7,7.7,13.3,0.5,24.5,90.4,23.1,33.1,6.3,34.8,41.1,18.3,10.3,11.1,21.3,110.8,7.7,14.9,45.1,45.9
CHARLOTTE_HORNETS,away,11_25,30,92,28,45,4,32,41,23,18,10,15,123,8,10,0,ATLANTA_HAWKS,34,94,11,39,9,32,50,8,16,9,23,124,5,15,42,41,25.2,92.7,22.1,34.7,4.6,34.6,43.0,17.8,12.5,9.6,19.9,116.3,7.8,12.6,0.5,25.9,90.2,21.3,33.3,6.3,34.5,42.0,17.0,11.1,10.6,21.5,112.1,7.0,15.4,44.2,45.1
CHARLOTTE_HORNETS,home,11_26,21,81,30,29,5,39,38,21,13,5,22,110,9,11,1,MILWAUKEE_BUCKS,25,90,21,46,5,38,37,17,16,10,22,107,7,14,44,48,24.4,91.7,23.8,34.6,4.4,34.7,41.6,18.7,12.8,8.9,20.4,114.7,8.4,12.2,0.5,26.2,91.1,21.9,35.3,6.6,36.0,42.2,17.3,11.7,11.3,21.7,113.4,6.7,15.5,43.6,47.3
CHARLOTTE_HORNETS,home,11_28,20,83,37,20,5,39,38,28,4,5,21,108,15,14,1,ATLANTA_HAWKS,20,93,22,44,8,38,32,19,11,16,25,94,11,19,44,54,23.7,90.8,25.7,33.5,4.5,35.1,40.9,20.5,11.9,8.6,20.9,114.2,9.0,11.5,0.5,26.0,91.9,22.3,36.7,6.5,36.8,41.3,17.8,12.2,12.2,22.4,112.6,6.5,15.2,43.7,49.0
CHARLOTTE_HORNETS,home,11_30,19,95,13,28,3,31,47,8,9,7,17,111,8,8,0,UTAH_JAZZ,32,81,18,40,5,35,44,13,18,6,13,119,5,14,38,41,23.1,89.3,23.0,32.3,4.3,34.7,41.3,18.3,11.2,7.9,19.3,112.1,8.8,11.9,0.5,25.9,90.6,20.0,37.0,5.5,35.7,41.2,16.0,12.8,11.5,20.4,111.2,6.7,15.0,42.6,47.2
CHARLOTTE_HORNETS,home,12_2,25,91,28,36,6,30,39,21,10,11,19,109,9,11,0,NEW_ORLEANS_PELICANS,30,86,24,32,5,41,44,20,11,9,25,119,6,17,41,50,23.2,89.9,24.0,33.1,4.1,33.7,40.9,18.8,11.1,8.4,18.6,111.7,9.1,11.8,0.4,26.8,88.8,20.5,35.8,5.6,36.9,41.8,16.5,12.7,10.2,21.1,112.8,6.8,15.7,42.1,47.1
CHARLOTTE_HORNETS,away,12_5,27,98,15,33,1,27,40,12,12,13,15,104,7,10,0,MINNESOTA_TIMBERWOLVES,34,89,20,24,11,40,48,13,12,10,15,121,6,15,40,50,23.7,90.2,23.6,32.3,3.8,33.9,41.6,18.5,11.5,8.5,19.0,113.2,8.6,11.9,0.4,27.9,89.2,21.3,35.8,6.4,36.3,42.1,16.8,12.6,9.8,20.6,113.6,6.9,15.3,42.4,46.1
CHARLOTTE_HORNETS,home,12_7,20,86,38,35,9,35,33,34,13,13,20,113,8,9,1,DENVER_NUGGETS,24,101,26,35,12,35,39,21,8,20,28,107,6,9,48,55,23.4,88.9,24.7,32.7,4.4,33.4,40.7,19.4,11.8,8.9,18.1,112.6,8.4,11.1,0.5,28.0,90.0,20.1,35.8,7.0,35.4,42.1,15.6,12.3,10.9,21.0,112.1,6.6,14.3,42.3,46.3
CHARLOTTE_HORNETS,away,12_9,19,87,27,34,4,36,42,23,12,6,17,119,11,12,1,NEW_YORK_KNICKS,28,93,7,26,2,33,44,6,13,8,25,107,5,17,42,41,23.5,88.7,25.2,32.0,4.5,33.4,40.6,20.1,11.5,8.7,18.2,112.8,9.0,11.0,0.5,27.7,90.4,19.0,35.2,6.6,35.4,42.0,14.9,12.7,10.9,21.3,111.6,6.2,14.8,42.1,46.3
CHARLOTTE_HORNETS,home,12_12,21,85,37,28,5,36,35,29,9,6,17,108,7,7,1,DETROIT_PISTONS,23,86,21,34,10,39,40,14,13,10,26,107,4,14,42,49,22.6,89.2,26.7,31.9,4.7,34.0,39.6,21.1,10.6,8.7,18.4,110.9,9.0,10.5,0.5,27.4,90.6,19.4,35.3,6.9,36.6,41.9,14.7,12.9,10.9,22.0,111.4,6.1,14.8,42.7,47.5
CHARLOTTE_HORNETS,home,12_14,38,102,10,48,5,42,48,8,20,9,23,124,7,16,0,NEW_YORK_KNICKS,27,98,31,34,8,37,47,20,12,9,16,126,11,10,51,46,24.0,90.0,26.3,33.6,4.7,34.7,40.1,20.7,12.0,8.5,18.6,112.9,8.9,10.8,0.5,27.7,91.1,20.1,35.4,7.5,36.8,42.5,15.1,13.0,10.7,21.8,113.1,6.6,14.4,43.2,47.5
CHARLOTTE_HORNETS,home,12_15,22,92,18,29,6,29,39,15,7,9,19,100,3,18,0,LOS_ANGELES_LAKERS,34,92,24,34,6,42,49,16,14,10,20,128,12,15,38,52,23.2,90.0,25.3,32.0,4.9,34.4,39.9,19.9,10.9,8.4,19.0,110.6,8.4,11.6,0.5,27.7,90.9,21.4,34.9,7.2,37.8,42.4,15.9,12.8,10.8,21.5,113.5,7.3,14.4,42.8,48.6
CHARLOTTE_HORNETS,home,12_19,24,92,9,25,5,38,47,6,10,13,14,110,4,12,1,CLEVELAND_CAVALIERS,24,85,12,23,6,31,41,7,10,4,18,99,8,7,51,35,23.5,91.1,23.2,31.6,4.9,34.3,40.8,18.4,10.6,9.2,18.2,110.6,7.9,11.7,0.5,27.6,90.4,20.5,32.6,7.3,37.1,42.8,14.9,12.2,10.2,21.1,112.7,7.4,13.7,43.5,47.3
CHARLOTTE_HORNETS,home,12_21,19,75,28,24,5,32,33,20,12,11,23,98,7,16,1,DETROIT_PISTONS,21,82,22,34,5,29,32,14,8,12,22,86,8,14,43,41,23.4,90.3,22.3,32.0,4.9,33.6,40.3,17.6,11.4,9.8,18.4,109.6,7.1,11.9,0.5,27.7,89.3,20.5,31.6,7.0,36.2,42.8,14.4,11.9,9.8,20.8,111.9,7.1,13.2,43.4,46.0
CHARLOTTE_HORNETS,away,12_23,24,88,26,32,5,28,38,19,8,9,17,103,9,9,0,BOSTON_CELTICS,30,86,25,39,4,36,43,20,13,11,22,119,8,14,37,47,23.9,89.6,23.6,32.4,5.1,33.3,39.4,18.7,11.3,10.0,18.4,108.8,7.2,12.0,0.5,27.5,89.8,21.2,31.5,6.9,36.3,42.7,15.1,11.4,10.3,21.7,111.9,7.4,13.2,43.3,46.6
CHARLOTTE_HORNETS,away,12_26,26,106,30,31,3,41,47,23,15,12,20,132,8,13,0,BROOKLYN_NETS,31,104,18,47,7,47,51,13,19,10,26,134,8,17,53,57,24.0,91.1,23.8,31.9,4.8,34.4,40.2,18.9,11.8,10.1,18.5,111.1,7.1,12.2,0.5,27.6,91.6,20.6,33.0,7.1,36.9,43.4,14.4,12.2,10.4,21.8,113.4,7.6,13.2,44.5,47.3
CHARLOTTE_HORNETS,home,12_28,19,100,10,33,8,37,41,7,11,12,22,100,4,8,1,BROOKLYN_NETS,15,83,20,27,10,39,33,17,4,9,20,87,4,14,49,48,23.2,91.3,23.3,31.9,5.5,35.4,40.3,18.4,11.7,10.0,19.2,110.7,6.8,12.0,0.6,25.7,91.0,20.6,33.3,7.0,36.8,41.9,14.8,11.4,10.3,22.3,110.0,7.4,13.1,45.4,47.1
CHARLOTTE_HORNETS,away,12_29,22,90,24,31,4,31,47,19,13,10,29,126,9,16,0,WASHINGTON_WIZARDS,35,93,24,37,6,33,48,21,13,9,18,130,8,12,41,42,23.4,91.7,21.9,31.5,5.0,35.0,41.7,16.9,11.7,9.7,20.1,112.0,6.9,12.7,0.5,26.8,90.2,20.4,33.5,6.4,36.6,42.8,14.8,11.9,9.2,21.3,112.3,7.6,13.4,44.7,45.8
CHARLOTTE_HORNETS,home,12_31,29,85,33,24,1,40,42,30,11,6,16,125,8,8,1,ORLANDO_MAGIC,22,92,19,35,5,35,38,14,10,13,21,100,6,11,46,48,24.4,91.5,22.5,30.5,4.7,35.4,41.7,17.6,11.6,9.7,20.0,112.6,6.6,12.3,0.5,26.2,90.1,21.6,34.4,6.7,36.8,42.2,15.6,11.6,9.7,20.9,111.6,7.7,12.8,45.1,46.5
CHARLOTTE_HORNETS,home,1_2,23,90,19,32,3,34,32,14,6,12,20,84,4,14,0,DALLAS_MAVERICKS,31,95,18,45,4,45,44,16,18,12,14,122,9,10,46,57,24.6,92.0,20.7,30.9,4.5,35.2,41.4,16.1,11.3,10.3,20.3,110.2,6.3,13.0,0.4,27.0,91.0,21.3,35.5,6.1,37.4,42.6,15.8,12.1,9.9,19.7,113.1,8.2,12.4,45.5,47.3
CHARLOTTE_HORNETS,away,1_5,22,82,26,29,4,35,39,21,11,12,18,110,7,17,0,DENVER_NUGGETS,30,102,20,39,6,29,47,15,14,17,19,123,10,7,47,46,23.0,90.0,22.3,29.0,4.4,34.5,40.5,17.4,10.4,10.6,19.8,108.8,6.3,13.1,0.4,27.3,91.4,20.2,36.0,5.9,36.6,42.6,15.3,12.3,10.7,20.0,112.8,8.1,12.1,45.1,47.3
CHARLOTTE_HORNETS,away,1_6,22,91,34,25,1,32,44,24,7,14,21,119,9,15,1,PHOENIX_SUNS,23,83,19,25,4,33,43,17,10,3,25,113,8,14,46,36,23.0,89.9,23.9,28.6,3.9,34.8,41.0,18.3,10.4,11.1,20.0,110.7,6.9,12.8,0.5,26.2,90.5,19.7,35.1,5.7,35.7,42.0,15.4,11.9,10.0,20.5,111.3,7.7,12.0,45.9,45.7
CHARLOTTE_HORNETS,away,1_8,20,90,29,33,5,33,36,25,12,10,20,109,5,11,0,LOS_ANGELES_CLIPPERS,28,93,21,30,11,38,48,18,14,7,24,128,6,10,43,45,22.6,89.7,25.9,29.4,3.9,34.3,39.9,20.2,10.6,10.8,20.6,110.6,7.0,12.7,0.4,26.6,91.3,20.6,35.8,6.2,36.4,42.7,16.5,12.3,10.3,21.1,114.2,7.5,12.3,45.1,46.7
CHARLOTTE_HORNETS,away,1_11,23,90,16,30,2,33,36,11,13,10,10,96,3,13,0,PORTLAND_TRAIL_BLAZERS,31,93,9,40,16,40,52,8,15,7,20,127,10,9,43,47,23.0,91.2,24.7,30.0,3.6,34.4,40.2,19.3,10.7,10.7,19.3,110.4,6.6,12.4,0.3,27.6,92.4,19.3,36.4,7.3,37.5,44.7,15.9,13.0,9.8,20.9,118.3,7.7,11.8,45.1,47.3
CHARLOTTE_HORNETS,away,1_12,21,88,22,36,11,43,36,13,12,13,17,97,6,18,0,SACRAMENTO_KINGS,27,99,12,37,5,37,41,8,14,12,21,104,8,11,56,49,22.7,91.2,24.3,30.4,4.2,35.9,40.0,18.7,11.1,11.1,19.3,109.8,6.3,13.3,0.3,27.3,93.7,18.0,36.2,7.4,37.6,44.5,14.7,13.1,9.9,20.8,116.8,7.7,11.5,47.0,47.5
CHARLOTTE_HORNETS,away,1_14,24,92,11,36,4,37,43,9,13,8,14,108,7,7,1,SAN_ANTONIO_SPURS,21,82,12,20,6,33,38,10,7,3,15,93,4,12,45,36,22.5,89.8,22.4,30.9,4.3,35.5,39.6,17.3,10.9,10.7,18.7,107.4,6.2,12.7,0.4,26.3,91.5,17.4,33.5,7.3,36.2,43.2,14.4,11.9,9.2,19.7,112.7,7.3,11.0,46.2,45.4
CHARLOTTE_HORNETS,home,1_17,21,87,29,38,4,34,39,25,11,12,16,114,11,13,1,SACRAMENTO_KINGS,28,88,13,33,3,31,39,6,11,11,22,95,7,17,46,42,22.7,88.5,24.3,31.4,3.9,35.2,39.4,19.1,10.9,10.7,18.1,108.8,6.9,13.2,0.4,27.6,92.0,16.7,34.1,6.6,35.4,43.8,13.3,12.6,9.4,19.9,113.5,7.6,11.3,45.9,44.8
CHARLOTTE_HORNETS,home,1_19,31,88,27,34,8,39,48,23,16,14,26,135,5,16,1,PHOENIX_SUNS,21,87,33,33,7,19,39,26,11,7,26,115,7,7,53,26,23.6,88.3,24.6,31.7,4.3,36.0,39.5,19.5,11.2,11.1,17.8,109.7,6.5,13.2,0.5,26.2,91.4,17.6,33.7,6.7,34.0,42.9,13.8,12.4,9.2,20.7,112.0,7.5,10.8,47.1,43.2
CHARLOTTE_HORNETS,away,1_20,20,82,25,35,6,37,33,17,12,7,14,95,5,16,0,INDIANA_PACERS,34,100,12,27,7,39,47,12,14,12,18,120,10,8,44,51,22.7,88.0,23.8,32.8,4.8,35.7,38.6,18.2,11.3,11.2,17.6,106.7,6.2,14.0,0.4,27.4,92.2,16.9,32.9,6.9,34.4,43.8,13.6,12.8,9.1,20.4,114.0,7.9,10.5,46.9,43.5
CHARLOTTE_HORNETS,away,1_23,23,77,31,30,2,32,41,24,12,5,19,118,8,9,1,MEMPHIS_GRIZZLIES,25,81,24,31,3,32,38,22,9,6,25,107,8,10,37,38,22.7,86.7,25.0,32.6,4.7,35.5,39.5,19.2,11.9,10.5,17.5,110.1,6.6,13.5,0.5,26.8,90.8,17.5,31.5,6.8,33.1,43.2,14.2,11.9,8.5,21.5,112.5,7.8,10.5,46.0,41.6
CHARLOTTE_HORNETS,away,1_25,20,90,25,39,2,41,36,17,10,12,19,99,4,17,0,MILWAUKEE_BUCKS,17,89,23,31,6,40,41,20,6,6,18,108,9,11,53,46,22.5,87.5,24.9,33.6,4.5,36.1,39.2,18.8,11.8,10.5,17.6,109.0,6.3,13.5,0.5,25.5,89.5,17.8,30.7,6.8,34.2,42.6,14.7,11.1,7.4,21.4,111.0,7.7,10.9,46.6,41.6
CHARLOTTE_HORNETS,home,1_28,25,94,16,34,10,38,39,12,11,13,20,101,4,10,1,NEW_YORK_KNICKS,19,85,26,23,6,38,34,17,7,8,15,92,6,8,51,46,22.8,87.8,23.1,34.5,5.4,36.7,38.7,17.6,12.2,10.4,17.5,107.2,5.8,13.0,0.5,25.1,89.7,18.5,30.5,7.0,34.7,41.7,14.7,10.8,7.9,20.4,108.9,7.5,10.3,47.1,42.6
CHARLOTTE_HORNETS,away,1_30,20,89,7,40,5,24,39,3,13,7,17,94,7,12,0,BOSTON_CELTICS,34,90,16,29,7,41,50,14,12,12,14,126,10,10,31,53,22.8,87.7,20.9,35.2,5.4,35.8,39.0,15.4,12.3,10.1,17.2,105.7,6.0,13.1,0.5,25.7,89.4,18.0,30.4,6.6,35.0,41.9,14.3,10.6,8.4,19.4,108.7,7.9,10.3,45.9,43.4
CHARLOTTE_HORNETS,home,2_1,15,73,28,29,7,34,32,24,12,6,17,100,6,12,1,MEMPHIS_GRIZZLIES,23,80,17,29,3,31,35,13,9,9,22,92,8,11,40,40,22.0,86.0,22.1,35.1,5.9,35.9,38.6,16.7,12.2,9.7,17.9,106.1,6.3,13.0,0.6,24.9,88.1,18.8,29.3,5.3,34.1,40.2,14.8,10.0,8.6,19.6,105.2,7.7,10.5,45.6,42.7
