name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
CHARLOTTE_HORNETS,home,10_17,21,92,22,38,9,32,41,14,16,9,19,112,8,11,0,MILWAUKEE_BUCKS,26,85,20,34,4,46,42,15,14,11,25,113,5,21,41,57
CHARLOTTE_HORNETS,away,10_19,32,92,20,38,4,43,43,17,17,12,17,120,6,15,1,ORLANDO_MAGIC,18,94,14,31,7,32,36,10,6,12,16,88,8,15,55,44
CHARLOTTE_HORNETS,away,10_20,23,93,23,42,12,28,41,15,16,12,27,113,6,11,1,MIAMI_HEAT,21,89,27,34,11,37,41,19,11,12,27,112,4,15,40,49
CHARLOTTE_HORNETS,away,10_22,21,97,18,28,5,27,41,15,9,14,14,106,5,12,0,TORONTO_RAPTORS,36,87,14,39,8,41,50,12,15,5,21,127,10,13,41,46
CHARLOTTE_HORNETS,away,10_24,23,85,29,35,5,28,37,26,10,8,20,110,5,6,0,CHICAGO_BULLS,21,77,35,29,5,36,37,28,10,9,24,112,4,14,36,45
CHARLOTTE_HORNETS,home,10_26,30,93,16,32,10,39,53,15,14,11,18,135,10,10,1,CHICAGO_BULLS,21,85,22,36,7,26,37,16,16,8,16,106,5,13,50,34
CHARLOTTE_HORNETS,away,10_27,19,95,24,35,8,39,37,20,9,9,25,103,3,9,0,PHILADELPHIA_76ERS,18,91,30,28,8,42,35,25,10,14,23,105,4,11,48,56
CHARLOTTE_HORNETS,home,10_30,27,81,29,28,5,31,44,24,13,8,26,125,7,14,1,MIAMI_HEAT,25,87,24,28,5,24,41,20,11,10,26,113,9,15,39,34
CHARLOTTE_HORNETS,home,11_1,26,93,22,41,3,40,38,20,11,11,26,107,7,17,0,OKLAHOMA_CITY_THUNDER,20,96,29,37,9,35,41,21,8,14,21,111,12,10,51,49
CHARLOTTE_HORNETS,home,11_3,29,91,13,30,7,38,52,12,10,12,17,126,3,15,1,CLEVELAND_CAVALIERS,22,81,15,26,2,23,35,14,10,3,20,94,10,13,50,26
CHARLOTTE_HORNETS,home,11_6,27,92,18,31,4,35,45,10,13,8,16,113,9,21,1,ATLANTA_HAWKS,22,85,18,30,9,30,41,14,6,7,18,102,13,22,43,37
CHARLOTTE_HORNETS,away,11_9,25,110,40,40,5,35,43,30,16,14,33,132,10,4,0,PHILADELPHIA_76ERS,33,94,41,37,15,46,45,31,12,13,33,133,3,16,49,59
CHARLOTTE_HORNETS,away,11_11,24,85,18,28,8,40,43,16,11,6,26,113,6,12,1,DETROIT_PISTONS,21,104,19,44,4,29,38,15,12,22,18,103,5,10,46,51
CHARLOTTE_HORNETS,away,11_13,22,95,19,41,4,25,33,15,8,12,11,89,12,9,0,CLEVELAND_CAVALIERS,23,85,12,24,3,46,45,10,13,14,20,113,5,19,37,60
CHARLOTTE_HORNETS,home,11_17,23,99,27,31,3,40,42,25,10,9,29,119,10,17,0,PHILADELPHIA_76ERS,23,93,38,35,6,44,39,33,11,9,24,122,9,19,49,53
CHARLOTTE_HORNETS,home,11_19,18,89,22,41,3,36,43,16,15,8,16,117,5,13,1,BOSTON_CELTICS,31,89,18,32,6,33,45,13,9,8,22,112,9,12,44,41
CHARLOTTE_HORNETS,home,11_21,30,80,22,29,3,30,45,19,18,6,15,127,7,12,1,INDIANA_PACERS,26,84,17,33,7,27,41,16,11,10,19,109,5,14,36,37
CHARLOTTE_HORNETS,away,11_23,24,94,14,31,5,35,43,12,6,11,21,104,8,13,0,OKLAHOMA_CITY_THUNDER,24,93,24,33,2,35,41,16,11,11,18,109,6,14,46,46
CHARLOTTE_HORNETS,away,11_25,30,92,28,45,4,32,41,23,18,10,15,123,8,10,0,ATLANTA_HAWKS,34,94,11,39,9,32,50,8,16,9,23,124,5,15,42,41
CHARLOTTE_HORNETS,home,11_26,21,81,30,29,5,39,38,21,13,5,22,110,9,11,1,MILWAUKEE_BUCKS,25,90,21,46,5,38,37,17,16,10,22,107,7,14,44,48
CHARLOTTE_HORNETS,home,11_28,20,83,37,20,5,39,38,28,4,5,21,108,15,14,1,ATLANTA_HAWKS,20,93,22,44,8,38,32,19,11,16,25,94,11,19,44,54
CHARLOTTE_HORNETS,home,11_30,19,95,13,28,3,31,47,8,9,7,17,111,8,8,0,UTAH_JAZZ,32,81,18,40,5,35,44,13,18,6,13,119,5,14,38,41
CHARLOTTE_HORNETS,home,12_2,25,91,28,36,6,30,39,21,10,11,19,109,9,11,0,NEW_ORLEANS_PELICANS,30,86,24,32,5,41,44,20,11,9,25,119,6,17,41,50
CHARLOTTE_HORNETS,away,12_5,27,98,15,33,1,27,40,12,12,13,15,104,7,10,0,MINNESOTA_TIMBERWOLVES,34,89,20,24,11,40,48,13,12,10,15,121,6,15,40,50
CHARLOTTE_HORNETS,home,12_7,20,86,38,35,9,35,33,34,13,13,20,113,8,9,1,DENVER_NUGGETS,24,101,26,35,12,35,39,21,8,20,28,107,6,9,48,55
CHARLOTTE_HORNETS,away,12_9,19,87,27,34,4,36,42,23,12,6,17,119,11,12,1,NEW_YORK_KNICKS,28,93,7,26,2,33,44,6,13,8,25,107,5,17,42,41
CHARLOTTE_HORNETS,home,12_12,21,85,37,28,5,36,35,29,9,6,17,108,7,7,1,DETROIT_PISTONS,23,86,21,34,10,39,40,14,13,10,26,107,4,14,42,49
CHARLOTTE_HORNETS,home,12_14,38,102,10,48,5,42,48,8,20,9,23,124,7,16,0,NEW_YORK_KNICKS,27,98,31,34,8,37,47,20,12,9,16,126,11,10,51,46
CHARLOTTE_HORNETS,home,12_15,22,92,18,29,6,29,39,15,7,9,19,100,3,18,0,LOS_ANGELES_LAKERS,34,92,24,34,6,42,49,16,14,10,20,128,12,15,38,52
CHARLOTTE_HORNETS,home,12_19,24,92,9,25,5,38,47,6,10,13,14,110,4,12,1,CLEVELAND_CAVALIERS,24,85,12,23,6,31,41,7,10,4,18,99,8,7,51,35
CHARLOTTE_HORNETS,home,12_21,19,75,28,24,5,32,33,20,12,11,23,98,7,16,1,DETROIT_PISTONS,21,82,22,34,5,29,32,14,8,12,22,86,8,14,43,41
CHARLOTTE_HORNETS,away,12_23,24,88,26,32,5,28,38,19,8,9,17,103,9,9,0,BOSTON_CELTICS,30,86,25,39,4,36,43,20,13,11,22,119,8,14,37,47
CHARLOTTE_HORNETS,away,12_26,26,106,30,31,3,41,47,23,15,12,20,132,8,13,0,BROOKLYN_NETS,31,104,18,47,7,47,51,13,19,10,26,134,8,17,53,57
CHARLOTTE_HORNETS,home,12_28,19,100,10,33,8,37,41,7,11,12,22,100,4,8,1,BROOKLYN_NETS,15,83,20,27,10,39,33,17,4,9,20,87,4,14,49,48
CHARLOTTE_HORNETS,away,12_29,22,90,24,31,4,31,47,19,13,10,29,126,9,16,0,WASHINGTON_WIZARDS,35,93,24,37,6,33,48,21,13,9,18,130,8,12,41,42
CHARLOTTE_HORNETS,home,12_31,29,85,33,24,1,40,42,30,11,6,16,125,8,8,1,ORLANDO_MAGIC,22,92,19,35,5,35,38,14,10,13,21,100,6,11,46,48
CHARLOTTE_HORNETS,home,1_2,23,90,19,32,3,34,32,14,6,12,20,84,4,14,0,DALLAS_MAVERICKS,31,95,18,45,4,45,44,16,18,12,14,122,9,10,46,57
CHARLOTTE_HORNETS,away,1_5,22,82,26,29,4,35,39,21,11,12,18,110,7,17,0,DENVER_NUGGETS,30,102,20,39,6,29,47,15,14,17,19,123,10,7,47,46
CHARLOTTE_HORNETS,away,1_6,22,91,34,25,1,32,44,24,7,14,21,119,9,15,1,PHOENIX_SUNS,23,83,19,25,4,33,43,17,10,3,25,113,8,14,46,36
CHARLOTTE_HORNETS,away,1_8,20,90,29,33,5,33,36,25,12,10,20,109,5,11,0,LOS_ANGELES_CLIPPERS,28,93,21,30,11,38,48,18,14,7,24,128,6,10,43,45
CHARLOTTE_HORNETS,away,1_11,23,90,16,30,2,33,36,11,13,10,10,96,3,13,0,PORTLAND_TRAIL_BLAZERS,31,93,9,40,16,40,52,8,15,7,20,127,10,9,43,47
CHARLOTTE_HORNETS,away,1_12,21,88,22,36,11,43,36,13,12,13,17,97,6,18,0,SACRAMENTO_KINGS,27,99,12,37,5,37,41,8,14,12,21,104,8,11,56,49
CHARLOTTE_HORNETS,away,1_14,24,92,11,36,4,37,43,9,13,8,14,108,7,7,1,SAN_ANTONIO_SPURS,21,82,12,20,6,33,38,10,7,3,15,93,4,12,45,36
CHARLOTTE_HORNETS,home,1_17,21,87,29,38,4,34,39,25,11,12,16,114,11,13,1,SACRAMENTO_KINGS,28,88,13,33,3,31,39,6,11,11,22,95,7,17,46,42
CHARLOTTE_HORNETS,home,1_19,31,88,27,34,8,39,48,23,16,14,26,135,5,16,1,PHOENIX_SUNS,21,87,33,33,7,19,39,26,11,7,26,115,7,7,53,26
CHARLOTTE_HORNETS,away,1_20,20,82,25,35,6,37,33,17,12,7,14,95,5,16,0,INDIANA_PACERS,34,100,12,27,7,39,47,12,14,12,18,120,10,8,44,51
CHARLOTTE_HORNETS,away,1_23,23,77,31,30,2,32,41,24,12,5,19,118,8,9,1,MEMPHIS_GRIZZLIES,25,81,24,31,3,32,38,22,9,6,25,107,8,10,37,38
CHARLOTTE_HORNETS,away,1_25,20,90,25,39,2,41,36,17,10,12,19,99,4,17,0,MILWAUKEE_BUCKS,17,89,23,31,6,40,41,20,6,6,18,108,9,11,53,46
CHARLOTTE_HORNETS,home,1_28,25,94,16,34,10,38,39,12,11,13,20,101,4,10,1,NEW_YORK_KNICKS,19,85,26,23,6,38,34,17,7,8,15,92,6,8,51,46
CHARLOTTE_HORNETS,away,1_30,20,89,7,40,5,24,39,3,13,7,17,94,7,12,0,BOSTON_CELTICS,34,90,16,29,7,41,50,14,12,12,14,126,10,10,31,53
CHARLOTTE_HORNETS,home,2_1,15,73,28,29,7,34,32,24,12,6,17,100,6,12,1,MEMPHIS_GRIZZLIES,23,80,17,29,3,31,35,13,9,9,22,92,8,11,40,40
CHARLOTTE_HORNETS,home,2_2,25,82,29,32,2,27,43,25,14,9,21,125,6,6,1,CHICAGO_BULLS,20,81,25,24,2,31,42,25,9,8,20,118,4,10,36,39
CHARLOTTE_HORNETS,home,2_5,19,93,26,42,9,33,39,22,15,11,19,115,8,5,0,LOS_ANGELES_CLIPPERS,25,87,17,24,6,40,42,15,18,8,24,117,1,11,44,48
CHARLOTTE_HORNETS,away,2_6,17,89,17,37,9,39,36,12,9,8,17,93,9,14,0,DALLAS_MAVERICKS,25,94,17,36,5,42,38,12,11,15,12,99,8,13,47,57
CHARLOTTE_HORNETS,away,2_9,30,88,18,42,7,27,48,14,19,10,17,129,12,13,1,ATLANTA_HAWKS,26,86,19,33,3,26,46,14,14,10,18,120,10,18,37,36
CHARLOTTE_HORNETS,away,2_11,15,90,33,40,2,30,29,25,7,21,15,90,7,5,0,INDIANA_PACERS,25,74,17,25,3,34,38,15,8,5,22,99,3,12,51,39
CHARLOTTE_HORNETS,away,2_14,18,94,26,31,4,32,33,19,4,13,19,89,6,8,0,ORLANDO_MAGIC,32,92,18,39,6,42,48,14,17,8,15,127,6,7,45,50
CHARLOTTE_HORNETS,home,2_22,26,96,22,33,6,42,46,18,13,11,20,123,7,13,1,WASHINGTON_WIZARDS,24,97,18,39,6,32,42,16,10,11,20,110,6,13,53,43
CHARLOTTE_HORNETS,home,2_23,15,86,30,35,5,30,39,25,12,12,23,115,4,12,0,BROOKLYN_NETS,23,87,26,43,6,31,40,20,17,11,26,117,5,12,42,42
CHARLOTTE_HORNETS,home,2_25,23,91,26,33,6,29,40,23,7,9,11,110,13,12,0,GOLDEN_STATE_WARRIORS,35,95,13,41,8,36,48,11,14,13,18,121,9,15,38,49
CHARLOTTE_HORNETS,home,2_27,25,83,27,33,5,40,39,23,12,8,22,113,9,18,0,HOUSTON_ROCKETS,23,91,24,39,3,30,42,21,13,7,22,118,11,10,48,37
CHARLOTTE_HORNETS,away,3_1,24,94,17,21,4,30,50,14,9,10,25,123,6,13,1,BROOKLYN_NETS,27,86,18,32,5,30,44,14,10,7,19,112,2,15,40,37
CHARLOTTE_HORNETS,home,3_3,25,83,23,33,5,31,37,20,14,4,21,108,7,12,0,PORTLAND_TRAIL_BLAZERS,26,96,23,32,3,35,43,21,11,13,23,118,9,11,35,48
CHARLOTTE_HORNETS,home,3_6,22,82,15,36,4,30,30,10,14,10,19,84,7,19,0,MIAMI_HEAT,19,90,11,26,7,34,38,6,9,17,16,91,10,18,40,51
CHARLOTTE_HORNETS,home,3_8,24,96,20,41,8,34,40,18,14,18,18,112,7,12,1,WASHINGTON_WIZARDS,28,86,26,27,5,33,40,22,9,13,19,111,8,14,52,46
CHARLOTTE_HORNETS,away,3_9,25,93,14,39,2,29,44,11,15,6,24,114,4,12,0,MILWAUKEE_BUCKS,27,90,30,44,2,41,44,26,17,14,17,131,9,12,35,55
CHARLOTTE_HORNETS,away,3_11,23,89,15,41,4,32,38,14,16,7,20,106,4,11,0,HOUSTON_ROCKETS,25,91,27,43,4,43,38,25,17,12,17,118,7,14,39,55
CHARLOTTE_HORNETS,away,3_15,18,101,12,31,7,31,46,10,14,15,17,116,11,12,1,WASHINGTON_WIZARDS,25,84,19,34,5,37,41,15,13,8,14,110,8,17,46,45
CHARLOTTE_HORNETS,away,3_17,11,83,18,36,5,33,26,16,7,11,19,75,6,12,0,MIAMI_HEAT,25,86,19,33,7,40,34,12,13,15,21,93,6,11,44,55
CHARLOTTE_HORNETS,home,3_19,16,83,44,35,2,36,36,33,9,10,22,114,3,9,0,PHILADELPHIA_76ERS,29,86,28,32,4,38,43,21,11,6,27,118,5,7,46,44
CHARLOTTE_HORNETS,home,3_21,26,100,24,29,6,40,43,18,9,15,24,113,5,10,1,MINNESOTA_TIMBERWOLVES,23,88,29,28,7,40,39,18,10,9,21,106,6,13,55,49
CHARLOTTE_HORNETS,home,3_23,26,95,28,38,5,39,42,22,18,14,15,124,7,11,1,BOSTON_CELTICS,31,93,15,43,8,35,44,10,19,7,23,117,6,10,53,42
CHARLOTTE_HORNETS,away,3_24,32,93,17,41,3,25,41,15,18,14,17,115,12,7,1,TORONTO_RAPTORS,29,77,13,26,11,32,45,13,11,3,17,114,6,13,39,35
CHARLOTTE_HORNETS,home,3_26,30,100,28,42,5,40,46,20,13,5,18,125,9,6,1,SAN_ANTONIO_SPURS,24,108,21,39,5,43,44,15,13,17,21,116,4,12,45,60
CHARLOTTE_HORNETS,away,3_29,26,88,17,39,2,29,42,16,15,8,14,115,8,13,0,LOS_ANGELES_LAKERS,34,91,12,38,2,33,51,9,18,11,17,129,8,14,37,44
CHARLOTTE_HORNETS,away,3_31,24,85,25,32,4,21,30,22,8,7,11,90,8,11,0,GOLDEN_STATE_WARRIORS,41,88,12,33,10,40,53,10,21,10,19,137,7,15,28,50
CHARLOTTE_HORNETS,away,4_1,15,90,29,30,2,34,36,23,7,10,20,102,12,11,0,UTAH_JAZZ,30,79,26,35,3,42,38,20,15,5,25,111,7,17,44,47
CHARLOTTE_HORNETS,away,4_3,19,90,32,34,5,37,38,27,12,11,15,115,13,11,1,NEW_ORLEANS_PELICANS,25,85,17,41,4,41,40,14,15,7,27,109,7,19,48,48
CHARLOTTE_HORNETS,home,4_5,28,94,14,39,2,32,44,12,13,8,17,113,6,6,1,TORONTO_RAPTORS,27,80,20,26,5,38,43,16,9,5,17,111,2,14,40,43
CHARLOTTE_HORNETS,away,4_7,23,88,23,31,3,36,38,18,10,8,13,104,5,5,1,DETROIT_PISTONS,20,92,15,41,7,37,34,13,10,18,18,91,3,9,44,55
CHARLOTTE_HORNETS,away,4_9,35,78,17,44,7,32,45,12,22,5,13,124,8,10,1,CLEVELAND_CAVALIERS,24,89,8,30,2,27,40,6,11,14,18,97,3,14,37,41
CHARLOTTE_HORNETS,home,4_10,21,78,27,29,4,28,41,24,8,4,14,114,3,8,0,ORLANDO_MAGIC,24,88,20,30,2,30,48,15,11,9,19,122,5,6,32,39
