name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
CHICAGO_BULLS,away,10_18,28,101,12,33,6,34,44,9,11,5,23,108,4,12,0,PHILADELPHIA_76ERS,30,93,30,36,8,44,44,27,12,11,17,127,10,13,39,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,10_20,26,87,26,21,3,36,44,21,7,5,20,116,4,11,0,DETROIT_PISTONS,21,101,23,40,4,31,41,18,18,18,23,118,4,9,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,away,10_22,18,80,21,23,4,27,41,14,13,7,29,109,6,19,0,DALLAS_MAVERICKS,25,93,21,47,2,28,40,20,15,13,16,115,8,15,34,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,10_24,21,77,35,29,5,36,37,28,10,9,24,112,4,14,1,CHARLOTTE_HORNETS,23,85,29,35,5,28,37,26,10,8,20,110,5,6,45,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,away,10_26,21,85,22,36,7,26,37,16,16,8,16,106,5,13,0,CHARLOTTE_HORNETS,30,93,16,32,10,39,53,15,14,11,18,135,10,10,34,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,away,10_27,25,83,16,33,6,44,36,13,12,8,21,97,14,20,1,ATLANTA_HAWKS,20,84,23,40,8,37,27,19,12,11,13,85,9,22,52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,10_29,25,94,34,35,3,32,46,21,11,12,19,124,6,9,0,GOLDEN_STATE_WARRIORS,34,96,26,45,7,41,53,19,24,8,29,149,9,7,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,10_31,27,92,18,34,6,33,39,13,16,10,23,107,7,13,0,DENVER_NUGGETS,24,99,18,26,9,39,45,11,7,17,16,108,7,16,43,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,11_2,33,89,9,31,7,32,42,8,13,11,20,105,2,14,0,INDIANA_PACERS,21,85,22,26,9,33,40,20,7,9,13,107,8,11,43,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHICAGO_BULLS,home,11_3,15,71,27,23,4,33,28,26,6,4,18,88,13,19,0,HOUSTON_ROCKETS,21,83,20,42,5,35,35,13,13,10,22,96,13,18,37,45,23.9,85.9,22.0,29.8,5.1,33.3,39.4,16.9,11.5,7.9,21.3,107.2,6.5,14.4,0.2,24.9,91.2,22.8,36.9,6.7,35.5,41.5,18.8,13.2,11.6,18.7,115.0,8.3,12.7,41.2,47.1
CHICAGO_BULLS,away,11_5,15,95,30,30,9,37,43,22,8,11,22,116,9,19,1,NEW_YORK_KNICKS,20,106,29,26,6,41,41,26,7,21,27,115,7,17,48,62,22.6,85.3,23.8,29.5,5.4,33.6,39.3,18.2,11.2,8.5,21.2,108.0,7.0,15.1,0.3,23.9,92.5,22.7,35.9,6.5,35.2,41.2,18.7,12.7,12.6,19.7,113.8,8.0,13.1,42.1,47.8
CHICAGO_BULLS,away,11_7,18,96,17,31,7,39,38,13,9,7,16,98,9,11,0,NEW_ORLEANS_PELICANS,32,94,17,30,10,44,42,12,11,11,18,107,5,15,46,55,21.8,86.2,22.9,30.5,5.8,33.9,38.7,17.4,11.4,8.7,20.8,106.2,7.5,15.1,0.3,25.0,91.8,22.1,34.9,7.1,36.5,41.3,18.1,12.0,11.9,19.2,112.7,8.1,13.7,42.6,48.4
CHICAGO_BULLS,home,11_10,20,82,21,18,5,33,39,14,7,5,19,99,7,11,1,CLEVELAND_CAVALIERS,15,91,18,21,6,38,39,12,8,15,17,98,5,12,38,53,22.0,86.4,22.9,30.0,5.9,34.5,38.5,17.4,10.8,8.5,19.8,105.2,7.6,14.3,0.4,24.0,91.6,21.8,32.3,7.5,37.5,41.2,17.3,11.3,12.1,19.3,111.0,7.8,13.4,43.0,49.6
CHICAGO_BULLS,home,11_12,16,89,22,33,3,37,35,20,8,8,26,98,11,17,0,DALLAS_MAVERICKS,18,79,29,33,7,42,37,19,10,7,22,103,11,19,45,49,21.5,87.6,21.6,30.4,5.7,34.6,38.3,16.6,10.6,8.4,20.0,103.8,8.3,14.6,0.3,23.5,91.0,21.8,32.1,7.7,38.9,41.2,16.6,11.3,12.0,19.5,110.3,8.4,14.7,43.0,50.9
CHICAGO_BULLS,away,11_14,16,84,9,23,3,40,33,9,7,7,16,82,8,22,0,BOSTON_CELTICS,27,90,14,34,5,43,42,12,15,8,12,111,12,13,47,51,21.0,87.5,20.3,29.1,5.3,36.0,37.9,15.9,9.7,8.3,20.0,101.4,8.6,15.5,0.3,23.2,90.7,21.6,32.3,7.2,39.3,40.1,16.3,11.4,11.7,18.9,107.9,8.6,15.0,44.3,51.0
CHICAGO_BULLS,away,11_16,22,94,13,33,3,32,41,9,13,4,15,104,8,12,0,MILWAUKEE_BUCKS,28,93,17,43,8,44,47,11,18,11,14,123,8,16,36,55,20.7,88.6,20.0,29.1,5.0,34.8,38.4,15.5,9.8,7.9,19.4,102.1,8.0,14.7,0.2,24.0,91.6,21.0,32.6,7.2,40.0,42.1,15.5,12.0,11.7,19.0,111.7,8.5,14.4,42.7,51.7
CHICAGO_BULLS,home,11_17,21,86,21,27,3,27,30,15,8,7,19,83,13,22,0,TORONTO_RAPTORS,31,89,13,35,10,46,48,12,14,8,24,122,14,23,34,54,20.3,87.8,18.7,28.3,5.0,34.3,36.8,14.9,9.5,7.4,19.4,98.0,8.7,16.0,0.2,23.7,90.9,19.7,31.6,7.5,40.5,41.6,14.8,11.0,11.7,18.5,109.0,9.0,16.0,41.7,52.2
CHICAGO_BULLS,home,11_21,28,81,24,25,2,35,46,21,11,4,19,124,8,17,1,PHOENIX_SUNS,28,98,10,34,5,30,48,10,10,6,20,116,9,13,39,36,20.4,86.7,19.3,27.4,4.6,34.5,37.5,15.7,9.0,6.8,19.0,99.7,8.8,16.4,0.3,24.1,90.8,18.9,32.4,7.1,39.6,41.9,14.7,11.3,10.6,18.9,109.8,9.2,15.7,41.3,50.2
CHICAGO_BULLS,home,11_23,23,94,20,28,6,40,35,19,7,11,23,96,8,17,0,MIAMI_HEAT,20,87,31,34,11,38,37,19,10,10,21,103,10,14,51,48,19.4,87.2,20.4,27.1,4.5,35.3,36.8,16.8,8.4,6.8,19.3,98.8,9.4,16.7,0.3,24.0,91.0,19.8,33.2,7.3,40.1,41.6,14.6,11.6,10.7,19.7,109.4,9.4,16.0,42.1,50.8
