name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
DALLAS_MAVERICKS,away,10_17,28,88,20,33,5,28,38,14,10,10,16,100,7,9,0,PHOENIX_SUNS,35,81,16,34,2,38,44,14,19,6,22,121,5,11,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,10_20,29,98,34,50,8,27,49,25,17,15,28,140,8,16,1,MINNESOTA_TIMBERWOLVES,23,84,40,27,3,27,44,34,14,6,30,136,10,17,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,10_22,25,93,21,47,2,28,40,20,15,13,16,115,8,15,1,CHICAGO_BULLS,18,80,21,23,4,27,41,14,13,7,29,109,6,19,41,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,10_24,25,91,26,40,9,43,38,16,12,9,27,104,7,17,0,ATLANTA_HAWKS,28,91,31,38,6,44,37,22,15,10,26,111,6,15,52,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,10_26,22,92,24,30,6,34,38,19,12,10,17,107,6,14,0,TORONTO_RAPTORS,23,91,20,27,5,38,44,17,11,12,22,116,10,12,44,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,10_28,24,91,25,28,3,31,38,19,9,12,19,104,6,13,0,UTAH_JAZZ,25,80,22,25,6,35,42,19,10,8,27,113,8,18,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,10_29,15,91,17,34,3,41,43,12,10,8,21,108,9,22,0,SAN_ANTONIO_SPURS,27,91,21,20,2,36,42,20,9,5,19,113,17,17,49,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,away,10_31,24,86,19,29,5,30,43,14,13,10,24,113,5,23,0,LOS_ANGELES_LAKERS,23,84,24,17,6,31,43,18,10,8,27,114,12,20,40,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,11_2,22,81,24,29,1,29,40,15,11,11,28,106,6,18,0,NEW_YORK_KNICKS,26,84,26,29,4,30,46,19,7,10,24,118,13,12,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALLAS_MAVERICKS,home,11_6,25,82,27,34,6,40,39,26,15,10,22,119,4,17,1,WASHINGTON_WIZARDS,27,87,20,35,6,27,37,15,11,5,24,100,8,10,50,32,23.9,89.3,23.7,35.4,4.8,33.1,40.6,18.0,12.4,10.8,21.8,111.6,6.6,16.4,0.3,25.5,85.3,24.1,27.5,4.4,33.3,42.0,19.2,11.9,7.7,25.0,115.1,9.5,15.1,43.9,41.0
DALLAS_MAVERICKS,away,11_7,14,73,40,24,4,37,29,36,8,12,27,102,3,24,0,UTAH_JAZZ,31,89,26,37,10,27,43,18,13,8,32,117,12,11,49,35,22.5,87.8,25.7,34.5,4.7,34.0,39.7,20.2,12.2,11.0,22.9,111.8,6.2,17.9,0.3,25.1,86.1,25.1,27.8,5.2,32.2,41.9,19.6,11.3,7.9,26.0,114.7,10.2,15.1,45.0,40.1
DALLAS_MAVERICKS,home,11_10,31,77,17,29,5,34,43,11,14,4,23,111,9,16,1,OKLAHOMA_CITY_THUNDER,17,97,18,34,2,27,38,11,9,26,19,96,9,16,38,53,22.7,85.7,24.0,32.4,4.4,34.7,39.1,18.8,11.9,9.9,22.4,108.9,6.3,17.9,0.3,24.5,87.4,22.9,28.5,5.1,32.2,41.3,17.3,10.8,9.9,24.9,110.7,10.1,15.0,44.6,42.1
DALLAS_MAVERICKS,away,11_12,18,79,29,33,7,42,37,19,10,7,22,103,11,19,1,CHICAGO_BULLS,16,89,22,33,3,37,35,20,8,8,26,98,11,17,49,45,22.0,84.3,24.8,31.0,4.9,36.1,38.8,18.7,11.4,9.3,23.0,107.7,6.6,18.3,0.3,24.3,88.3,23.0,29.5,5.0,33.2,40.7,17.9,10.3,10.0,24.6,109.6,10.6,14.8,45.4,43.2
DALLAS_MAVERICKS,home,11_14,24,77,24,28,6,44,45,16,12,7,19,118,12,19,1,UTAH_JAZZ,16,81,19,35,3,25,25,12,6,8,21,68,11,21,51,33,21.9,82.9,24.6,29.8,4.6,36.2,39.5,18.7,11.4,9.1,22.2,109.1,7.1,18.5,0.4,23.1,87.3,21.8,29.2,4.7,31.3,39.5,16.9,9.4,9.8,24.1,105.3,11.1,15.4,45.3,41.1
DALLAS_MAVERICKS,home,11_17,18,86,34,34,5,38,40,22,10,8,18,112,6,10,1,GOLDEN_STATE_WARRIORS,24,94,17,33,6,35,42,16,9,12,27,109,6,12,46,47,21.5,82.3,25.6,30.2,4.5,36.6,39.7,19.0,11.2,8.9,22.3,109.6,7.1,18.1,0.5,23.2,87.6,21.5,29.8,4.8,31.0,39.3,16.8,9.2,9.8,24.6,104.6,10.7,15.4,45.5,40.8
DALLAS_MAVERICKS,away,11_19,17,88,21,32,4,36,30,18,10,7,19,88,8,9,0,MEMPHIS_GRIZZLIES,29,79,14,30,11,40,37,12,12,5,21,98,8,15,43,45,20.8,82.0,25.2,30.6,4.6,37.1,38.9,18.9,11.3,8.4,22.3,108.0,7.3,17.7,0.5,23.6,87.5,20.7,30.3,5.3,31.5,38.8,16.1,9.4,9.5,24.0,103.1,10.7,15.1,45.5,41.0
