name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
DENVER_NUGGETS,away,10_17,20,87,42,24,9,42,33,33,8,14,22,107,6,10,1,LOS_ANGELES_CLIPPERS,21,88,24,28,9,38,35,20,8,9,32,98,3,12,56,47
DENVER_NUGGETS,home,10_20,28,85,29,28,6,45,43,24,9,9,31,119,12,18,1,PHOENIX_SUNS,20,77,35,39,4,30,29,22,11,10,26,91,6,19,54,40
DENVER_NUGGETS,home,10_21,21,86,42,32,4,34,35,24,6,13,22,100,11,8,1,GOLDEN_STATE_WARRIORS,22,79,24,29,6,34,36,19,7,6,29,98,4,18,47,40
DENVER_NUGGETS,home,10_23,31,99,15,30,3,34,51,13,11,15,22,126,11,12,1,SACRAMENTO_KINGS,29,86,20,31,6,30,45,9,13,9,17,112,7,16,49,39
DENVER_NUGGETS,away,10_25,22,92,20,23,5,34,46,16,6,10,22,114,8,19,0,LOS_ANGELES_LAKERS,27,92,23,29,3,33,46,19,10,9,19,121,13,13,44,42
DENVER_NUGGETS,home,10_29,28,93,23,35,5,32,42,21,11,9,17,116,14,13,1,NEW_ORLEANS_PELICANS,28,82,20,24,5,37,43,14,11,7,25,111,8,22,41,44
DENVER_NUGGETS,away,10_31,24,99,18,26,9,39,45,11,7,17,16,108,7,16,1,CHICAGO_BULLS,27,92,18,34,6,33,39,13,16,10,23,107,7,13,56,43
DENVER_NUGGETS,away,11_1,22,85,21,26,7,30,41,18,10,14,18,110,8,12,1,CLEVELAND_CAVALIERS,18,83,19,18,4,22,34,18,5,13,22,91,11,13,44,35
DENVER_NUGGETS,home,11_3,32,83,19,28,0,40,41,12,9,8,26,103,8,17,1,UTAH_JAZZ,22,81,24,31,7,30,33,16,6,10,21,88,12,12,48,40
DENVER_NUGGETS,home,11_5,25,90,28,34,4,32,41,20,13,15,14,115,5,13,1,BOSTON_CELTICS,22,87,12,31,9,33,44,10,9,7,21,107,9,12,47,40
DENVER_NUGGETS,away,11_7,19,82,19,32,3,28,32,15,8,13,22,87,9,16,0,MEMPHIS_GRIZZLIES,19,70,25,21,7,28,30,21,8,8,22,89,7,17,41,36
DENVER_NUGGETS,home,11_9,20,87,34,18,5,39,40,25,5,15,28,110,3,12,0,BROOKLYN_NETS,21,88,42,33,9,30,36,28,12,12,24,112,7,8,54,42
DENVER_NUGGETS,home,11_11,27,89,20,38,5,29,41,14,18,10,16,114,8,10,0,MILWAUKEE_BUCKS,27,84,13,34,7,36,48,8,17,5,17,121,10,12,39,41
DENVER_NUGGETS,home,11_13,27,76,16,25,2,24,38,12,11,7,20,99,11,16,0,HOUSTON_ROCKETS,23,71,26,37,6,26,39,18,13,6,20,109,7,14,31,32
DENVER_NUGGETS,home,11_15,34,94,25,31,6,45,53,19,13,11,24,138,12,15,1,ATLANTA_HAWKS,20,92,27,42,5,28,32,20,9,15,22,93,7,19,56,43
DENVER_NUGGETS,away,11_17,30,95,13,39,6,33,46,8,15,10,23,115,5,13,0,NEW_ORLEANS_PELICANS,29,87,34,25,8,36,42,31,10,10,18,125,6,11,43,46
DENVER_NUGGETS,away,11_19,30,94,9,41,4,30,40,6,12,13,20,98,6,17,0,MILWAUKEE_BUCKS,21,88,22,36,3,38,40,13,11,13,16,104,8,15,43,51
DENVER_NUGGETS,away,11_21,29,89,6,35,4,31,42,5,14,9,22,103,12,13,1,MINNESOTA_TIMBERWOLVES,24,79,26,32,3,32,35,22,9,8,15,101,8,17,40,40
DENVER_NUGGETS,home,11_23,33,93,17,28,5,39,44,15,9,12,20,112,10,11,1,ORLANDO_MAGIC,24,79,19,32,2,33,32,15,8,4,19,87,7,13,51,37
DENVER_NUGGETS,away,11_24,26,95,24,30,9,39,39,17,10,15,20,105,6,14,1,OKLAHOMA_CITY_THUNDER,22,103,23,39,5,35,37,15,9,19,24,98,9,10,54,54
DENVER_NUGGETS,home,11_27,28,97,15,25,4,44,47,14,9,16,17,117,7,11,1,LOS_ANGELES_LAKERS,19,87,18,35,8,31,34,12,5,8,19,85,5,12,60,39
DENVER_NUGGETS,away,11_30,28,87,26,30,3,28,40,19,14,13,21,113,11,11,1,PORTLAND_TRAIL_BLAZERS,19,85,21,22,6,32,45,16,6,12,23,112,7,14,41,44
DENVER_NUGGETS,away,12_3,32,89,24,28,2,34,40,15,11,15,14,106,9,20,1,TORONTO_RAPTORS,28,87,12,41,5,34,40,12,11,7,21,103,11,17,49,41
DENVER_NUGGETS,away,12_5,34,82,37,19,2,39,45,23,11,4,19,124,5,10,1,ORLANDO_MAGIC,30,95,8,49,4,34,45,8,20,6,23,118,4,9,43,40
DENVER_NUGGETS,away,12_7,24,101,26,35,12,35,39,21,8,20,28,107,6,9,0,CHARLOTTE_HORNETS,20,86,38,35,9,35,33,34,13,13,20,113,8,9,55,48
DENVER_NUGGETS,away,12_8,28,97,21,36,4,37,36,17,9,11,16,98,11,15,0,ATLANTA_HAWKS,33,93,16,42,11,42,40,11,15,9,23,106,9,18,48,51
DENVER_NUGGETS,home,12_10,22,77,23,28,6,29,39,18,9,11,17,105,11,13,1,MEMPHIS_GRIZZLIES,22,74,17,27,4,28,37,16,9,6,19,99,7,14,40,34
DENVER_NUGGETS,home,12_14,29,83,15,34,6,36,42,14,11,12,24,109,8,20,1,OKLAHOMA_CITY_THUNDER,14,90,29,19,4,24,37,17,7,19,17,98,9,13,48,43
DENVER_NUGGETS,home,12_16,21,85,16,30,4,34,36,13,10,10,14,95,7,8,1,TORONTO_RAPTORS,13,88,14,35,4,38,35,9,7,13,16,86,5,11,44,51
DENVER_NUGGETS,home,12_18,33,90,18,29,3,35,50,14,12,12,28,126,7,15,1,DALLAS_MAVERICKS,26,86,30,37,1,27,40,23,15,6,17,118,8,8,47,33
DENVER_NUGGETS,away,12_22,21,97,25,31,5,24,41,20,9,13,16,111,10,9,0,LOS_ANGELES_CLIPPERS,28,92,17,20,5,43,53,16,10,13,23,132,7,15,37,56
DENVER_NUGGETS,away,12_26,29,90,23,40,3,36,35,15,18,11,17,103,10,12,0,SAN_ANTONIO_SPURS,29,90,22,32,4,43,42,17,10,7,17,111,6,10,47,50
DENVER_NUGGETS,home,12_28,29,85,17,29,4,36,39,14,10,16,20,102,5,20,1,SAN_ANTONIO_SPURS,23,89,20,27,3,26,40,11,8,12,19,99,14,10,52,38
DENVER_NUGGETS,away,12_29,31,76,26,35,3,30,42,20,18,10,20,122,10,21,1,PHOENIX_SUNS,29,91,14,29,5,25,49,9,11,12,21,118,15,13,40,37
DENVER_NUGGETS,home,1_1,36,95,23,34,6,37,44,15,12,16,19,115,7,8,1,NEW_YORK_KNICKS,28,93,18,27,3,28,42,13,11,15,21,108,4,8,53,43
DENVER_NUGGETS,away,1_3,24,89,30,39,3,38,41,21,14,16,20,117,3,14,1,SACRAMENTO_KINGS,25,90,15,31,3,26,45,10,13,7,23,113,5,8,54,33
