name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
INDIANA_PACERS,home,10_17,29,83,13,26,7,44,47,7,10,13,24,111,2,20,1,MEMPHIS_GRIZZLIES,16,84,28,29,3,21,25,23,10,7,18,83,11,7,57,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,10_19,14,87,27,18,3,32,38,19,6,9,25,101,7,17,0,MILWAUKEE_BUCKS,27,93,21,46,8,39,44,13,17,11,26,118,9,17,41,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,home,10_20,21,92,22,24,5,30,51,14,16,10,18,132,12,10,1,BROOKLYN_NETS,25,86,22,37,6,31,41,14,16,9,18,112,6,20,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,10_22,18,92,16,26,6,33,36,11,8,12,24,91,6,15,0,MINNESOTA_TIMBERWOLVES,24,85,24,33,12,39,36,22,7,8,17,101,9,15,45,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,10_24,34,87,8,32,5,35,46,7,17,5,22,116,9,10,1,SAN_ANTONIO_SPURS,16,87,21,19,3,31,35,20,6,15,16,96,3,13,40,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,10_27,28,74,26,13,3,20,48,18,5,4,15,119,13,15,1,CLEVELAND_CAVALIERS,21,86,22,25,2,23,40,20,7,16,20,107,9,15,24,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,home,10_29,19,90,20,19,5,28,37,13,6,7,20,93,8,8,0,PORTLAND_TRAIL_BLAZERS,19,78,18,26,3,41,38,17,10,9,23,103,3,18,35,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,10_31,24,83,17,20,10,31,45,11,6,10,19,107,10,15,1,NEW_YORK_KNICKS,18,79,24,25,6,26,34,21,12,9,19,101,6,17,41,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,away,11_2,21,85,22,26,9,33,40,20,7,9,13,107,8,11,1,CHICAGO_BULLS,33,89,9,31,7,32,42,8,13,11,20,105,2,14,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANA_PACERS,home,11_3,23,86,25,32,2,37,36,19,11,8,16,102,10,13,1,BOSTON_CELTICS,23,88,9,46,8,35,38,6,19,10,20,101,6,14,45,45,23.1,85.9,19.6,23.6,5.5,32.3,42.4,13.9,9.2,8.7,19.6,107.9,8.5,13.4,0.7,22.2,85.5,19.8,31.7,5.8,31.8,37.3,16.4,11.7,10.5,19.7,102.7,6.4,15.0,41.0,42.3
INDIANA_PACERS,home,11_5,17,75,30,28,3,32,33,20,8,7,15,94,8,15,0,HOUSTON_ROCKETS,23,76,16,47,6,34,34,15,15,5,24,98,9,16,39,39,21.9,85.1,21.3,23.8,5.1,31.1,41.0,15.2,9.0,8.1,18.7,106.2,9.1,12.9,0.6,22.9,84.7,18.6,33.5,6.1,33.1,38.2,15.6,12.2,10.3,20.3,104.2,6.2,15.9,39.2,43.4
INDIANA_PACERS,home,11_7,19,94,17,31,6,33,37,12,8,8,21,94,9,9,0,PHILADELPHIA_76ERS,24,79,22,32,8,38,36,18,10,5,18,100,7,16,41,43,22.4,85.8,20.3,25.1,5.4,31.2,40.9,14.5,9.2,8.0,18.3,105.5,9.3,12.1,0.6,22.6,83.3,18.7,32.1,6.1,33.0,37.4,16.1,11.5,9.7,19.5,102.4,6.0,15.8,39.2,42.7
INDIANA_PACERS,away,11_9,20,79,29,20,5,33,43,17,7,6,26,110,10,18,1,MIAMI_HEAT,27,80,27,27,6,29,36,16,14,9,27,102,6,23,39,38,22.3,84.5,21.0,24.7,5.4,31.5,40.1,14.8,8.3,7.6,19.1,103.3,9.1,12.9,0.6,22.8,82.7,19.2,31.1,6.1,32.8,36.9,16.3,11.3,9.7,20.4,101.4,6.0,16.1,39.1,42.5
INDIANA_PACERS,away,11_11,24,78,26,29,6,30,36,20,11,5,22,103,10,13,0,HOUSTON_ROCKETS,18,74,32,47,5,30,36,23,20,8,22,115,6,15,35,38,22.9,83.1,22.0,25.0,5.4,31.2,40.1,15.7,8.6,6.9,18.9,104.5,9.5,12.7,0.6,22.2,81.6,20.0,32.5,5.4,31.9,36.9,16.4,12.6,9.7,20.9,102.8,5.7,16.1,38.1,41.6
INDIANA_PACERS,home,11_16,22,81,15,27,6,43,36,13,14,4,14,99,10,19,1,MIAMI_HEAT,21,93,10,36,5,38,35,7,14,13,16,91,10,16,47,51,21.7,82.5,22.7,24.5,5.5,32.0,39.1,16.3,8.3,6.8,18.1,102.8,9.6,13.6,0.6,22.7,82.2,18.9,34.2,5.6,32.6,36.9,15.1,13.4,9.5,20.9,102.3,6.4,16.4,38.8,42.1
INDIANA_PACERS,home,11_17,25,87,21,30,6,43,35,15,12,10,26,97,11,22,1,ATLANTA_HAWKS,20,87,27,29,6,36,31,19,8,5,24,89,15,18,53,41,21.4,83.8,22.2,26.2,5.8,34.3,37.8,16.0,9.0,7.4,19.2,100.6,9.4,14.3,0.6,22.6,82.3,19.4,34.6,6.0,33.9,36.0,15.0,13.5,8.4,21.3,100.5,7.0,16.7,41.7,42.3
INDIANA_PACERS,home,11_19,35,93,17,25,3,33,49,11,12,11,17,121,13,9,1,UTAH_JAZZ,26,74,16,25,10,33,36,11,11,3,18,94,6,18,44,36,23.0,84.1,21.9,26.8,5.6,34.8,39.0,15.8,9.6,7.8,18.9,103.4,9.9,14.4,0.7,23.3,81.9,19.2,34.5,6.7,33.1,35.8,14.4,13.6,7.8,20.8,99.6,7.3,16.7,42.6,40.9
INDIANA_PACERS,away,11_21,26,84,17,33,7,27,41,16,11,10,19,109,5,14,0,CHARLOTTE_HORNETS,30,80,22,29,3,30,45,19,18,6,15,127,7,12,37,36,23.2,84.2,21.9,28.1,5.3,34.4,38.6,16.3,10.1,7.8,18.9,103.6,9.4,14.3,0.6,24.5,82.0,19.0,34.9,6.4,33.5,36.9,14.2,14.2,7.5,20.4,102.2,7.4,16.2,42.2,41.0
INDIANA_PACERS,home,11_23,31,99,9,24,2,34,46,5,3,11,22,100,9,12,0,SAN_ANTONIO_SPURS,28,83,24,21,4,37,42,17,10,9,19,111,3,15,45,46,24.2,85.6,20.6,27.9,4.6,34.5,39.2,14.8,9.7,8.0,19.8,102.9,9.5,14.4,0.5,24.0,81.4,20.5,33.9,6.1,34.0,36.9,15.1,13.9,7.3,20.3,102.8,7.5,16.3,42.5,41.3
