name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
LOS_ANGELES_CLIPPERS,home,10_17,21,88,24,28,9,38,35,20,8,9,32,98,3,12,0,DENVER_NUGGETS,20,87,42,24,9,42,33,33,8,14,22,107,6,10,47,56
LOS_ANGELES_CLIPPERS,home,10_19,21,81,36,26,3,38,35,27,11,10,24,108,3,14,1,OKLAHOMA_CITY_THUNDER,18,95,23,33,4,37,34,17,7,15,29,92,5,12,48,52
LOS_ANGELES_CLIPPERS,home,10_21,22,89,26,25,7,37,42,26,5,12,16,115,8,13,1,HOUSTON_ROCKETS,28,89,15,35,6,29,43,11,15,6,23,112,6,12,49,35
LOS_ANGELES_CLIPPERS,away,10_23,18,87,27,20,4,38,41,22,5,9,26,109,5,16,0,NEW_ORLEANS_PELICANS,22,93,40,24,8,36,40,30,6,12,24,116,12,8,47,48
LOS_ANGELES_CLIPPERS,away,10_26,17,79,38,23,4,39,43,35,12,5,21,133,8,15,1,HOUSTON_ROCKETS,21,98,25,41,7,26,38,22,15,16,27,113,11,13,44,42
LOS_ANGELES_CLIPPERS,home,10_28,35,103,13,29,9,43,56,8,16,14,25,136,7,14,1,WASHINGTON_WIZARDS,18,97,28,27,3,31,38,23,5,14,16,104,7,14,57,45
LOS_ANGELES_CLIPPERS,away,10_30,18,74,43,20,7,32,35,33,7,6,26,110,6,24,0,OKLAHOMA_CITY_THUNDER,19,94,32,17,6,32,48,23,9,9,35,128,16,15,38,41
LOS_ANGELES_CLIPPERS,away,11_1,19,86,33,23,7,34,38,28,9,8,28,113,6,18,0,PHILADELPHIA_76ERS,29,93,28,27,7,33,44,21,13,10,30,122,7,14,42,43
LOS_ANGELES_CLIPPERS,away,11_2,22,86,33,26,3,40,41,25,13,10,23,120,5,13,1,ORLANDO_MAGIC,20,90,19,17,4,32,40,11,4,8,24,95,7,10,50,40
LOS_ANGELES_CLIPPERS,home,11_5,30,88,22,31,4,30,43,20,14,13,27,120,5,12,1,MINNESOTA_TIMBERWOLVES,20,85,30,21,8,30,40,24,5,8,23,109,9,11,43,38
LOS_ANGELES_CLIPPERS,away,11_8,19,89,20,23,10,34,41,15,8,7,22,105,2,7,0,PORTLAND_TRAIL_BLAZERS,18,97,28,26,8,39,40,26,10,14,20,116,4,6,41,53
LOS_ANGELES_CLIPPERS,home,11_10,26,99,27,34,6,44,46,22,14,10,19,128,6,17,1,MILWAUKEE_BUCKS,31,105,23,46,8,37,47,16,16,15,26,126,11,17,54,52
LOS_ANGELES_CLIPPERS,home,11_12,23,91,34,20,5,43,43,30,5,6,23,121,11,15,1,GOLDEN_STATE_WARRIORS,27,94,23,31,8,35,44,16,12,11,25,116,7,17,49,46
LOS_ANGELES_CLIPPERS,home,11_15,23,85,35,23,3,41,40,28,8,9,25,116,2,12,1,SAN_ANTONIO_SPURS,19,102,25,29,6,30,41,20,9,15,24,111,7,5,50,45
LOS_ANGELES_CLIPPERS,away,11_17,23,95,24,23,1,29,48,20,11,9,25,127,4,8,1,BROOKLYN_NETS,25,88,34,28,5,32,40,26,13,15,22,119,4,11,38,47
LOS_ANGELES_CLIPPERS,away,11_19,24,93,47,33,8,37,40,37,10,15,22,127,9,15,1,ATLANTA_HAWKS,29,101,19,38,6,35,45,17,12,16,38,119,6,14,52,51
LOS_ANGELES_CLIPPERS,away,11_20,20,89,18,27,4,37,46,15,11,7,28,118,6,17,0,WASHINGTON_WIZARDS,27,93,39,39,8,33,40,32,13,11,20,125,11,7,44,44
LOS_ANGELES_CLIPPERS,home,11_23,26,94,27,23,5,40,40,24,8,8,23,112,6,11,1,MEMPHIS_GRIZZLIES,29,92,18,27,7,41,42,14,9,6,29,107,6,16,48,47
LOS_ANGELES_CLIPPERS,away,11_25,15,90,34,25,5,37,38,23,5,11,13,104,9,4,1,PORTLAND_TRAIL_BLAZERS,18,97,10,38,5,42,42,8,8,16,24,100,2,12,48,58
LOS_ANGELES_CLIPPERS,home,11_28,21,86,32,21,7,38,40,24,11,18,17,115,6,21,1,PHOENIX_SUNS,20,89,18,26,6,27,39,13,8,7,24,99,17,16,56,34
LOS_ANGELES_CLIPPERS,away,11_29,25,90,28,28,5,30,50,21,12,8,21,133,7,9,1,SACRAMENTO_KINGS,26,96,26,24,2,32,46,22,7,16,25,121,4,11,38,48
LOS_ANGELES_CLIPPERS,away,12_2,23,95,22,24,5,36,42,17,9,8,22,110,9,10,0,DALLAS_MAVERICKS,20,95,26,23,5,47,42,22,8,17,21,114,6,16,44,64
LOS_ANGELES_CLIPPERS,away,12_3,29,83,30,20,1,32,49,23,8,7,21,129,4,12,1,NEW_ORLEANS_PELICANS,32,92,22,34,5,25,49,15,13,10,24,126,10,7,39,35
