name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
LOS_ANGELES_LAKERS,away,10_18,23,93,29,30,6,38,45,22,7,8,26,119,10,15,0,PORTLAND_TRAIL_BLAZERS,21,100,29,37,10,40,44,27,13,14,26,128,9,16,46,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,home,10_20,28,100,18,32,10,35,48,11,8,9,21,115,8,10,0,HOUSTON_ROCKETS,22,96,30,42,4,41,44,20,16,13,21,124,7,16,44,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,home,10_22,33,107,26,39,6,39,55,18,14,13,29,142,5,15,0,SAN_ANTONIO_SPURS,32,97,38,28,3,37,50,28,15,10,26,143,9,9,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,away,10_24,34,100,23,28,5,32,52,17,10,11,19,131,13,8,1,PHOENIX_SUNS,27,84,21,31,4,35,44,15,10,9,23,113,4,19,43,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,home,10_25,27,92,23,29,3,33,46,19,10,9,19,121,13,13,1,DENVER_NUGGETS,22,92,20,23,5,34,46,16,6,10,22,114,8,19,42,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,away,10_27,19,86,18,33,5,35,41,11,13,7,25,106,5,17,0,SAN_ANTONIO_SPURS,20,91,24,16,5,37,44,19,3,12,17,110,7,13,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,away,10_29,24,104,15,33,8,31,49,10,12,17,24,120,8,18,0,MINNESOTA_TIMBERWOLVES,26,98,30,29,12,31,42,26,14,20,14,124,11,14,48,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,home,10_31,23,84,24,17,6,31,43,18,10,8,27,114,12,20,1,DALLAS_MAVERICKS,24,86,19,29,5,30,43,14,13,10,24,113,5,23,39,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,away,11_3,20,86,25,21,11,41,45,16,8,9,22,114,9,20,1,PORTLAND_TRAIL_BLAZERS,20,104,22,35,5,34,44,16,6,16,21,110,10,14,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS_ANGELES_LAKERS,home,11_4,25,85,29,24,4,32,39,23,6,6,18,107,6,16,0,TORONTO_RAPTORS,32,98,14,35,4,36,49,13,10,13,24,121,9,12,38,49,25.6,93.7,23.0,28.6,6.4,34.7,46.3,16.5,9.8,9.7,23.0,118.9,8.9,15.2,0.4,24.6,94.6,24.7,30.5,5.7,35.5,45.0,19.4,10.6,12.7,21.8,120.0,7.9,15.5,44.4,48.2
LOS_ANGELES_LAKERS,home,11_7,32,91,14,34,4,35,44,11,15,12,14,114,6,16,1,MINNESOTA_TIMBERWOLVES,22,91,9,40,5,29,41,8,20,11,17,110,10,15,47,40,26.5,93.5,21.5,29.0,6.2,34.4,46.2,15.4,10.6,10.1,21.8,118.4,8.5,15.3,0.5,24.7,93.7,22.7,30.8,5.2,34.4,44.7,17.5,11.3,12.4,20.9,118.2,8.0,15.4,44.5,46.8
LOS_ANGELES_LAKERS,away,11_10,23,99,17,38,3,42,41,7,12,17,20,101,11,14,1,SACRAMENTO_KINGS,11,92,20,25,5,37,32,16,6,13,20,86,7,19,59,50,26.0,93.4,21.4,29.6,5.5,35.1,45.5,15.0,11.0,10.9,21.7,117.0,8.8,15.7,0.6,23.6,93.3,21.7,29.1,5.3,34.0,43.5,17.1,10.3,12.4,20.8,114.4,8.0,15.7,46.0,46.4
LOS_ANGELES_LAKERS,home,11_11,28,92,24,38,9,31,39,15,14,17,23,107,12,22,1,ATLANTA_HAWKS,25,95,13,37,4,34,41,11,13,10,23,106,11,17,48,44,25.5,91.9,21.2,29.5,5.8,34.3,43.9,14.7,11.0,11.3,21.1,113.5,9.5,16.4,0.7,22.9,93.1,19.2,30.0,5.4,33.7,42.6,15.4,10.1,12.4,20.5,110.7,8.2,16.5,45.6,46.1
LOS_ANGELES_LAKERS,home,11_14,25,93,26,32,6,37,44,23,15,11,18,126,11,13,1,PORTLAND_TRAIL_BLAZERS,24,93,23,33,10,36,41,21,14,11,21,117,8,14,48,47,24.6,91.2,21.5,29.9,5.9,34.8,43.1,15.3,11.5,11.3,21.0,113.0,9.3,16.9,0.7,22.6,94.0,19.4,30.2,6.0,33.8,42.3,16.0,10.5,12.6,20.3,111.1,8.6,16.0,46.1,46.4
LOS_ANGELES_LAKERS,away,11_17,22,90,25,30,6,33,43,21,10,8,20,117,5,14,0,ORLANDO_MAGIC,28,93,23,32,8,30,50,19,11,11,23,130,5,13,41,41,24.1,91.0,21.7,30.0,6.2,34.8,42.8,15.5,11.5,11.2,21.1,112.6,8.5,17.0,0.6,23.2,94.1,19.7,31.1,6.3,33.4,42.7,16.3,11.0,12.7,20.4,112.7,8.3,15.4,46.0,46.1
LOS_ANGELES_LAKERS,away,11_18,16,95,21,27,5,36,42,18,11,14,19,113,7,9,1,MIAMI_HEAT,20,87,19,32,5,36,35,14,13,12,21,97,3,12,50,48,23.8,91.9,22.0,29.4,6.2,34.9,42.9,16.2,11.3,11.9,20.5,113.3,8.7,16.2,0.7,23.2,93.7,19.2,32.7,6.3,33.3,41.8,15.8,12.0,12.7,20.8,111.4,7.9,15.3,46.8,46.0
LOS_ANGELES_LAKERS,away,11_21,23,78,28,25,9,44,40,20,9,7,20,109,2,15,1,CLEVELAND_CAVALIERS,18,102,15,34,2,31,39,14,13,15,22,105,3,3,51,46,23.7,89.3,23.3,28.6,6.3,36.2,42.0,17.2,11.0,10.9,20.1,112.2,8.1,15.9,0.8,22.4,94.1,17.7,33.2,5.3,33.3,41.5,14.6,11.9,12.2,21.6,109.5,7.1,14.2,47.1,45.5
