name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
ORLANDO_MAGIC,home,10_17,20,94,31,25,7,37,39,19,7,14,25,104,7,12,1,MIAMI_HEAT,16,97,22,33,5,38,38,16,9,14,28,101,4,16,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,10_19,18,94,14,31,7,32,36,10,6,12,16,88,8,15,0,CHARLOTTE_HORNETS,32,92,20,38,4,43,43,17,17,12,17,120,6,15,44,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,10_20,31,90,22,29,7,35,41,17,16,14,15,115,7,14,0,PHILADELPHIA_76ERS,33,94,10,33,3,33,45,9,17,13,21,116,8,10,49,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,10_22,28,93,10,35,2,41,38,7,10,8,15,93,6,9,1,BOSTON_CELTICS,21,91,9,40,3,42,37,7,9,9,15,90,6,12,49,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,10_25,29,86,20,30,7,29,43,16,12,11,21,114,5,14,0,PORTLAND_TRAIL_BLAZERS,24,87,26,27,6,32,48,21,11,12,22,128,6,10,40,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,10_27,21,101,17,43,6,30,33,15,10,11,22,91,9,11,0,MILWAUKEE_BUCKS,24,82,23,30,7,51,41,21,10,6,19,113,6,21,41,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,10_30,28,91,22,43,8,37,36,16,11,11,22,99,10,16,0,SACRAMENTO_KINGS,22,84,26,22,6,43,41,17,8,8,20,107,8,15,48,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,11_2,20,90,19,17,4,32,40,11,4,8,24,95,7,10,0,LOS_ANGELES_CLIPPERS,22,86,33,26,3,40,41,25,13,10,23,120,5,13,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,away,11_4,29,91,18,32,4,32,46,13,12,11,22,117,7,8,1,SAN_ANTONIO_SPURS,25,88,25,35,5,33,38,22,12,10,21,110,3,11,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLANDO_MAGIC,home,11_5,22,87,15,34,5,30,39,13,11,10,16,102,11,15,1,CLEVELAND_CAVALIERS,20,80,12,23,2,34,41,8,10,8,17,100,8,18,40,42,24.6,91.7,18.8,31.9,5.7,33.5,39.1,13.7,9.9,11.0,19.8,101.8,7.7,12.4,0.4,23.9,88.1,20.6,30.7,4.4,38.9,41.3,16.3,11.6,10.2,20.3,110.5,6.0,14.1,44.5,49.1
ORLANDO_MAGIC,home,11_7,28,87,9,27,8,34,40,7,9,6,19,96,10,20,0,DETROIT_PISTONS,21,90,20,37,1,37,37,18,11,13,15,103,13,19,40,50,25.4,91.0,16.6,32.1,5.8,33.2,39.2,12.5,10.1,10.2,19.2,101.0,8.0,13.2,0.3,24.4,87.4,20.4,31.1,4.0,38.8,41.2,16.5,11.8,10.1,19.0,110.7,6.9,14.4,43.4,48.9
ORLANDO_MAGIC,home,11_9,26,86,19,31,6,31,44,16,13,10,18,117,8,15,1,WASHINGTON_WIZARDS,24,82,19,27,3,29,42,13,11,6,18,108,8,18,41,35,26.2,90.2,17.1,32.1,5.7,33.1,40.0,13.1,10.8,10.0,19.4,103.9,8.0,13.2,0.4,23.6,86.4,20.3,30.0,3.9,37.4,41.1,16.1,11.2,9.5,19.1,109.5,7.1,14.7,43.1,46.9
ORLANDO_MAGIC,away,11_11,31,98,11,42,9,42,44,10,17,10,21,115,10,11,1,NEW_YORK_KNICKS,13,88,30,28,15,41,31,22,5,13,21,89,4,19,52,54,26.2,91.0,16.0,33.4,5.9,33.8,40.3,12.4,10.9,9.6,20.0,103.9,8.3,12.9,0.5,21.6,85.8,22.3,29.5,5.1,38.2,39.7,17.4,10.0,9.5,19.1,106.8,6.7,15.6,43.4,47.7
ORLANDO_MAGIC,away,11_12,28,89,11,30,6,26,43,8,15,8,28,109,5,12,0,WASHINGTON_WIZARDS,24,79,33,33,7,34,40,24,13,7,17,117,8,10,34,41,26.2,90.6,16.1,32.9,6.3,32.3,40.8,12.5,11.4,9.6,21.3,105.5,8.2,13.2,0.4,21.9,84.6,24.7,28.8,5.5,37.4,40.0,19.1,10.4,9.3,19.3,109.5,6.9,15.4,41.9,46.7
ORLANDO_MAGIC,home,11_14,23,80,22,28,4,32,40,19,12,5,21,111,7,10,1,PHILADELPHIA_76ERS,32,86,15,29,3,31,41,10,14,10,21,106,2,14,37,41,25.6,90.0,16.3,32.7,6.0,32.6,40.5,12.8,11.4,9.0,21.3,105.2,8.4,12.8,0.5,22.7,84.5,23.6,29.0,5.2,37.3,39.3,18.0,10.7,9.1,19.2,107.3,6.5,15.8,41.6,46.4
ORLANDO_MAGIC,home,11_17,28,93,23,32,8,30,50,19,11,11,23,130,5,13,1,LOS_ANGELES_LAKERS,22,90,25,30,6,33,43,21,10,8,20,117,5,14,41,41,26.3,89.2,16.9,31.6,6.2,32.6,42.2,13.2,11.5,9.0,21.4,109.1,8.0,13.0,0.6,22.5,85.3,23.8,29.0,5.1,35.5,39.5,18.0,10.7,9.3,19.3,107.7,6.4,15.1,41.6,44.8
ORLANDO_MAGIC,home,11_18,35,84,26,32,6,28,48,22,13,7,26,131,5,15,1,NEW_YORK_KNICKS,12,87,35,24,2,25,40,29,8,17,26,117,7,14,35,42,27.0,88.5,17.3,30.5,6.0,31.7,43.4,13.8,11.7,8.6,21.8,112.3,7.5,12.9,0.7,21.5,85.6,24.7,29.2,4.7,33.7,39.4,19.2,10.7,10.2,19.9,108.7,6.3,15.0,40.3,43.9
ORLANDO_MAGIC,home,11_20,24,84,19,30,4,38,34,15,8,11,11,91,5,14,0,TORONTO_RAPTORS,23,87,8,34,5,37,39,6,9,6,19,93,7,16,49,43,27.4,87.9,17.3,31.8,6.0,32.3,42.8,14.2,12.1,8.9,20.5,111.9,7.3,13.3,0.7,21.6,85.7,22.2,30.0,4.9,33.4,39.2,17.3,10.3,9.8,19.5,106.0,6.5,15.3,41.2,43.2
ORLANDO_MAGIC,away,11_23,24,79,19,32,2,33,32,15,8,4,19,87,7,13,0,DENVER_NUGGETS,33,93,17,28,5,39,44,15,9,12,20,112,10,11,37,51,26.9,86.7,17.4,31.8,5.8,32.4,41.4,14.4,11.7,8.2,20.2,108.9,7.3,13.8,0.6,22.4,86.2,21.4,29.3,4.9,34.0,39.8,16.6,10.0,10.0,19.4,106.2,7.2,15.3,40.6,44.0
