name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
PHILADELPHIA_76ERS,away,10_16,18,87,23,26,5,41,34,14,5,6,20,87,8,16,0,BOSTON_CELTICS,21,97,14,37,5,43,42,10,11,12,20,105,7,14,47,55
PHILADELPHIA_76ERS,home,10_18,30,93,30,36,8,44,44,27,12,11,17,127,10,13,1,CHICAGO_BULLS,28,101,12,33,6,34,44,9,11,5,23,108,4,12,55,39
PHILADELPHIA_76ERS,home,10_20,33,94,10,33,3,33,45,9,17,13,21,116,8,10,1,ORLANDO_MAGIC,31,90,22,29,7,35,41,17,16,14,15,115,7,14,46,49
PHILADELPHIA_76ERS,away,10_23,32,98,28,43,8,40,49,20,14,8,24,132,3,11,0,DETROIT_PISTONS,22,108,27,33,4,34,51,19,12,12,24,133,4,8,48,46
PHILADELPHIA_76ERS,away,10_24,29,92,30,34,5,42,38,21,11,8,27,108,4,16,0,MILWAUKEE_BUCKS,24,100,30,43,10,42,41,28,13,9,27,123,7,11,50,51
PHILADELPHIA_76ERS,home,10_27,18,91,30,28,8,42,35,25,10,14,23,105,4,11,1,CHARLOTTE_HORNETS,19,95,24,35,8,39,37,20,9,9,25,103,3,9,56,48
PHILADELPHIA_76ERS,home,10_29,33,99,18,47,9,48,41,17,14,16,22,113,7,19,1,ATLANTA_HAWKS,20,94,21,37,3,37,35,14,8,10,18,92,10,13,64,47
PHILADELPHIA_76ERS,away,10_30,25,91,30,40,5,30,38,22,14,17,24,112,7,23,0,TORONTO_RAPTORS,29,92,28,27,6,34,47,24,11,9,26,129,13,15,47,43
PHILADELPHIA_76ERS,home,11_1,29,93,28,27,7,33,44,21,13,10,30,122,7,14,1,LOS_ANGELES_CLIPPERS,19,86,33,23,7,34,38,28,9,8,28,113,6,18,43,42
PHILADELPHIA_76ERS,home,11_3,21,69,51,29,3,42,28,44,9,3,31,109,11,17,1,DETROIT_PISTONS,16,83,41,30,3,37,33,28,5,7,32,99,8,17,45,44
PHILADELPHIA_76ERS,away,11_4,16,65,41,20,1,37,31,31,4,9,21,97,6,27,0,BROOKLYN_NETS,27,105,18,28,3,23,50,13,9,15,28,122,11,9,46,38
PHILADELPHIA_76ERS,away,11_7,24,79,22,32,8,38,36,18,10,5,18,100,7,16,1,INDIANA_PACERS,19,94,17,31,6,33,37,12,8,8,21,94,9,9,43,41
PHILADELPHIA_76ERS,home,11_9,33,94,41,37,15,46,45,31,12,13,33,133,3,16,1,CHARLOTTE_HORNETS,25,110,40,40,5,35,43,30,16,14,33,132,10,4,59,49
PHILADELPHIA_76ERS,away,11_10,27,85,16,31,6,40,44,10,8,8,20,106,10,23,0,MEMPHIS_GRIZZLIES,16,103,15,30,3,30,45,11,11,15,18,112,9,11,48,45
PHILADELPHIA_76ERS,away,11_12,24,83,39,36,0,32,39,31,15,10,24,124,5,9,1,MIAMI_HEAT,19,77,33,31,6,32,37,27,13,8,30,114,5,15,42,40
PHILADELPHIA_76ERS,away,11_14,32,86,15,29,3,31,41,10,14,10,21,106,2,14,0,ORLANDO_MAGIC,23,80,22,28,4,32,40,19,12,5,21,111,7,10,41,37
PHILADELPHIA_76ERS,home,11_16,25,81,32,23,5,31,41,20,11,10,27,113,7,17,1,UTAH_JAZZ,15,88,37,22,4,29,41,21,4,10,25,107,10,13,41,39
PHILADELPHIA_76ERS,away,11_17,23,93,38,35,6,44,39,33,11,9,24,122,9,19,1,CHARLOTTE_HORNETS,23,99,27,31,3,40,42,25,10,9,29,119,10,17,53,49
PHILADELPHIA_76ERS,home,11_19,24,84,42,22,1,40,41,31,6,13,27,119,8,19,1,PHOENIX_SUNS,25,87,24,33,4,26,44,13,13,5,34,114,9,13,53,31
