name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
PHOENIX_SUNS,home,10_17,35,81,16,34,2,38,44,14,19,6,22,121,5,11,1,DALLAS_MAVERICKS,28,88,20,33,5,28,38,14,10,10,16,100,7,9,44,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,away,10_20,20,77,35,39,4,30,29,22,11,10,26,91,6,19,0,DENVER_NUGGETS,28,85,29,28,6,45,43,24,9,9,31,119,12,18,40,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,away,10_22,24,86,18,34,1,33,39,16,9,12,21,103,8,21,0,GOLDEN_STATE_WARRIORS,35,88,26,37,4,33,45,19,14,7,24,123,12,14,45,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,home,10_24,27,84,21,31,4,35,44,15,10,9,23,113,4,19,0,LOS_ANGELES_LAKERS,34,100,23,28,5,32,52,17,10,11,19,131,13,8,44,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,away,10_27,28,78,19,33,1,30,36,15,9,5,25,96,5,19,0,MEMPHIS_GRIZZLIES,30,79,22,26,1,36,44,20,9,3,21,117,12,12,35,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,away,10_28,21,86,27,27,3,34,38,26,8,10,32,110,10,22,0,OKLAHOMA_CITY_THUNDER,22,85,35,24,3,34,43,24,7,9,24,117,16,15,44,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,home,10_31,21,90,18,24,3,28,35,14,6,7,26,90,10,15,0,SAN_ANTONIO_SPURS,24,83,26,18,6,41,46,24,4,6,15,120,7,14,35,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,home,11_2,20,91,18,26,4,37,40,10,8,12,18,98,3,15,0,TORONTO_RAPTORS,29,81,21,33,10,33,41,13,12,6,23,107,11,13,49,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,home,11_4,25,64,26,32,3,32,33,22,14,5,27,102,7,24,1,MEMPHIS_GRIZZLIES,19,76,29,23,3,21,36,21,7,9,21,100,13,13,37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOENIX_SUNS,home,11_6,16,81,20,25,3,40,28,17,9,9,20,82,4,20,0,BROOKLYN_NETS,22,92,19,36,5,39,41,13,9,13,22,104,9,10,49,52,23.7,81.8,21.8,30.5,2.8,33.7,36.6,17.1,10.3,8.5,24.0,100.6,6.2,18.5,0.2,27.1,85.7,25.0,28.6,4.8,34.2,42.9,18.9,9.1,8.3,21.6,113.8,11.2,12.6,42.2,42.5
PHOENIX_SUNS,home,11_8,25,93,19,35,6,38,41,16,11,4,23,109,10,15,0,BOSTON_CELTICS,21,97,31,37,6,39,39,24,14,17,18,116,6,16,42,56,22.7,83.0,22.1,30.6,3.2,33.7,36.3,17.3,9.5,8.3,24.1,99.4,6.7,18.9,0.1,26.4,86.6,26.1,29.0,4.9,35.3,43.0,19.9,9.5,9.0,21.8,115.4,11.1,13.3,42.0,44.3
PHOENIX_SUNS,away,11_10,16,86,20,36,7,27,35,19,10,10,27,99,10,14,0,NEW_ORLEANS_PELICANS,28,86,29,25,7,38,42,24,11,16,18,119,7,18,37,54,22.3,83.9,20.6,30.3,3.5,33.4,36.9,17.0,9.4,8.3,24.2,100.2,7.1,18.4,0.1,26.4,86.7,26.1,28.7,5.0,34.6,42.9,19.9,9.7,9.7,20.5,115.4,10.6,13.3,41.7,44.3
PHOENIX_SUNS,away,11_12,25,81,19,26,5,27,39,16,7,10,21,101,5,18,0,OKLAHOMA_CITY_THUNDER,23,92,20,27,6,30,43,19,13,12,15,118,12,13,37,42,22.4,83.4,20.7,29.5,3.9,32.8,36.9,17.0,9.2,8.1,24.2,100.0,6.8,18.1,0.1,25.2,87.1,25.5,27.7,5.2,34.3,42.7,19.9,9.6,10.2,19.6,114.9,10.6,13.2,40.9,44.5
PHOENIX_SUNS,home,11_14,27,84,8,31,4,33,47,7,15,5,23,116,9,16,1,SAN_ANTONIO_SPURS,16,83,24,23,4,30,35,19,7,13,12,96,7,18,38,43,22.4,83.4,19.4,29.5,3.9,32.6,37.2,16.2,9.7,7.7,24.2,100.3,7.3,17.8,0.2,23.4,85.4,25.6,27.2,5.1,34.1,41.0,20.1,9.3,10.4,18.9,111.4,10.0,14.2,40.3,44.5
PHOENIX_SUNS,home,11_17,25,82,21,29,6,27,37,14,12,4,28,100,14,14,0,OKLAHOMA_CITY_THUNDER,17,85,32,24,7,38,38,27,7,14,20,110,9,18,31,52,22.1,83.8,19.6,29.1,4.4,32.3,37.3,16.1,10.0,7.6,24.5,100.7,8.2,17.3,0.2,22.1,86.0,26.6,27.0,5.7,34.3,40.4,20.8,9.1,11.5,18.8,110.7,9.7,14.8,39.9,45.8
PHOENIX_SUNS,away,11_19,25,87,24,33,4,26,44,13,13,5,34,114,9,13,0,PHILADELPHIA_76ERS,24,84,42,22,1,40,41,31,6,13,27,119,8,19,31,53,22.5,83.9,19.3,29.7,4.5,31.5,37.9,14.8,10.5,7.1,24.7,101.1,8.1,16.4,0.2,22.3,85.9,27.3,26.8,5.5,34.9,40.2,21.5,9.0,11.9,19.1,110.9,8.9,15.2,38.6,46.8
PHOENIX_SUNS,away,11_21,28,98,10,34,5,30,48,10,10,6,20,116,9,13,0,CHICAGO_BULLS,28,81,24,25,2,35,46,21,11,4,19,124,8,17,36,39,23.2,84.7,18.5,30.7,4.7,31.7,39.2,14.4,10.9,7.0,24.1,103.7,8.0,16.2,0.2,22.7,85.7,27.1,27.5,5.1,34.3,40.2,21.2,9.7,11.7,19.5,111.3,9.0,15.5,38.7,46.0
PHOENIX_SUNS,away,11_23,21,90,22,26,4,34,45,17,9,6,25,116,8,11,1,MILWAUKEE_BUCKS,30,87,30,44,7,36,42,20,10,7,17,114,6,14,40,43,23.3,84.6,18.9,30.7,4.7,31.4,39.7,15.1,11.0,6.4,24.8,105.5,8.5,15.8,0.3,22.8,86.3,28.0,28.6,4.8,34.6,40.3,21.9,9.5,11.8,18.9,112.0,8.5,15.6,37.8,46.4
PHOENIX_SUNS,away,11_25,22,82,21,25,6,32,42,15,8,10,22,107,6,17,0,DETROIT_PISTONS,30,93,25,41,0,28,43,16,16,13,19,118,9,12,42,41,23.0,86.4,18.4,30.0,5.0,31.4,40.6,14.4,10.4,6.9,24.3,106.0,8.4,15.1,0.2,23.9,88.0,27.6,30.4,4.5,35.3,41.0,21.4,10.4,12.2,18.7,113.8,8.1,15.5,38.3,47.5
PHOENIX_SUNS,home,11_27,20,92,18,30,6,33,41,12,10,12,17,104,8,8,0,INDIANA_PACERS,25,90,29,26,6,38,38,22,11,17,13,109,8,12,45,55,23.4,87.5,18.2,30.5,5.3,30.7,41.9,13.9,10.5,7.2,24.0,108.2,8.8,13.9,0.2,24.2,87.8,28.6,29.4,4.6,35.2,40.7,22.3,10.6,12.6,17.8,114.3,8.0,15.7,37.9,47.8
PHOENIX_SUNS,away,11_28,20,89,18,26,6,27,39,13,8,7,24,99,17,16,0,LOS_ANGELES_CLIPPERS,21,86,32,21,7,38,40,24,11,18,17,115,6,21,34,56,22.9,87.1,18.1,29.6,5.3,29.6,41.7,13.6,10.2,7.5,24.1,107.2,9.5,14.0,0.2,24.2,86.7,28.7,27.8,4.7,35.1,40.8,22.3,10.3,12.7,17.7,114.2,8.0,16.2,37.1,47.8
PHOENIX_SUNS,home,11_30,22,84,14,28,0,31,34,10,7,9,15,85,5,12,0,ORLANDO_MAGIC,23,82,18,27,5,36,39,13,8,8,16,99,7,12,40,44,23.5,86.9,17.5,28.8,4.6,30.0,41.6,12.7,9.9,7.4,22.9,105.8,9.0,13.8,0.2,23.7,86.3,27.6,28.0,4.5,34.9,40.5,21.2,10.0,11.9,17.5,112.2,8.0,15.6,37.4,46.8
PHOENIX_SUNS,away,12_2,24,93,11,33,8,33,37,9,13,7,22,96,12,15,0,LOS_ANGELES_LAKERS,26,92,23,27,4,45,46,17,11,11,15,120,9,19,40,56,23.4,88.1,16.7,29.5,4.9,30.6,41.4,12.0,10.5,7.1,23.0,105.3,9.7,13.5,0.2,24.0,86.3,27.9,28.0,4.3,36.4,40.8,21.0,9.8,11.8,17.5,112.4,7.7,16.2,37.7,48.2
PHOENIX_SUNS,home,12_4,27,87,21,43,4,30,38,17,12,13,27,105,9,21,0,SACRAMENTO_KINGS,27,84,32,24,3,33,45,21,11,9,22,122,13,13,43,42,23.4,88.4,18.0,30.7,4.9,30.3,40.5,13.0,10.2,7.9,23.4,104.2,9.7,14.0,0.1,25.1,86.4,28.7,28.1,4.2,36.7,41.8,21.2,10.2,11.4,18.5,115.0,8.3,15.7,38.2,48.1
PHOENIX_SUNS,away,12_6,20,91,14,27,2,30,35,11,5,11,21,86,11,16,0,PORTLAND_TRAIL_BLAZERS,24,85,27,27,6,43,41,17,9,13,19,108,10,17,41,56,22.9,89.3,17.3,30.5,4.5,30.6,40.3,12.7,9.5,8.6,22.7,102.8,9.4,14.2,0.1,25.8,86.4,28.2,28.4,4.1,37.2,42.1,20.2,10.4,11.3,18.4,114.8,8.4,15.6,39.2,48.5
PHOENIX_SUNS,home,12_7,27,79,16,34,4,38,36,12,14,4,21,98,7,20,0,MIAMI_HEAT,32,86,18,37,5,34,42,16,15,6,16,115,10,12,42,40,23.1,88.5,16.5,30.6,4.5,31.8,39.5,12.6,9.6,8.5,21.4,101.2,9.2,14.9,0.1,26.6,86.6,25.8,29.9,4.5,36.6,42.2,18.7,11.3,10.6,17.3,114.4,8.6,14.9,40.3,47.2
PHOENIX_SUNS,home,12_10,31,94,20,25,8,30,47,16,9,10,29,119,14,15,0,LOS_ANGELES_CLIPPERS,27,85,33,21,4,32,45,26,7,10,21,123,8,18,40,42,23.4,88.1,17.5,29.7,4.8,31.8,39.4,13.2,9.5,8.9,22.3,101.5,9.7,15.1,0.1,26.5,87.0,26.7,29.5,4.7,36.3,42.1,19.2,10.9,11.2,17.5,114.3,8.6,15.0,40.7,47.5
PHOENIX_SUNS,away,12_11,19,82,14,28,5,32,33,12,8,8,22,86,7,17,0,SAN_ANTONIO_SPURS,28,83,19,21,2,38,41,16,13,8,15,111,7,15,40,46,23.2,87.3,16.7,29.9,4.9,31.6,38.2,12.7,9.4,9.1,22.0,98.5,9.6,15.7,0.0,26.3,86.6,25.6,27.2,4.2,36.5,42.0,18.8,11.2,11.3,17.3,114.0,8.7,15.1,40.7,47.8
PHOENIX_SUNS,home,12_13,20,92,18,27,5,28,37,15,10,12,27,99,15,13,1,DALLAS_MAVERICKS,14,78,33,33,4,39,31,22,5,14,19,89,7,23,40,53,23.0,88.3,16.4,30.1,4.8,31.2,37.7,12.7,9.6,9.3,22.5,97.7,10.5,15.3,0.1,24.7,85.1,26.4,26.4,4.6,37.6,40.8,19.4,10.1,11.4,17.3,111.1,8.5,16.2,40.5,49.0
