name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
PORTLAND_TRAIL_BLAZERS,home,10_18,21,100,29,37,10,40,44,27,13,14,26,128,9,16,1,LOS_ANGELES_LAKERS,23,93,29,30,6,38,45,22,7,8,26,119,10,15,54,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,10_20,24,84,19,32,3,38,45,16,15,8,14,121,5,12,1,SAN_ANTONIO_SPURS,29,100,14,30,4,25,42,11,13,15,17,108,5,6,46,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,10_22,22,108,31,39,4,53,43,27,11,17,22,124,6,19,0,WASHINGTON_WIZARDS,23,110,26,37,7,42,46,18,15,12,27,125,6,10,70,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,away,10_25,24,87,26,27,6,32,48,21,11,12,22,128,6,10,1,ORLANDO_MAGIC,29,86,20,30,7,29,43,16,12,11,21,114,5,14,44,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,away,10_27,14,88,28,33,8,34,37,25,12,8,25,111,7,9,0,MIAMI_HEAT,21,96,26,39,8,40,44,17,15,16,21,120,7,12,42,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,away,10_29,19,78,18,26,3,41,38,17,10,9,23,103,3,18,1,INDIANA_PACERS,19,90,20,19,5,28,37,13,6,7,20,93,8,8,50,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,away,10_30,17,80,23,20,4,44,38,20,8,7,19,104,4,17,1,HOUSTON_ROCKETS,18,96,23,43,9,29,31,13,10,20,25,85,7,11,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,11_1,26,87,31,35,4,38,44,26,18,8,30,132,4,14,1,NEW_ORLEANS_PELICANS,23,94,37,29,3,30,40,31,8,14,24,119,7,12,46,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,11_3,20,104,22,35,5,34,44,16,6,16,21,110,10,14,0,LOS_ANGELES_LAKERS,20,86,25,21,11,41,45,16,8,9,22,114,9,20,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORTLAND_TRAIL_BLAZERS,home,11_4,15,86,32,28,1,49,38,28,7,17,20,111,7,16,1,MINNESOTA_TIMBERWOLVES,18,93,21,30,4,25,29,16,7,13,21,81,9,11,66,38,20.2,90.2,25.9,31.2,4.8,40.3,41.9,22.3,11.1,11.6,22.2,117.2,6.1,14.5,0.7,22.3,94.4,24.1,30.8,6.4,32.7,40.2,17.3,10.1,12.5,22.4,107.8,7.3,11.9,51.9,45.2
PORTLAND_TRAIL_BLAZERS,home,11_6,23,91,8,43,3,40,48,5,17,11,17,118,7,12,1,MILWAUKEE_BUCKS,26,92,8,42,1,30,40,7,16,12,16,103,2,11,51,42,20.4,89.3,23.8,31.8,4.1,40.3,42.3,20.1,11.5,11.3,21.3,116.2,5.9,14.1,0.7,22.6,94.3,22.0,32.0,5.9,31.9,39.7,15.8,11.0,12.9,21.4,106.2,6.5,11.5,51.6,44.8
PORTLAND_TRAIL_BLAZERS,home,11_8,18,97,28,26,8,39,40,26,10,14,20,116,4,6,1,LOS_ANGELES_CLIPPERS,19,89,20,23,10,34,41,15,8,7,22,105,2,7,53,41,19.8,90.6,24.7,31.2,4.6,40.4,41.8,21.1,11.0,11.9,21.9,115.7,5.8,13.5,0.7,21.6,93.2,22.6,31.3,6.5,32.8,39.6,16.2,10.5,12.1,21.9,105.9,6.2,11.6,52.3,44.9
PORTLAND_TRAIL_BLAZERS,home,11_11,22,86,10,36,2,40,39,8,14,15,14,100,4,21,1,BOSTON_CELTICS,19,93,10,42,5,31,36,8,14,11,16,94,11,12,55,42,19.8,88.4,22.6,30.9,4.4,39.1,41.4,19.2,11.3,11.7,21.1,113.3,5.6,13.7,0.8,21.2,91.5,21.0,31.8,6.3,31.7,38.6,15.2,10.4,12.0,20.8,102.8,6.7,11.8,50.8,43.7
PORTLAND_TRAIL_BLAZERS,away,11_14,24,93,23,33,10,36,41,21,14,11,21,117,8,14,0,LOS_ANGELES_LAKERS,25,93,26,32,6,37,44,23,15,11,18,126,11,13,47,48,19.8,89.0,22.3,31.5,4.8,39.5,40.7,19.2,11.6,11.6,21.0,112.2,5.8,14.1,0.7,20.8,92.2,21.6,32.0,6.2,32.5,38.7,15.9,10.7,12.0,20.5,104.0,7.3,11.7,51.1,44.5
PORTLAND_TRAIL_BLAZERS,away,11_16,16,88,20,29,1,37,37,14,8,11,14,96,6,18,0,MINNESOTA_TIMBERWOLVES,28,92,11,28,4,34,46,8,12,9,16,112,11,12,48,43,20.0,89.0,21.5,31.1,4.1,39.8,40.7,18.1,11.2,11.9,19.9,110.7,5.7,15.0,0.7,21.5,91.8,20.1,30.9,5.8,31.9,38.9,15.0,10.4,11.3,20.0,103.2,7.7,11.7,51.7,43.2
PORTLAND_TRAIL_BLAZERS,away,11_18,26,86,35,30,3,43,39,30,11,9,25,119,4,15,1,WASHINGTON_WIZARDS,28,96,21,32,9,34,43,10,13,9,30,109,4,11,52,43,20.7,89.8,23.2,31.5,4.1,40.0,40.8,19.4,11.3,11.9,20.1,112.3,5.8,14.7,0.7,22.4,92.4,20.2,32.2,6.2,32.5,39.5,14.7,11.1,11.5,21.0,104.8,7.3,12.0,51.9,44.0
PORTLAND_TRAIL_BLAZERS,away,11_20,25,95,17,35,4,29,45,12,16,14,19,118,8,11,1,NEW_YORK_KNICKS,22,83,22,29,5,32,42,17,13,10,15,114,8,15,43,42,21.5,91.3,22.6,33.0,4.1,38.5,41.5,18.6,12.1,12.6,20.1,113.7,6.2,14.1,0.7,22.8,91.1,20.1,30.8,5.8,32.8,40.6,15.1,11.4,10.5,20.0,107.7,7.4,12.4,51.1,43.3
PORTLAND_TRAIL_BLAZERS,away,11_21,13,93,28,41,6,30,34,23,9,10,20,100,8,17,0,MILWAUKEE_BUCKS,34,108,17,45,2,46,57,14,15,13,23,143,8,14,40,59,20.2,91.9,22.3,33.6,4.3,37.7,40.5,18.3,11.2,12.8,19.1,110.5,6.6,14.4,0.6,23.9,92.5,18.1,32.4,5.7,34.4,42.3,13.4,12.1,10.4,19.9,110.1,7.5,12.6,50.5,44.8
PORTLAND_TRAIL_BLAZERS,away,11_23,22,93,22,24,2,27,38,12,9,12,16,97,9,13,0,GOLDEN_STATE_WARRIORS,29,85,16,32,10,37,48,12,17,6,22,125,11,15,39,43,20.4,90.8,22.3,32.5,4.0,37.0,39.9,17.9,11.5,12.4,18.6,109.2,6.5,14.3,0.6,24.8,92.4,17.2,33.5,5.6,34.0,42.6,13.0,13.0,10.1,19.9,111.2,7.7,12.1,49.4,44.1
PORTLAND_TRAIL_BLAZERS,home,11_25,18,97,10,38,5,42,42,8,8,16,24,100,2,12,0,LOS_ANGELES_CLIPPERS,15,90,34,25,5,37,38,23,5,11,13,104,9,4,58,48,20.7,91.9,20.1,33.5,4.4,36.3,40.3,15.9,11.6,12.3,19.0,108.1,6.0,13.9,0.5,24.5,92.1,18.5,33.0,5.7,35.2,43.5,13.7,12.8,9.9,19.1,113.5,7.7,11.4,48.6,45.1
PORTLAND_TRAIL_BLAZERS,home,11_28,24,85,32,39,1,34,37,22,19,13,17,115,8,11,1,ORLANDO_MAGIC,28,81,15,30,8,34,42,14,14,3,20,112,3,14,47,37,20.8,91.3,22.5,33.1,4.2,35.7,39.2,17.6,11.8,12.5,19.0,107.8,6.1,13.8,0.5,24.7,91.0,19.2,31.8,6.4,35.6,43.7,14.4,12.6,9.0,19.5,114.4,7.8,11.7,48.2,44.6
PORTLAND_TRAIL_BLAZERS,home,11_30,19,85,21,22,6,32,45,16,6,12,23,112,7,14,0,DENVER_NUGGETS,28,87,26,30,3,28,40,19,14,13,21,113,11,11,44,41,20.9,90.1,21.8,32.7,4.0,35.0,39.7,16.6,11.4,12.3,19.3,107.4,6.4,14.6,0.4,25.6,90.8,19.8,32.5,5.7,35.0,43.6,14.8,13.2,9.6,19.4,115.2,8.7,12.1,47.3,44.6
