name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds,assists_10MA,att_field_goals_10MA,att_free_throws_10MA,att_three_points_10MA,blocks_10MA,defensive_rebounds_10MA,made_field_goals_10MA,made_free_throws_10MA,made_three_point_10MA,offensive_rebounds_10MA,personal_fouls_10MA,points_10MA,steals_10MA,turnovers_10MA,outcomes_10MA,opp_assists_10MA,opp_att_field_goals_10MA,opp_att_free_throws_10MA,opp_att_three_points_10MA,opp_blocks_10MA,opp_defensive_rebounds_10MA,opp_made_field_goals_10MA,opp_made_free_throws_10MA,opp_made_three_point_10MA,opp_offensive_rebounds_10MA,opp_personal_fouls_10MA,opp_points_10MA,opp_steals_10MA,opp_turnovers_10MA,total_rebounds_10MA,opp_total_rebounds_10MA
TORONTO_RAPTORS,home,10_17,21,92,20,33,7,35,45,12,14,8,29,116,6,9,1,CLEVELAND_CAVALIERS,17,85,39,19,0,35,34,29,7,14,25,104,4,16,43,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,10_19,24,92,19,35,3,37,43,14,13,12,19,113,3,12,1,BOSTON_CELTICS,29,99,10,36,6,33,40,7,14,16,27,101,4,14,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,10_20,21,88,36,29,5,38,39,29,10,14,29,117,5,17,1,WASHINGTON_WIZARDS,20,89,32,39,9,28,37,26,13,9,27,113,11,11,52,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,10_22,36,87,14,39,8,41,50,12,15,5,21,127,10,13,1,CHARLOTTE_HORNETS,21,97,18,28,5,27,41,15,9,14,14,106,5,12,46,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,10_24,26,89,12,32,8,33,46,9,11,11,18,112,9,16,1,MINNESOTA_TIMBERWOLVES,25,96,16,30,5,28,40,10,15,16,17,105,10,15,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,10_26,23,91,20,27,5,38,44,17,11,12,22,116,10,12,1,DALLAS_MAVERICKS,22,92,24,30,6,34,38,19,12,10,17,107,6,14,50,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,10_29,25,103,28,45,7,36,39,22,9,15,19,109,9,10,0,MILWAUKEE_BUCKS,28,92,19,45,4,49,45,15,19,8,21,124,5,17,51,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,home,10_30,29,92,28,27,6,34,47,24,11,9,26,129,13,15,1,PHILADELPHIA_76ERS,25,91,30,40,5,30,38,22,14,17,24,112,7,23,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,11_2,29,81,21,33,10,33,41,13,12,6,23,107,11,13,1,PHOENIX_SUNS,20,91,18,26,4,37,40,10,8,12,18,98,3,15,39,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TORONTO_RAPTORS,away,11_4,32,98,14,35,4,36,49,13,10,13,24,121,9,12,1,LOS_ANGELES_LAKERS,25,85,29,24,4,32,39,23,6,6,18,107,6,16,49,38,26.6,91.3,21.2,33.5,6.3,36.1,44.3,16.5,11.6,10.5,23.0,116.7,8.5,12.9,0.9,23.2,91.7,23.5,31.7,4.8,33.3,39.2,17.6,11.7,12.2,20.8,107.7,6.1,15.3,46.6,45.5
TORONTO_RAPTORS,away,11_5,21,86,14,33,3,36,49,13,13,7,28,124,9,14,1,UTAH_JAZZ,29,86,41,31,4,28,38,27,8,12,19,111,10,12,43,40,26.6,90.7,20.6,33.5,5.9,36.2,44.7,16.6,11.5,10.4,22.9,117.5,8.8,13.4,0.9,24.4,91.8,23.7,32.9,5.2,32.6,39.6,17.4,11.8,12.0,20.2,108.4,6.7,14.9,46.6,44.6
TORONTO_RAPTORS,away,11_7,17,89,23,36,4,40,41,21,11,13,20,114,10,20,1,SACRAMENTO_KINGS,27,88,18,23,5,25,42,13,8,6,26,105,10,15,53,31,25.9,90.4,21.0,33.6,6.0,36.5,44.5,17.3,11.3,10.5,23.0,117.6,9.5,14.2,0.9,24.2,90.7,24.5,31.6,5.1,31.8,39.8,18.0,11.2,11.0,20.1,108.8,7.3,15.0,47.0,42.8
