name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
WASHINGTON_WIZARDS,home,10_18,19,81,39,26,15,33,38,29,7,7,31,112,7,14,0,MIAMI_HEAT,25,97,34,35,5,33,38,25,12,22,26,113,6,16,40,55
WASHINGTON_WIZARDS,home,10_20,20,89,32,39,9,28,37,26,13,9,27,113,11,11,0,TORONTO_RAPTORS,21,88,36,29,5,38,39,29,10,14,29,117,5,17,37,52
WASHINGTON_WIZARDS,away,10_22,23,110,26,37,7,42,46,18,15,12,27,125,6,10,1,PORTLAND_TRAIL_BLAZERS,22,108,31,39,4,53,43,27,11,17,22,124,6,19,54,70
WASHINGTON_WIZARDS,away,10_24,22,93,28,42,1,27,42,26,12,7,24,122,7,12,0,GOLDEN_STATE_WARRIORS,37,92,25,33,5,38,53,23,15,10,22,144,6,15,34,48
WASHINGTON_WIZARDS,away,10_26,22,86,23,42,7,37,40,18,14,5,27,112,8,21,0,SACRAMENTO_KINGS,25,95,23,37,4,39,44,14,14,14,18,116,8,18,42,53
WASHINGTON_WIZARDS,away,10_28,18,97,28,27,3,31,38,23,5,14,16,104,7,14,0,LOS_ANGELES_CLIPPERS,35,103,13,29,9,43,56,8,16,14,25,136,7,14,45,57
WASHINGTON_WIZARDS,away,10_30,24,74,20,35,7,32,32,17,14,5,22,95,9,20,0,MEMPHIS_GRIZZLIES,28,74,31,28,3,32,36,22,13,6,20,107,16,15,37,38
WASHINGTON_WIZARDS,home,11_2,27,86,18,30,4,24,44,14,9,6,21,111,6,18,0,OKLAHOMA_CITY_THUNDER,34,86,26,32,5,31,49,21,15,7,20,134,13,13,30,38
WASHINGTON_WIZARDS,home,11_4,21,83,39,26,11,32,36,30,6,15,18,108,12,13,1,NEW_YORK_KNICKS,19,93,16,27,5,36,39,12,5,15,28,95,5,18,47,51
WASHINGTON_WIZARDS,away,11_6,27,87,20,35,6,27,37,15,11,5,24,100,8,10,0,DALLAS_MAVERICKS,25,82,27,34,6,40,39,26,15,10,22,119,4,17,32,50
WASHINGTON_WIZARDS,away,11_9,24,82,19,27,3,29,42,13,11,6,18,108,8,18,0,ORLANDO_MAGIC,26,86,19,31,6,31,44,16,13,10,18,117,8,15,35,41
WASHINGTON_WIZARDS,away,11_10,14,83,38,22,5,32,40,28,8,16,25,116,8,15,1,MIAMI_HEAT,25,88,26,33,5,24,39,20,12,14,31,110,5,19,48,38
WASHINGTON_WIZARDS,home,11_12,24,79,33,33,7,34,40,24,13,7,17,117,8,10,1,ORLANDO_MAGIC,28,89,11,30,6,26,43,8,15,8,28,109,5,12,41,34
WASHINGTON_WIZARDS,home,11_14,30,92,26,40,3,32,44,18,13,12,25,119,17,18,1,CLEVELAND_CAVALIERS,22,77,31,21,6,33,35,21,4,9,24,95,12,23,44,42
WASHINGTON_WIZARDS,home,11_16,18,87,34,18,4,35,37,27,3,12,23,104,5,13,0,BROOKLYN_NETS,19,90,38,33,3,34,38,30,9,13,24,115,8,11,47,47
WASHINGTON_WIZARDS,home,11_18,28,96,21,32,9,34,43,10,13,9,30,109,4,11,0,PORTLAND_TRAIL_BLAZERS,26,86,35,30,3,43,39,30,11,9,25,119,4,15,43,52
WASHINGTON_WIZARDS,home,11_20,27,93,39,39,8,33,40,32,13,11,20,125,11,7,1,LOS_ANGELES_CLIPPERS,20,89,18,27,4,37,46,15,11,7,28,118,6,17,44,44
WASHINGTON_WIZARDS,away,11_23,28,100,19,46,7,30,40,18,9,14,16,107,8,12,0,TORONTO_RAPTORS,32,93,19,39,6,37,46,16,17,13,23,125,5,15,44,50
WASHINGTON_WIZARDS,home,11_24,30,90,23,29,9,40,51,12,10,5,16,124,12,14,1,NEW_ORLEANS_PELICANS,23,90,21,31,3,36,43,17,11,7,21,114,10,16,45,43
WASHINGTON_WIZARDS,home,11_26,29,89,32,29,7,29,50,24,11,9,29,135,7,13,1,HOUSTON_ROCKETS,22,97,27,48,5,30,46,21,18,18,31,131,8,19,38,48
WASHINGTON_WIZARDS,away,11_28,26,95,16,39,2,26,41,9,13,12,22,104,12,16,0,NEW_ORLEANS_PELICANS,24,95,28,36,5,47,46,22,11,17,20,125,10,20,38,64
WASHINGTON_WIZARDS,away,11_30,22,92,19,28,4,34,37,16,8,8,20,98,10,15,0,PHILADELPHIA_76ERS,28,98,33,38,7,41,43,25,12,17,17,123,11,12,42,58
WASHINGTON_WIZARDS,home,12_1,19,79,18,26,3,36,41,12,8,2,21,102,8,13,1,BROOKLYN_NETS,19,81,25,33,2,31,30,20,8,11,17,88,8,17,38,42
WASHINGTON_WIZARDS,away,12_3,30,92,12,32,8,30,44,9,13,8,24,110,7,10,1,NEW_YORK_KNICKS,20,90,28,34,5,36,37,21,12,19,14,107,4,16,38,55
WASHINGTON_WIZARDS,away,12_5,35,95,32,38,4,37,46,27,12,12,24,131,9,15,1,ATLANTA_HAWKS,28,92,31,38,4,35,41,23,12,8,27,117,13,17,49,43
WASHINGTON_WIZARDS,away,12_8,26,86,16,38,3,25,38,11,14,8,12,101,3,8,0,CLEVELAND_CAVALIERS,26,89,10,31,5,37,47,7,15,12,20,116,5,7,33,49
WASHINGTON_WIZARDS,away,12_10,22,88,24,30,3,28,37,17,10,6,22,101,13,12,0,INDIANA_PACERS,29,76,22,20,7,43,41,17,10,7,25,109,7,23,34,50
WASHINGTON_WIZARDS,home,12_12,25,91,29,33,4,33,46,21,12,8,27,125,7,15,0,BOSTON_CELTICS,20,104,25,38,2,36,47,25,11,14,19,130,6,13,41,50
WASHINGTON_WIZARDS,away,12_14,30,90,16,29,3,22,49,9,11,4,24,118,3,9,0,BROOKLYN_NETS,34,84,31,31,3,36,44,26,11,9,17,125,5,9,26,45
